,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
20,20,20,20,20,20,2701,1B,2B,Stolen Base 2B,664056,Harrison Bader,615698,Cal Quantrill,543939,Kolten Wong,R,Austin Hedges,595978,0,1,6,True,2019-06-28,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
21,21,21,21,21,21,2960,2B,3B,Stolen Base 3B,664056,Harrison Bader,594798,Jacob deGrom,656427,Jack Flaherty,R,Wilson Ramos,467092,0,0,3,True,2019-06-14,Stolen,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
22,22,22,22,22,22,2961,1B,2B,Stolen Base 2B,664056,Harrison Bader,594798,Jacob deGrom,656427,Jack Flaherty,R,Wilson Ramos,467092,2,1,5,True,2019-06-14,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
23,23,23,23,23,23,2971,2B,3B,Stolen Base 3B,664056,Harrison Bader,594798,Jacob deGrom,656427,Jack Flaherty,R,Wilson Ramos,467092,0,0,3,True,2019-06-13,Stolen,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
24,24,24,24,24,24,2972,1B,2B,Stolen Base 2B,664056,Harrison Bader,594798,Jacob deGrom,656427,Jack Flaherty,R,Wilson Ramos,467092,2,1,5,True,2019-06-13,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
25,25,25,25,25,25,3269,2B,3B,Stolen Base 3B,664056,Harrison Bader,527054,Julio Teheran,656427,Jack Flaherty,R,Brian McCann,435263,2,0,4,False,2019-05-26,Stolen,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
26,26,26,26,26,26,3711,1B,,Caught Stealing 2B,664056,Harrison Bader,502522,Justin Miller,451594,Dexter Fowler,R,Yan Gomes,543228,3,6,6,True,2019-04-29,Caught,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
27,27,27,27,27,27,4095,2B,,Caught Stealing 3B,664056,Harrison Bader,621381,Matt Strahm,425794,Adam Wainwright,L,Austin Hedges,595978,0,1,3,False,2019-04-07,Caught,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
28,28,28,28,28,28,4320,1B,2B,Stolen Base 2B,664056,Harrison Bader,571578,Patrick Corbin,500874,José A. Martínez,L,Yan Gomes,543228,2,3,6,False,2019-09-17,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
29,29,29,29,29,29,4321,2B,3B,Stolen Base 2B,664056,Harrison Bader,571578,Patrick Corbin,500874,José A. Martínez,L,Yan Gomes,543228,2,3,6,False,2019-09-17,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
30,30,30,30,30,30,4364,2B,3B,Stolen Base 3B,664056,Harrison Bader,543475,Jordan Lyles,451594,Dexter Fowler,R,Yasmani Grandal,518735,2,0,2,False,2019-09-14,Stolen,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
31,31,31,31,31,31,4388,1B,2B,Stolen Base 2B,664056,Harrison Bader,607188,Jake Faria,451594,Dexter Fowler,R,Jacob Nottingham,641924,5,0,6,False,2019-09-13,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
32,32,32,32,32,32,4499,1B,2B,Stolen Base 2B,664056,Harrison Bader,605280,Clay Holmes,425794,Adam Wainwright,R,Elias Díaz,553869,1,6,6,True,2019-09-07,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
33,33,33,33,33,33,4700,1B,2B,Stolen Base 2B,664056,Harrison Bader,451584,Wade Davis,664854,Ryan Helsley,R,Tony Wolters,547172,7,3,5,False,2019-08-25,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
34,34,34,34,34,34,5228,1B,2B,Stolen Base 2B,664056,Harrison Bader,543101,Anthony DeSclafani,656427,Jack Flaherty,R,Ryan Lavarnway,543432,0,2,2,True,2019-07-21,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
35,35,35,35,35,35,5315,2B,3B,Stolen Base 3B,664056,Harrison Bader,642607,Dario Agrazal,656427,Jack Flaherty,R,Elias Díaz,553869,1,1,5,False,2019-07-16,Stolen,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
36,36,36,36,36,36,5544,1B,2B,Stolen Base 2B,664056,Harrison Bader,615698,Cal Quantrill,543939,Kolten Wong,R,Austin Hedges,595978,0,1,6,True,2019-06-28,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
37,37,37,37,37,37,5803,2B,3B,Stolen Base 3B,664056,Harrison Bader,594798,Jacob deGrom,656427,Jack Flaherty,R,Wilson Ramos,467092,0,0,3,True,2019-06-14,Stolen,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
38,38,38,38,38,38,5804,1B,2B,Stolen Base 2B,664056,Harrison Bader,594798,Jacob deGrom,656427,Jack Flaherty,R,Wilson Ramos,467092,2,1,5,True,2019-06-14,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
39,39,39,39,39,39,5814,2B,3B,Stolen Base 3B,664056,Harrison Bader,594798,Jacob deGrom,656427,Jack Flaherty,R,Wilson Ramos,467092,0,0,3,True,2019-06-13,Stolen,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
40,40,40,40,40,40,5815,1B,2B,Stolen Base 2B,664056,Harrison Bader,594798,Jacob deGrom,656427,Jack Flaherty,R,Wilson Ramos,467092,2,1,5,True,2019-06-13,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
41,41,41,41,41,41,6112,2B,3B,Stolen Base 3B,664056,Harrison Bader,527054,Julio Teheran,656427,Jack Flaherty,R,Brian McCann,435263,2,0,4,False,2019-05-26,Stolen,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
42,42,42,42,42,42,6554,1B,,Caught Stealing 2B,664056,Harrison Bader,502522,Justin Miller,451594,Dexter Fowler,R,Yan Gomes,543228,3,6,6,True,2019-04-29,Caught,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
43,43,43,43,43,43,6938,2B,,Caught Stealing 3B,664056,Harrison Bader,621381,Matt Strahm,425794,Adam Wainwright,L,Austin Hedges,595978,0,1,3,False,2019-04-07,Caught,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
44,44,44,44,44,44,6244,1B,2B,Stolen Base 2B,664056,Harrison Bader,571578,Patrick Corbin,500874,José A. Martínez,L,Yan Gomes,543228,2,3,6,False,2019-09-17,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
45,45,45,45,45,45,6245,2B,3B,Stolen Base 2B,664056,Harrison Bader,571578,Patrick Corbin,500874,José A. Martínez,L,Yan Gomes,543228,2,3,6,False,2019-09-17,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
46,46,46,46,46,46,6288,2B,3B,Stolen Base 3B,664056,Harrison Bader,543475,Jordan Lyles,451594,Dexter Fowler,R,Yasmani Grandal,518735,2,0,2,False,2019-09-14,Stolen,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
47,47,47,47,47,47,6312,1B,2B,Stolen Base 2B,664056,Harrison Bader,607188,Jake Faria,451594,Dexter Fowler,R,Jacob Nottingham,641924,5,0,6,False,2019-09-13,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
48,48,48,48,48,48,6423,1B,2B,Stolen Base 2B,664056,Harrison Bader,605280,Clay Holmes,425794,Adam Wainwright,R,Elias Díaz,553869,1,6,6,True,2019-09-07,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
49,49,49,49,49,49,6624,1B,2B,Stolen Base 2B,664056,Harrison Bader,451584,Wade Davis,664854,Ryan Helsley,R,Tony Wolters,547172,7,3,5,False,2019-08-25,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
50,50,50,50,50,50,7152,1B,2B,Stolen Base 2B,664056,Harrison Bader,543101,Anthony DeSclafani,656427,Jack Flaherty,R,Ryan Lavarnway,543432,0,2,2,True,2019-07-21,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
51,51,51,51,51,51,7239,2B,3B,Stolen Base 3B,664056,Harrison Bader,642607,Dario Agrazal,656427,Jack Flaherty,R,Elias Díaz,553869,1,1,5,False,2019-07-16,Stolen,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
52,52,52,52,52,52,7468,1B,2B,Stolen Base 2B,664056,Harrison Bader,615698,Cal Quantrill,543939,Kolten Wong,R,Austin Hedges,595978,0,1,6,True,2019-06-28,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
53,53,53,53,53,53,7727,2B,3B,Stolen Base 3B,664056,Harrison Bader,594798,Jacob deGrom,656427,Jack Flaherty,R,Wilson Ramos,467092,0,0,3,True,2019-06-14,Stolen,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
54,54,54,54,54,54,7728,1B,2B,Stolen Base 2B,664056,Harrison Bader,594798,Jacob deGrom,656427,Jack Flaherty,R,Wilson Ramos,467092,2,1,5,True,2019-06-14,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
55,55,55,55,55,55,7738,2B,3B,Stolen Base 3B,664056,Harrison Bader,594798,Jacob deGrom,656427,Jack Flaherty,R,Wilson Ramos,467092,0,0,3,True,2019-06-13,Stolen,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
56,56,56,56,56,56,7739,1B,2B,Stolen Base 2B,664056,Harrison Bader,594798,Jacob deGrom,656427,Jack Flaherty,R,Wilson Ramos,467092,2,1,5,True,2019-06-13,Stolen,2B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
57,57,57,57,57,57,8036,2B,3B,Stolen Base 3B,664056,Harrison Bader,527054,Julio Teheran,656427,Jack Flaherty,R,Brian McCann,435263,2,0,4,False,2019-05-26,Stolen,3B,2019,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4,2020,29.4
