,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year,Sprint
0,0,0,0,0,1B,,Caught Stealing 2B,541645,Avisaíl García,545333,Trevor Bauer,592885,Christian Yelich,R,Tucker Barnhart,571466,0,0,1,True,2020-09-23,Caught,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
1,1,1,1,1,1B,,Caught Stealing 2B,663611,Nick Madrigal,547179,Michael Lorenzen,547989,José Abreu,R,Tucker Barnhart,571466,0,0,3,True,2020-09-20,Caught,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
2,2,2,2,2,1B,,Caught Stealing 2B,608577,Nomar Mazara,641816,Tyler Mahle,663611,Nick Madrigal,R,Tucker Barnhart,571466,1,0,3,True,2020-09-18,Caught,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
3,3,3,3,3,1B,2B,Stolen Base 2B,570481,Erik González,545333,Trevor Bauer,663647,Ke'Bryan Hayes,R,Tucker Barnhart,571466,0,0,1,True,2020-09-14,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
4,4,4,4,4,2B,,Caught Stealing 3B,668804,Bryan Reynolds,545333,Trevor Bauer,571974,John Ryan Murphy,R,Tucker Barnhart,571466,0,0,2,True,2020-09-14,Caught,3B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
5,5,5,5,5,1B,2B,Caught Stealing 3B,621028,Kevin Newman,545333,Trevor Bauer,571974,John Ryan Murphy,R,Tucker Barnhart,571466,0,0,2,True,2020-09-14,Caught,3B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
6,6,6,6,6,2B,3B,Stolen Base 3B,502671,Paul Goldschmidt,543101,Anthony DeSclafani,425877,Yadier Molina,R,Tucker Barnhart,571466,1,3,3,True,2020-08-31,Stolen,3B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
7,7,7,7,7,1B,2B,Stolen Base 2B,657557,Paul DeJong,543101,Anthony DeSclafani,425877,Yadier Molina,R,Tucker Barnhart,571466,1,3,3,True,2020-08-31,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
8,8,8,8,8,1B,2B,Stolen Base 2B,623520,David Bote,622491,Luis Castillo,663538,Nico Hoerner,R,Tucker Barnhart,571466,0,0,2,True,2020-08-30,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
9,9,9,9,9,1B,2B,Stolen Base 2B,623520,David Bote,592254,José De León,663538,Nico Hoerner,R,Tucker Barnhart,571466,1,6,9,True,2020-08-30,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
10,10,10,10,10,1B,2B,Stolen Base 2B,649966,Luis Urías,489119,Wade Miley,606115,Orlando Arcia,L,Tucker Barnhart,571466,0,2,3,False,2020-08-27,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
11,11,11,11,11,1B,2B,Stolen Base 2B,649966,Luis Urías,489119,Wade Miley,606115,Orlando Arcia,L,Tucker Barnhart,571466,0,2,3,False,2020-08-26,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
12,12,12,12,12,1B,2B,Stolen Base 2B,543543,Brad Miller,547179,Michael Lorenzen,641933,Tyler O'Neill,R,Tucker Barnhart,571466,2,0,5,False,2020-08-21,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
13,13,13,13,13,1B,2B,Stolen Base 2B,609275,Adalberto Mondesi,622491,Luis Castillo,595956,Cam Gallagher,R,Tucker Barnhart,571466,3,0,4,False,2020-08-19,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
14,14,14,14,14,1B,,Caught Stealing 2B,621433,Brett Phillips,622088,Tejay Antone,460086,Alex Gordon,R,Tucker Barnhart,571466,4,0,5,False,2020-08-19,Caught,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
15,15,15,15,15,1B,2B,Stolen Base 2B,502481,Jarrod Dyson,547179,Michael Lorenzen,624428,Adam Frazier,R,Tucker Barnhart,571466,4,9,8,True,2020-08-13,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
16,16,16,16,16,1B,,Caught Stealing 2B,624428,Adam Frazier,547179,Michael Lorenzen,621028,Kevin Newman,R,Tucker Barnhart,571466,4,9,8,True,2020-08-13,Caught,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
17,17,17,17,17,1B,2B,Stolen Base 2B,664029,Mark Mathias,543243,Sonny Gray,444489,Manny Piña,R,Tucker Barnhart,571466,2,2,6,False,2020-08-09,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
18,18,18,18,18,1B,,Caught Stealing 2B,596019,Francisco Lindor,543243,Sonny Gray,467793,Carlos Santana,R,Tucker Barnhart,571466,1,2,6,True,2020-08-03,Caught,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
