,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year,Sprint
0,0,0,1B,2B,Stolen Base 2B,624413,Pete Alonso,434671,Aníbal Sánchez,641645,Luis Guillorme,R,Kurt Suzuki,435559,0,0,2,True,2020-09-26,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
1,1,1,1B,2B,Stolen Base 2B,624413,Pete Alonso,434671,Aníbal Sánchez,641645,Luis Guillorme,R,Kurt Suzuki,435559,0,0,2,True,2020-09-25,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
2,2,2,1B,2B,Stolen Base 2B,596451,Roman Quinn,593833,Wander Suero,457705,Andrew McCutchen,R,Kurt Suzuki,435559,6,5,6,True,2020-09-22,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
3,3,3,1B,,Caught Stealing 2B,664761,Alec Bohm,434671,Aníbal Sánchez,544369,Didi Gregorius,R,Kurt Suzuki,435559,0,0,1,True,2020-09-21,Caught,2B,2020,2021,26.0,2021,26.0,2021,26.0
4,4,4,1B,,Caught Stealing 2B,516416,Jean Segura,434671,Aníbal Sánchez,457803,Jay Bruce,R,Kurt Suzuki,435559,2,0,2,True,2020-09-21,Caught,2B,2020,2021,26.0,2021,26.0,2021,26.0
5,5,5,1B,2B,Stolen Base 2B,621446,Lewis Brinson,641851,Kyle McGowin,446481,Sean Rodríguez,R,Kurt Suzuki,435559,6,2,3,False,2020-09-18,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
6,6,6,1B,2B,Stolen Base 2B,670712,Mike Brosseau,434671,Aníbal Sánchez,660294,Yoshi Tsutsugo,R,Kurt Suzuki,435559,0,0,1,False,2020-09-15,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
7,7,7,1B,2B,Stolen Base 2B,663993,Nathaniel Lowe,434671,Aníbal Sánchez,642715,Willy Adames,R,Kurt Suzuki,435559,2,0,4,False,2020-09-15,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
8,8,8,1B,2B,Stolen Base 2B,595281,Kevin Kiermaier,434671,Aníbal Sánchez,607345,Kevan Smith,R,Kurt Suzuki,435559,2,0,4,False,2020-09-15,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
9,9,9,1B,2B,Stolen Base 2B,640457,Austin Meadows,434671,Aníbal Sánchez,664040,Brandon Lowe,R,Kurt Suzuki,435559,2,0,5,False,2020-09-15,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
10,10,10,1B,2B,Stolen Base 2B,622534,Manuel Margot,502578,Aaron Barrett,663993,Nathaniel Lowe,R,Kurt Suzuki,435559,6,1,7,False,2020-09-15,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
11,11,11,1B,2B,Stolen Base 2B,518692,Freddie Freeman,453286,Max Scherzer,542303,Marcell Ozuna,R,Kurt Suzuki,435559,1,1,3,True,2020-09-13,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
12,12,12,1B,2B,Stolen Base 2B,595281,Kevin Kiermaier,434671,Aníbal Sánchez,642715,Willy Adames,R,Kurt Suzuki,435559,1,0,2,True,2020-09-08,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
13,13,13,1B,2B,Stolen Base 2B,622534,Manuel Margot,434671,Aníbal Sánchez,595281,Kevin Kiermaier,R,Kurt Suzuki,435559,4,0,4,True,2020-09-08,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
14,14,14,1B,2B,Stolen Base 2B,621563,Joey Wendle,453286,Max Scherzer,596847,Ji Man Choi,R,Kurt Suzuki,435559,1,0,3,True,2020-09-07,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
15,15,15,1B,2B,Stolen Base 2B,592663,J.T. Realmuto,453286,Max Scherzer,457803,Jay Bruce,R,Kurt Suzuki,435559,0,0,1,False,2020-09-02,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
16,16,16,1B,2B,Stolen Base 2B,592663,J.T. Realmuto,453286,Max Scherzer,457803,Jay Bruce,R,Kurt Suzuki,435559,0,0,4,False,2020-09-02,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
17,17,17,1B,,Caught Stealing 2B,547180,Bryce Harper,663432,Tanner Rainey,592663,J.T. Realmuto,R,Kurt Suzuki,435559,3,0,7,False,2020-09-02,Caught,2B,2020,2021,26.0,2021,26.0,2021,26.0
18,18,18,1B,2B,Stolen Base 2B,657077,Alex Verdugo,434671,Aníbal Sánchez,646240,Rafael Devers,R,Kurt Suzuki,435559,5,3,5,False,2020-08-29,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
19,19,19,2B,3B,Stolen Base 3B,593428,Xander Bogaerts,593833,Wander Suero,607680,Kevin Pillar,R,Kurt Suzuki,435559,5,3,6,False,2020-08-29,Stolen,3B,2020,2021,26.0,2021,26.0,2021,26.0
20,20,20,1B,2B,Stolen Base 2B,596451,Roman Quinn,593833,Wander Suero,457705,Andrew McCutchen,R,Kurt Suzuki,435559,6,5,6,True,2020-08-27,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
21,21,21,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,607200,Erick Fedde,656555,Rhys Hoskins,R,Kurt Suzuki,435559,0,0,1,True,2020-08-25,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
22,22,22,1B,2B,Stolen Base 2B,596451,Roman Quinn,607200,Erick Fedde,664068,Scott Kingery,R,Kurt Suzuki,435559,1,4,4,True,2020-08-25,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
23,23,23,1B,2B,Stolen Base 2B,596451,Roman Quinn,593833,Wander Suero,664068,Scott Kingery,R,Kurt Suzuki,435559,2,4,7,True,2020-08-25,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
24,24,24,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,593833,Wander Suero,656555,Rhys Hoskins,R,Kurt Suzuki,435559,2,5,7,True,2020-08-25,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
25,25,25,2B,3B,Stolen Base 3B,542340,Jonathan Villar,453286,Max Scherzer,459964,Matt Joyce,R,Kurt Suzuki,435559,2,0,3,True,2020-08-22,Stolen,3B,2020,2021,26.0,2021,26.0,2021,26.0
26,26,26,1B,2B,Stolen Base 2B,542255,Ender Inciarte,434671,Aníbal Sánchez,621020,Dansby Swanson,R,Kurt Suzuki,435559,3,4,4,False,2020-08-17,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
27,27,27,2B,3B,Stolen Base 3B,623205,Andrew Velazquez,663432,Tanner Rainey,596105,Dwight Smith Jr.,R,Kurt Suzuki,435559,5,6,8,False,2020-08-16,Stolen,3B,2020,2021,26.0,2021,26.0,2021,26.0
28,28,28,1B,2B,Stolen Base 2B,665926,Andrés Giménez,434671,Aníbal Sánchez,467092,Wilson Ramos,R,Kurt Suzuki,435559,4,3,1,False,2020-08-12,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
29,29,29,1B,2B,Stolen Base 2B,641645,Luis Guillorme,434671,Aníbal Sánchez,605204,J.D. Davis,R,Kurt Suzuki,435559,4,3,2,False,2020-08-12,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
30,30,30,1B,,Caught Stealing 2B,547004,Rio Ruiz,608723,Austin Voth,600524,Renato Núñez,R,Kurt Suzuki,435559,0,0,2,True,2020-08-08,Caught,2B,2020,2021,26.0,2021,26.0,2021,26.0
31,31,31,1B,2B,Stolen Base 2B,600474,Pedro Severino,607560,Ryne Harper,448801,Chris Davis,R,Kurt Suzuki,435559,3,5,9,True,2020-08-08,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
32,32,32,1B,2B,Stolen Base 2B,571740,Billy Hamilton,607200,Erick Fedde,607043,Brandon Nimmo,R,Kurt Suzuki,435559,1,2,4,True,2020-08-05,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
33,33,33,1B,2B,Stolen Base 2B,621446,Lewis Brinson,641851,Kyle McGowin,446481,Sean Rodríguez,R,Kurt Suzuki,435559,6,2,3,False,2020-08-01,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
34,34,34,1B,,Caught Stealing 2B,606192,Teoscar Hernández,607200,Erick Fedde,605233,Derek Fisher,R,Kurt Suzuki,435559,1,0,2,False,2020-07-30,Caught,2B,2020,2021,26.0,2021,26.0,2021,26.0
35,35,35,1B,2B,Stolen Base 2B,546990,Anthony Alford,453286,Max Scherzer,669289,Santiago Espinal,R,Kurt Suzuki,435559,0,0,8,False,2020-07-29,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
36,36,36,1B,2B,Stolen Base 2B,596451,Roman Quinn,453286,Max Scherzer,547180,Bryce Harper,R,Kurt Suzuki,435559,0,0,1,True,2020-07-18,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
37,37,37,1B,,Caught Stealing 2B,516416,Jean Segura,453286,Max Scherzer,457803,Jay Bruce,R,Kurt Suzuki,435559,0,3,1,True,2020-07-18,Caught,2B,2020,2021,26.0,2021,26.0,2021,26.0
38,38,38,1B,2B,Stolen Base 2B,624413,Pete Alonso,434671,Aníbal Sánchez,641645,Luis Guillorme,R,Kurt Suzuki,435559,0,0,2,True,2020-09-26,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
39,39,39,1B,2B,Stolen Base 2B,624413,Pete Alonso,434671,Aníbal Sánchez,641645,Luis Guillorme,R,Kurt Suzuki,435559,0,0,2,True,2020-09-25,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
40,40,40,1B,2B,Stolen Base 2B,596451,Roman Quinn,593833,Wander Suero,457705,Andrew McCutchen,R,Kurt Suzuki,435559,6,5,6,True,2020-09-22,Stolen,2B,2020,2021,26.0,2021,26.0,2021,26.0
41,41,41,1B,,Caught Stealing 2B,664761,Alec Bohm,434671,Aníbal Sánchez,544369,Didi Gregorius,R,Kurt Suzuki,435559,0,0,1,True,2020-09-21,Caught,2B,2020,2021,26.0,2021,26.0,2021,26.0
