,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year,Sprint
0,0,0,1B,2B,Stolen Base 2B,543760,Marcus Semien,607259,Nick Martinez,459964,Matt Joyce,R,Brett Nicholas,592592,2,1,3,False,2017-09-22,Stolen,2B,2017,2018,28.3,2018,28.3,2018,28.3
1,1,1,1B,2B,Stolen Base 2B,545361,Mike Trout,607259,Nick Martinez,405395,Albert Pujols,R,Brett Nicholas,592592,0,0,1,False,2017-09-15,Stolen,2B,2017,2018,28.3,2018,28.3,2018,28.3
2,2,2,1B,2B,Stolen Base 2B,608324,Alex Bregman,607259,Nick Martinez,502210,Josh Reddick,R,Brett Nicholas,592592,2,1,4,False,2017-08-31,Stolen,2B,2017,2018,28.3,2018,28.3,2018,28.3
3,3,3,1B,2B,Stolen Base 2B,605204,J.D. Davis,607259,Nick Martinez,518542,Juan Centeno,R,Brett Nicholas,592592,2,1,5,False,2017-08-31,Stolen,2B,2017,2018,28.3,2018,28.3,2018,28.3
4,4,4,1B,2B,Stolen Base 2B,545350,Jake Marisnick,600917,José Leclerc,543807,George Springer,R,Brett Nicholas,592592,2,1,8,False,2017-08-31,Stolen,2B,2017,2018,28.3,2018,28.3,2018,28.3
5,5,5,1B,2B,Stolen Base 2B,457727,Cameron Maybin,276351,Jason Grilli,545361,Mike Trout,R,Brett Nicholas,592592,0,3,8,False,2017-08-24,Stolen,2B,2017,2018,28.3,2018,28.3,2018,28.3
6,6,6,1B,2B,Stolen Base 2B,593700,Alen Hanson,475115,Tyson Ross,641553,Adam Engel,R,Brett Nicholas,592592,4,4,4,True,2017-08-17,Stolen,2B,2017,2018,28.3,2018,28.3,2018,28.3
7,7,7,2B,3B,Stolen Base 3B,593700,Alen Hanson,475115,Tyson Ross,641553,Adam Engel,R,Brett Nicholas,592592,4,4,4,True,2017-08-17,Stolen,3B,2017,2018,28.3,2018,28.3,2018,28.3
8,8,8,1B,2B,Stolen Base 2B,514888,Jose Altuve,475115,Tyson Ross,136860,Carlos Beltrán,R,Brett Nicholas,592592,3,0,4,True,2017-08-12,Stolen,2B,2017,2018,28.3,2018,28.3,2018,28.3
9,9,9,1B,2B,Stolen Base 2B,502481,Jarrod Dyson,607259,Nick Martinez,429664,Robinson Canó,R,Brett Nicholas,592592,0,3,3,True,2017-08-01,Stolen,2B,2017,2018,28.3,2018,28.3,2018,28.3
10,10,10,1B,2B,Stolen Base 2B,543760,Marcus Semien,607259,Nick Martinez,459964,Matt Joyce,R,Brett Nicholas,592592,2,1,3,False,2017-09-22,Stolen,2B,2017,2018,28.3,2018,28.3,2018,28.3
11,11,11,1B,2B,Stolen Base 2B,545361,Mike Trout,607259,Nick Martinez,405395,Albert Pujols,R,Brett Nicholas,592592,0,0,1,False,2017-09-15,Stolen,2B,2017,2018,28.3,2018,28.3,2018,28.3
12,12,12,1B,2B,Stolen Base 2B,608324,Alex Bregman,607259,Nick Martinez,502210,Josh Reddick,R,Brett Nicholas,592592,2,1,4,False,2017-08-31,Stolen,2B,2017,2018,28.3,2018,28.3,2018,28.3
13,13,13,1B,2B,Stolen Base 2B,605204,J.D. Davis,607259,Nick Martinez,518542,Juan Centeno,R,Brett Nicholas,592592,2,1,5,False,2017-08-31,Stolen,2B,2017,2018,28.3,2018,28.3,2018,28.3
14,14,14,1B,2B,Stolen Base 2B,545350,Jake Marisnick,600917,José Leclerc,543807,George Springer,R,Brett Nicholas,592592,2,1,8,False,2017-08-31,Stolen,2B,2017,2018,28.3,2018,28.3,2018,28.3
15,15,15,1B,2B,Stolen Base 2B,457727,Cameron Maybin,276351,Jason Grilli,545361,Mike Trout,R,Brett Nicholas,592592,0,3,8,False,2017-08-24,Stolen,2B,2017,2018,28.3,2018,28.3,2018,28.3
16,16,16,1B,2B,Stolen Base 2B,593700,Alen Hanson,475115,Tyson Ross,641553,Adam Engel,R,Brett Nicholas,592592,4,4,4,True,2017-08-17,Stolen,2B,2017,2018,28.3,2018,28.3,2018,28.3
