,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year_x.3,Sprint_x.3,Current_Year_y.3,Sprint_y.3,Current_Year,Sprint
23,23,23,23,23,23,23,23,23,1B,2B,Stolen Base 2B,650489,Willi Castro,621016,Jose Cuas,608336,Joey Gallo,R,Freddy Fermin,666023,3,2,6,False,2023-07-03,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
24,24,24,24,24,24,24,24,24,1B,2B,Stolen Base 2B,518692,Freddie Freeman,679525,Alec Marsh,571970,Max Muncy,R,Freddy Fermin,666023,0,2,3,True,2023-06-30,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
25,25,25,25,25,25,25,25,25,1B,,Caught Stealing 2B,518792,Jason Heyward,621295,Nick Wittgren,681546,James Outman,R,Freddy Fermin,666023,3,6,7,True,2023-06-30,Caught,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
26,26,26,26,26,26,26,26,26,1B,2B,Stolen Base 2B,608070,José Ramírez,663903,Brady Singer,605137,Josh Bell,R,Freddy Fermin,666023,0,0,4,True,2023-06-27,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
27,27,27,27,27,27,27,27,27,2B,3B,Stolen Base 3B,660644,Vidal Bruján,543475,Jordan Lyles,650490,Yandy Díaz,R,Freddy Fermin,666023,2,0,2,False,2023-06-24,Stolen,3B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
28,28,28,28,28,28,28,28,28,1B,2B,Stolen Base 2B,660644,Vidal Bruján,543475,Jordan Lyles,677551,Wander Franco,R,Freddy Fermin,666023,4,7,4,False,2023-06-24,Stolen,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
29,29,29,29,29,29,29,29,29,1B,,Caught Stealing 2B,650859,Luis Rengifo,621139,Brooks Kriske,623205,Andrew Velazquez,R,Freddy Fermin,666023,2,5,9,True,2023-06-18,Caught,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
30,30,30,30,30,30,30,30,30,1B,,Caught Stealing 2B,623205,Andrew Velazquez,621139,Brooks Kriske,621493,Taylor Ward,R,Freddy Fermin,666023,2,5,9,True,2023-06-18,Caught,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
31,31,31,31,31,31,31,31,31,1B,,Caught Stealing 2B,592273,Brandon Drury,663903,Brady Singer,642136,Matt Thaiss,R,Freddy Fermin,666023,0,1,1,True,2023-06-16,Caught,2B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
32,32,32,32,32,32,32,32,32,2B,,Caught Stealing 3B,666160,Mickey Moniak,663903,Brady Singer,545361,Mike Trout,R,Freddy Fermin,666023,0,1,3,True,2023-06-16,Caught,3B,2023,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0,2024,27.0
