,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,1B,2B,Stolen Base 2B,595777,Jurickson Profar,502239,Trevor Cahill,622761,Jorge Mateo,R,Joey Bart,663698,3,5,8,True,2020-09-27,Stolen,2B,2020,2021,26.3,2021,26.3
1,1,1B,2B,Stolen Base 2B,622761,Jorge Mateo,572125,Sam Selman,519048,Mitch Moreland,L,Joey Bart,663698,3,5,6,False,2020-09-25,Stolen,2B,2020,2021,26.3,2021,26.3
2,2,1B,,Caught Stealing 2B,596115,Trevor Story,657277,Logan Webb,453568,Charlie Blackmon,R,Joey Bart,663698,0,1,3,True,2020-09-23,Caught,2B,2020,2021,26.3,2021,26.3
3,3,2B,3B,Stolen Base 3B,606132,Raimel Tapia,657277,Logan Webb,596115,Trevor Story,R,Joey Bart,663698,1,2,5,True,2020-09-23,Stolen,3B,2020,2021,26.3,2021,26.3
4,4,1B,2B,Stolen Base 2B,607680,Kevin Pillar,592767,Drew Smyly,453568,Charlie Blackmon,L,Joey Bart,663698,0,0,1,True,2020-09-22,Stolen,2B,2020,2021,26.3,2021,26.3
5,5,1B,2B,Stolen Base 2B,461314,Matt Kemp,592767,Drew Smyly,641857,Ryan McMahon,L,Joey Bart,663698,1,0,2,True,2020-09-22,Stolen,2B,2020,2021,26.3,2021,26.3
6,6,1B,2B,Stolen Base 2B,607680,Kevin Pillar,592767,Drew Smyly,596115,Trevor Story,L,Joey Bart,663698,2,0,6,True,2020-09-22,Stolen,2B,2020,2021,26.3,2021,26.3
7,7,1B,2B,Stolen Base 2B,453568,Charlie Blackmon,502239,Trevor Cahill,658069,Joshua Fuentes,R,Joey Bart,663698,2,1,6,True,2020-09-22,Stolen,2B,2020,2021,26.3,2021,26.3
8,8,1B,2B,Stolen Base 2B,621566,Matt Olson,592332,Kevin Gausman,572039,Stephen Piscotty,R,Joey Bart,663698,1,0,4,False,2020-09-19,Stolen,2B,2020,2021,26.3,2021,26.3
9,9,1B,2B,Stolen Base 2B,572122,Kyle Seager,542881,Tyler Anderson,664034,Ty France,L,Joey Bart,663698,0,1,2,False,2020-09-17,Stolen,2B,2020,2021,26.3,2021,26.3
10,10,1B,2B,Stolen Base 2B,572122,Kyle Seager,542881,Tyler Anderson,664034,Ty France,L,Joey Bart,663698,0,1,2,False,2020-09-16,Stolen,2B,2020,2021,26.3,2021,26.3
11,11,1B,,Caught Stealing 2B,641786,Kyle Lewis,502239,Trevor Cahill,620443,Luis Torrens,R,Joey Bart,663698,3,8,5,False,2020-09-16,Caught,2B,2020,2021,26.3,2021,26.3
12,12,1B,,Caught Stealing 2B,641786,Kyle Lewis,502239,Trevor Cahill,620443,Luis Torrens,R,Joey Bart,663698,3,8,5,False,2020-09-15,Caught,2B,2020,2021,26.3,2021,26.3
