,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,0,0,0,0,212,1B,,Caught Stealing 2B,543281,Josh Harrison,641447,Daniel Castano,666198,Carter Kieboom,L,Chad Wallach,595453,0,2,1,True,2020-09-18,Caught,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8
1,1,1,1,1,1,1,1,1042,1B,2B,Stolen Base 2B,543281,Josh Harrison,623149,Paul Sewald,666198,Carter Kieboom,R,Tomás Nido,621512,5,3,5,False,2020-08-04,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8
2,2,2,2,2,2,2,2,1079,1B,,Caught Stealing 2B,543281,Josh Harrison,641447,Daniel Castano,666198,Carter Kieboom,L,Chad Wallach,595453,0,2,1,True,2020-08-01,Caught,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8
3,3,3,3,3,3,3,3,3055,1B,,Caught Stealing 2B,543281,Josh Harrison,641447,Daniel Castano,666198,Carter Kieboom,L,Chad Wallach,595453,0,2,1,True,2020-09-18,Caught,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8
4,4,4,4,4,4,4,4,3885,1B,2B,Stolen Base 2B,543281,Josh Harrison,623149,Paul Sewald,666198,Carter Kieboom,R,Tomás Nido,621512,5,3,5,False,2020-08-04,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8
5,5,5,5,5,5,5,5,3922,1B,,Caught Stealing 2B,543281,Josh Harrison,641447,Daniel Castano,666198,Carter Kieboom,L,Chad Wallach,595453,0,2,1,True,2020-08-01,Caught,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8
6,6,6,6,6,6,6,6,4979,1B,,Caught Stealing 2B,543281,Josh Harrison,641447,Daniel Castano,666198,Carter Kieboom,L,Chad Wallach,595453,0,2,1,True,2020-09-18,Caught,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8
7,7,7,7,7,7,7,7,5809,1B,2B,Stolen Base 2B,543281,Josh Harrison,623149,Paul Sewald,666198,Carter Kieboom,R,Tomás Nido,621512,5,3,5,False,2020-08-04,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8
8,8,8,8,8,8,8,8,5846,1B,,Caught Stealing 2B,543281,Josh Harrison,641447,Daniel Castano,666198,Carter Kieboom,L,Chad Wallach,595453,0,2,1,True,2020-08-01,Caught,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8,2021,26.8
9,9,9,9,9,9,9,9,3266,2B,3B,Stolen Base 3B,543281,Josh Harrison,542888,Shawn Armstrong,621514,Christin Stewart,R,Pedro Severino,600474,5,3,9,True,2019-05-27,Stolen,3B,2019,2020,26.7,2020,26.7,2020,26.7,2020,26.7,2020,26.7,2020,26.7,2020,26.7,2020,26.7
