,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year_x.3,Sprint_x.3,Current_Year_y.3,Sprint_y.3,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,0,0,0,0,0,0,1B,,Caught Stealing 2B,546991,Albert Almora Jr.,502624,Chase Anderson,519203,Anthony Rizzo,R,Jett Bandy,542908,0,0,1,False,2018-04-26,Caught,2B,2018,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3
1,1,1,1,1,1,1,1,1,1,1B,,Caught Stealing 2B,502054,Tommy Pham,448855,Junior Guerra,572761,Matt Carpenter,R,Jett Bandy,542908,0,0,1,False,2018-04-11,Caught,2B,2018,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3
2,2,2,2,2,2,2,2,2,2,1B,,Caught Stealing 2B,592178,Kris Bryant,605200,Zach Davies,575929,Willson Contreras,R,Jett Bandy,542908,0,0,4,True,2018-04-07,Caught,2B,2018,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3
3,3,3,3,3,3,3,3,3,3,1B,2B,Stolen Base 2B,664023,Ian Happ,543359,Dan Jennings,450314,Ben Zobrist,L,Jett Bandy,542908,0,5,8,True,2018-04-05,Stolen,2B,2018,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3,2019,28.3
4,4,4,4,4,4,4,4,4,4,1B,2B,Stolen Base 2B,452252,Adam Lind,503449,Wily Peralta,446653,Jose Lobaton,R,Jett Bandy,542908,9,0,3,False,2017-07-27,Stolen,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
5,5,5,5,5,5,5,5,5,5,2B,,Caught Stealing 3B,501896,David Freese,605200,Zach Davies,474568,Jordy Mercer,R,Jett Bandy,542908,1,1,4,False,2017-07-19,Caught,3B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
6,6,6,6,6,6,6,6,6,6,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,453172,Jared Hughes,621559,Max Moroff,R,Jett Bandy,542908,3,2,10,False,2017-07-19,Stolen,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
7,7,7,7,7,7,7,7,7,7,1B,2B,Stolen Base 2B,543281,Josh Harrison,502624,Chase Anderson,570256,Gregory Polanco,R,Jett Bandy,542908,0,0,1,True,2017-06-22,Stolen,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
8,8,8,8,8,8,8,8,8,8,1B,2B,Stolen Base 2B,605137,Josh Bell,502624,Chase Anderson,553869,Elias Díaz,R,Jett Bandy,542908,0,1,1,True,2017-06-22,Stolen,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
9,9,9,9,9,9,9,9,9,9,2B,,Caught Stealing 3B,543281,Josh Harrison,502624,Chase Anderson,605137,Josh Bell,R,Jett Bandy,542908,3,2,6,True,2017-06-22,Caught,3B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
10,10,10,10,10,10,10,10,10,10,1B,,Caught Stealing 2B,605113,Nick Ahmed,502624,Chase Anderson,592662,Robbie Ray,R,Jett Bandy,542908,1,0,5,False,2017-06-11,Caught,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
11,11,11,11,11,11,11,11,11,11,1B,2B,Stolen Base 2B,453923,Grégor Blanco,502624,Chase Anderson,502671,Paul Goldschmidt,R,Jett Bandy,542908,1,0,6,False,2017-06-11,Stolen,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
12,12,12,12,12,12,12,12,12,12,1B,2B,Stolen Base 2B,453923,Grégor Blanco,491703,Neftalí Feliz,444482,David Peralta,R,Jett Bandy,542908,6,0,7,False,2017-06-11,Stolen,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
13,13,13,13,13,13,13,13,13,13,1B,,Caught Stealing 2B,491676,Gorkys Hernández,503449,Wily Peralta,596103,Austin Slater,R,Jett Bandy,542908,3,3,6,True,2017-06-08,Caught,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
