,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
154,1B,,Caught Stealing 2B,543305,Aaron Hicks,518567,Josh Collmenter,448674,Doug Bernier,R,Miguel Montero,471083,1,5,5,False,2014-09-22,Caught,2B
253,1B,2B,Stolen Base 2B,543305,Aaron Hicks,456034,David Price,542454,Danny Santana,L,James McCann,543510,3,4,4,False,2014-09-17,Stolen,2B
505,1B,2B,Stolen Base 2B,543305,Aaron Hicks,506648,Yoslan Herrera,476633,Chris Parmelee,R,Chris Iannetta,455104,5,3,4,False,2014-09-06,Stolen,2B
3422,1B,2B,Stolen Base 2B,543305,Aaron Hicks,453344,Brandon Morrow,465753,Pedro Florimón,R,Dioner Navarro,425900,2,0,4,False,2014-04-15,Stolen,2B
3453,1B,2B,Stolen Base 2B,543305,Aaron Hicks,450306,Jason Vargas,572821,Brian Dozier,L,Salvador Perez,521692,0,0,3,False,2014-04-13,Stolen,2B
18,1B,,Caught Stealing 2B,543305,Aaron Hicks,451596,Yovani Gallardo,592863,Mason Williams,R,Matt Wieters,446308,0,0,2,False,2016-09-30,Caught,2B
678,1B,2B,Stolen Base 2B,543305,Aaron Hicks,592332,Kevin Gausman,407893,Mark Teixeira,R,Matt Wieters,446308,0,0,1,False,2016-08-28,Stolen,2B
744,1B,2B,Stolen Base 2B,543305,Aaron Hicks,592836,Taijuan Walker,591720,Ronald Torreyes,R,Mike Zunino,572287,1,4,6,True,2016-08-23,Stolen,2B
942,1B,2B,Stolen Base 2B,543305,Aaron Hicks,542882,Matt Andriese,452104,Chase Headley,R,Luke Maile,571912,0,0,1,False,2016-08-13,Stolen,2B
1099,1B,,Caught Stealing 2B,543305,Aaron Hicks,446372,Corey Kluber,591720,Ronald Torreyes,R,Roberto Pérez,547379,2,2,5,False,2016-08-06,Caught,2B
1760,1B,,Caught Stealing 2B,543305,Aaron Hicks,456167,A.J. Griffin,591720,Ronald Torreyes,R,Robinson Chirinos,455139,1,1,5,False,2016-06-30,Caught,2B
47,1B,2B,Stolen Base 2B,543305,Aaron Hicks,607352,Joe Biagini,453056,Jacoby Ellsbury,R,Raffy Lopez,607257,2,0,5,False,2017-09-29,Stolen,2B
99,1B,2B,Stolen Base 2B,543305,Aaron Hicks,605483,Blake Snell,596142,Gary Sánchez,L,Wilson Ramos,467092,0,1,1,False,2017-09-26,Stolen,2B
908,1B,2B,Stolen Base 2B,543305,Aaron Hicks,519242,Chris Sale,453943,Todd Frazier,L,Christian Vázquez,543877,1,1,6,False,2017-08-13,Stolen,2B
1842,1B,,Caught Stealing 2B,543305,Aaron Hicks,445060,Ricky Nolasco,592450,Aaron Judge,R,Martín Maldonado,455117,2,2,5,False,2017-06-21,Caught,2B
2324,1B,2B,Stolen Base 2B,543305,Aaron Hicks,592811,Andrew Triggs,474892,Chris Carter,R,Josh Phegley,572033,6,2,4,False,2017-05-28,Stolen,2B
2325,1B,,Caught Stealing 2B,543305,Aaron Hicks,592811,Andrew Triggs,474892,Chris Carter,R,Josh Phegley,572033,6,3,6,False,2017-05-28,Caught,2B
2648,1B,2B,Stolen Base 2B,543305,Aaron Hicks,606965,Chris Devenski,474892,Chris Carter,R,Brian McCann,435263,1,3,7,False,2017-05-11,Stolen,2B
2710,2B,3B,Stolen Base 3B,543305,Aaron Hicks,452657,Jon Lester,516770,Starlin Castro,L,Willson Contreras,575929,0,1,1,True,2017-05-07,Stolen,3B
2739,1B,2B,Stolen Base 2B,543305,Aaron Hicks,570240,Félix Peña,592450,Aaron Judge,R,Willson Contreras,575929,0,5,2,True,2017-05-06,Stolen,2B
2770,1B,2B,Stolen Base 2B,543305,Aaron Hicks,444468,Héctor Rondón,596142,Gary Sánchez,R,Willson Contreras,575929,2,3,9,True,2017-05-05,Stolen,2B
3033,1B,2B,Stolen Base 2B,543305,Aaron Hicks,592791,Jameson Taillon,452104,Chase Headley,R,Francisco Cervelli,465041,1,0,4,True,2017-04-22,Stolen,2B
3052,1B,2B,Stolen Base 2B,543305,Aaron Hicks,543339,Daniel Hudson,407812,Matt Holliday,R,Francisco Cervelli,465041,6,3,8,True,2017-04-21,Stolen,2B
3124,1B,,Caught Stealing 2B,543305,Aaron Hicks,425794,Adam Wainwright,453056,Jacoby Ellsbury,R,Yadier Molina,425877,3,1,3,False,2017-04-16,Caught,2B
3284,1B,,Caught Stealing 2B,543305,Aaron Hicks,543118,Oliver Drake,458731,Brett Gardner,R,Welington Castillo,456078,3,4,6,True,2017-04-08,Caught,2B
3425,1B,,Caught Stealing 2B,543305,Aaron Hicks,451596,Yovani Gallardo,592863,Mason Williams,R,Matt Wieters,446308,0,0,2,False,2016-09-30,Caught,2B
4085,1B,2B,Stolen Base 2B,543305,Aaron Hicks,592332,Kevin Gausman,407893,Mark Teixeira,R,Matt Wieters,446308,0,0,1,False,2016-08-28,Stolen,2B
4151,1B,2B,Stolen Base 2B,543305,Aaron Hicks,592836,Taijuan Walker,591720,Ronald Torreyes,R,Mike Zunino,572287,1,4,6,True,2016-08-23,Stolen,2B
4349,1B,2B,Stolen Base 2B,543305,Aaron Hicks,542882,Matt Andriese,452104,Chase Headley,R,Luke Maile,571912,0,0,1,False,2016-08-13,Stolen,2B
4506,1B,,Caught Stealing 2B,543305,Aaron Hicks,446372,Corey Kluber,591720,Ronald Torreyes,R,Roberto Pérez,547379,2,2,5,False,2016-08-06,Caught,2B
5167,1B,,Caught Stealing 2B,543305,Aaron Hicks,456167,A.J. Griffin,591720,Ronald Torreyes,R,Robinson Chirinos,455139,1,1,5,False,2016-06-30,Caught,2B
