,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,0,0,1B,2B,Stolen Base 2B,571697,Scooter Gennett,608379,Michael Wacha,571466,Tucker Barnhart,R,Francisco Peña,506747,4,3,3,False,2018-04-12,Stolen,2B,2018,2019,25.6,2019,25.6,2019,25.6,2019,25.6,2019,25.6,2019,25.6
1,1,1,1,1,1,1B,2B,Stolen Base 2B,605141,Mookie Betts,542947,Richard Bleier,643217,Andrew Benintendi,L,Francisco Peña,506747,3,7,9,True,2017-06-04,Stolen,2B,2017,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4
2,2,2,2,2,2,1B,2B,Stolen Base 2B,643217,Andrew Benintendi,542947,Richard Bleier,593428,Xander Bogaerts,L,Francisco Peña,506747,3,7,9,True,2017-06-04,Stolen,2B,2017,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4
3,3,3,3,3,3,1B,2B,Stolen Base 2B,605141,Mookie Betts,542947,Richard Bleier,643217,Andrew Benintendi,L,Francisco Peña,506747,3,7,9,True,2017-06-04,Stolen,2B,2017,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4
4,4,4,4,4,4,1B,2B,Stolen Base 2B,643217,Andrew Benintendi,542947,Richard Bleier,593428,Xander Bogaerts,L,Francisco Peña,506747,3,7,9,True,2017-06-04,Stolen,2B,2017,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4
5,5,5,5,5,5,3B,score,Stolen Base Home,544369,Didi Gregorius,605164,Dylan Bundy,435263,Brian McCann,R,Francisco Peña,506747,4,2,3,False,2016-08-27,Stolen,Home,2016,2017,26.4,2017,26.4,2017,26.4,2017,26.4,2017,26.4,2017,26.4
6,6,6,6,6,6,1B,2B,Stolen Base 2B,516770,Starlin Castro,605164,Dylan Bundy,435263,Brian McCann,R,Francisco Peña,506747,4,2,3,False,2016-08-27,Stolen,2B,2016,2017,26.4,2017,26.4,2017,26.4,2017,26.4,2017,26.4,2017,26.4
7,7,7,7,7,7,1B,2B,Stolen Base 2B,621043,Carlos Correa,451596,Yovani Gallardo,594828,Evan Gattis,R,Francisco Peña,506747,0,0,4,True,2016-08-21,Stolen,2B,2016,2017,26.4,2017,26.4,2017,26.4,2017,26.4,2017,26.4,2017,26.4
8,8,8,8,8,8,1B,,Caught Stealing 2B,606192,Teoscar Hernández,592170,Parker Bridwell,608324,Alex Bregman,R,Francisco Peña,506747,2,5,9,True,2016-08-21,Caught,2B,2016,2017,26.4,2017,26.4,2017,26.4,2017,26.4,2017,26.4,2017,26.4
9,9,9,9,9,9,1B,2B,Stolen Base 2B,608671,Travis Jankowski,592869,Tyler Wilson,461314,Matt Kemp,R,Francisco Peña,506747,0,1,1,True,2016-06-21,Stolen,2B,2016,2017,26.4,2017,26.4,2017,26.4,2017,26.4,2017,26.4,2017,26.4
