,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,0,0,1B,2B,Stolen Base 2B,606115,Orlando Arcia,605154,John Brebbia,621446,Lewis Brinson,R,Eric Fryer,518700,2,5,4,True,2017-06-13,Stolen,2B,2017,2018,26.8,2018,26.8,2018,26.8,2018,26.8,2018,26.8,2018,26.8
1,1,1,1,1,1,1B,2B,Stolen Base 2B,435062,Howie Kendrick,608379,Michael Wacha,571830,Tommy Joseph,R,Eric Fryer,518700,2,2,5,True,2017-06-09,Stolen,2B,2017,2018,26.8,2018,26.8,2018,26.8,2018,26.8,2018,26.8,2018,26.8
2,2,2,2,2,2,1B,,Caught Stealing 2B,546318,Odúbel Herrera,572096,Trevor Rosenthal,571830,Tommy Joseph,R,Eric Fryer,518700,3,2,8,True,2017-06-09,Caught,2B,2017,2018,26.8,2018,26.8,2018,26.8,2018,26.8,2018,26.8,2018,26.8
3,3,3,3,3,3,1B,2B,Stolen Base 2B,572669,Lane Adams,502190,Mike Leake,542255,Ender Inciarte,R,Eric Fryer,518700,0,4,6,False,2017-05-06,Stolen,2B,2017,2018,26.8,2018,26.8,2018,26.8,2018,26.8,2018,26.8,2018,26.8
4,4,4,4,4,4,1B,,Caught Stealing 2B,542255,Ender Inciarte,502190,Mike Leake,408252,Brandon Phillips,R,Eric Fryer,518700,0,4,6,False,2017-05-06,Caught,2B,2017,2018,26.8,2018,26.8,2018,26.8,2018,26.8,2018,26.8,2018,26.8
5,5,5,5,5,5,2B,3B,Caught Stealing 2B,572669,Lane Adams,502190,Mike Leake,408252,Brandon Phillips,R,Eric Fryer,518700,0,4,6,False,2017-05-06,Caught,2B,2017,2018,26.8,2018,26.8,2018,26.8,2018,26.8,2018,26.8,2018,26.8
6,6,6,6,6,6,1B,2B,Stolen Base 2B,581527,Devon Travis,446399,Brett Cecil,485567,Ezequiel Carrera,L,Eric Fryer,518700,6,4,7,True,2017-04-27,Stolen,2B,2017,2018,26.8,2018,26.8,2018,26.8,2018,26.8,2018,26.8,2018,26.8
7,7,7,7,7,7,2B,3B,Stolen Base 3B,581527,Devon Travis,446399,Brett Cecil,485567,Ezequiel Carrera,L,Eric Fryer,518700,6,4,7,True,2017-04-27,Stolen,3B,2017,2018,26.8,2018,26.8,2018,26.8,2018,26.8,2018,26.8,2018,26.8
8,8,8,8,8,8,1B,2B,Stolen Base 2B,581527,Devon Travis,446399,Brett Cecil,485567,Ezequiel Carrera,L,Eric Fryer,518700,6,4,7,True,2017-04-26,Stolen,2B,2017,2018,26.8,2018,26.8,2018,26.8,2018,26.8,2018,26.8,2018,26.8
9,9,9,9,9,9,2B,3B,Stolen Base 3B,581527,Devon Travis,446399,Brett Cecil,485567,Ezequiel Carrera,L,Eric Fryer,518700,6,4,7,True,2017-04-26,Stolen,3B,2017,2018,26.8,2018,26.8,2018,26.8,2018,26.8,2018,26.8,2018,26.8
