,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,1B,2B,Stolen Base 2B,643446,Jeff McNeil,650347,Luís Madero,542340,Jonathan Villar,R,Nick Fortes,663743,6,3,8,False,2021-09-30,Stolen,2B,2021,2022,27.4,2022,27.4
1,1,1B,2B,Stolen Base 2B,573186,Marcus Stroman,641447,Daniel Castano,607043,Brandon Nimmo,L,Nick Fortes,663743,1,0,2,False,2021-09-28,Stolen,2B,2021,2022,27.4,2022,27.4
2,2,1B,2B,Stolen Base 2B,542340,Jonathan Villar,641447,Daniel Castano,607680,Kevin Pillar,L,Nick Fortes,663743,3,0,3,False,2021-09-28,Stolen,2B,2021,2022,27.4,2022,27.4
3,3,1B,,Caught Stealing 2B,665742,Juan Soto,542914,Anthony Bass,605137,Josh Bell,R,Nick Fortes,663743,1,4,7,True,2021-09-21,Caught,2B,2021,2022,27.4,2022,27.4
4,4,1B,2B,Stolen Base 2B,657041,Lane Thomas,592865,Taylor Williams,444876,Alcides Escobar,R,Nick Fortes,663743,1,6,9,True,2021-09-21,Stolen,2B,2021,2022,27.4,2022,27.4
5,5,1B,2B,Stolen Base 2B,621028,Kevin Newman,665795,Edward Cabrera,668804,Bryan Reynolds,R,Nick Fortes,663743,0,3,4,True,2021-09-18,Stolen,2B,2021,2022,27.4,2022,27.4
6,6,1B,,Caught Stealing 2B,605421,Michael Pérez,669294,Paul Campbell,657061,Cole Tucker,R,Nick Fortes,663743,2,6,7,True,2021-09-18,Caught,2B,2021,2022,27.4,2022,27.4
7,7,1B,2B,Stolen Base 2B,643446,Jeff McNeil,650347,Luís Madero,542340,Jonathan Villar,R,Nick Fortes,663743,6,3,8,False,2021-09-30,Stolen,2B,2021,2022,27.4,2022,27.4
8,8,1B,2B,Stolen Base 2B,573186,Marcus Stroman,641447,Daniel Castano,607043,Brandon Nimmo,L,Nick Fortes,663743,1,0,2,False,2021-09-28,Stolen,2B,2021,2022,27.4,2022,27.4
9,9,1B,2B,Stolen Base 2B,542340,Jonathan Villar,641447,Daniel Castano,607680,Kevin Pillar,L,Nick Fortes,663743,3,0,3,False,2021-09-28,Stolen,2B,2021,2022,27.4,2022,27.4
10,10,1B,,Caught Stealing 2B,665742,Juan Soto,542914,Anthony Bass,605137,Josh Bell,R,Nick Fortes,663743,1,4,7,True,2021-09-21,Caught,2B,2021,2022,27.4,2022,27.4
11,11,1B,2B,Stolen Base 2B,657041,Lane Thomas,592865,Taylor Williams,444876,Alcides Escobar,R,Nick Fortes,663743,1,6,9,True,2021-09-21,Stolen,2B,2021,2022,27.4,2022,27.4
12,12,1B,2B,Stolen Base 2B,621028,Kevin Newman,665795,Edward Cabrera,668804,Bryan Reynolds,R,Nick Fortes,663743,0,3,4,True,2021-09-18,Stolen,2B,2021,2022,27.4,2022,27.4
13,13,1B,,Caught Stealing 2B,605421,Michael Pérez,669294,Paul Campbell,657061,Cole Tucker,R,Nick Fortes,663743,2,6,7,True,2021-09-18,Caught,2B,2021,2022,27.4,2022,27.4
14,14,1B,2B,Stolen Base 2B,678894,Liover Peguero,665795,Edward Cabrera,656582,Connor Joe,R,Nick Fortes,663743,2,0,4,False,2023-09-29,Stolen,2B,2023,2024,26.3,2024,26.3
15,15,1B,2B,Stolen Base 2B,596019,Francisco Lindor,666200,Jesús Luzardo,668901,Mark Vientos,L,Nick Fortes,663743,0,0,4,False,2023-09-28,Stolen,2B,2023,2024,26.3,2024,26.3
16,16,1B,2B,Stolen Base 2B,668930,Brice Turang,663773,Bryan Hoeing,663368,Blake Perkins,R,Nick Fortes,663743,0,10,2,True,2023-09-22,Stolen,2B,2023,2024,26.3,2024,26.3
17,17,2B,3B,Stolen Base 3B,596019,Francisco Lindor,666129,Braxton Garrett,682626,Francisco Alvarez,L,Nick Fortes,663743,0,1,3,True,2023-09-19,Stolen,3B,2023,2024,26.3,2024,26.3
18,18,1B,2B,Stolen Base 2B,547180,Bryce Harper,663773,Bryan Hoeing,592663,J.T. Realmuto,R,Nick Fortes,663743,2,0,1,False,2023-09-10,Stolen,2B,2023,2024,26.3,2024,26.3
19,19,1B,2B,Stolen Base 2B,669016,Brandon Marsh,663773,Bryan Hoeing,592206,Nick Castellanos,R,Nick Fortes,663743,3,0,4,False,2023-09-10,Stolen,2B,2023,2024,26.3,2024,26.3
20,20,1B,2B,Stolen Base 2B,605141,Mookie Betts,666129,Braxton Garrett,518692,Freddie Freeman,L,Nick Fortes,663743,0,0,3,True,2023-09-07,Stolen,2B,2023,2024,26.3,2024,26.3
21,21,1B,,Caught Stealing 2B,642708,Amed Rosario,656970,Devin Smeltzer,571970,Max Muncy,L,Nick Fortes,663743,0,6,6,True,2023-09-07,Caught,2B,2023,2024,26.3,2024,26.3
22,22,1B,2B,Stolen Base 2B,669257,Will Smith,666200,Jesús Luzardo,642708,Amed Rosario,L,Nick Fortes,663743,0,2,3,True,2023-09-05,Stolen,2B,2023,2024,26.3,2024,26.3
23,23,1B,2B,Stolen Base 2B,666139,Josh Lowe,502085,David Robertson,650490,Yandy Díaz,R,Nick Fortes,663743,0,1,10,True,2023-08-30,Stolen,2B,2023,2024,26.3,2024,26.3
24,24,1B,2B,Stolen Base 2B,668227,Randy Arozarena,502085,David Robertson,623912,Harold Ramírez,R,Nick Fortes,663743,0,3,10,True,2023-08-30,Stolen,2B,2023,2024,26.3,2024,26.3
25,25,2B,3B,Stolen Base 3B,668227,Randy Arozarena,502085,David Robertson,670623,Isaac Paredes,R,Nick Fortes,663743,0,3,10,True,2023-08-30,Stolen,3B,2023,2024,26.3,2024,26.3
26,26,2B,3B,Stolen Base 3B,682928,CJ Abrams,666129,Braxton Garrett,608841,Joey Meneses,L,Nick Fortes,663743,0,1,1,True,2023-08-25,Stolen,3B,2023,2024,26.3,2024,26.3
27,27,1B,2B,Stolen Base 2B,657041,Lane Thomas,595345,Steven Okert,608841,Joey Meneses,L,Nick Fortes,663743,0,5,7,True,2023-08-25,Stolen,2B,2023,2024,26.3,2024,26.3
28,28,1B,2B,Stolen Base 2B,656308,Michael Chavis,640462,A.J. Puk,682928,CJ Abrams,L,Nick Fortes,663743,4,7,8,True,2023-08-25,Stolen,2B,2023,2024,26.3,2024,26.3
29,29,1B,,Caught Stealing 2B,673490,Ha-Seong Kim,666200,Jesús Luzardo,665487,Fernando Tatis Jr.,L,Nick Fortes,663743,0,3,6,False,2023-08-22,Caught,2B,2023,2024,26.3,2024,26.3
30,30,2B,3B,Stolen Base 3B,673490,Ha-Seong Kim,677960,Ryan Weathers,592518,Manny Machado,L,Nick Fortes,663743,1,0,1,False,2023-08-21,Stolen,3B,2023,2024,26.3,2024,26.3
31,31,1B,2B,Stolen Base 2B,665487,Fernando Tatis Jr.,677960,Ryan Weathers,592518,Manny Machado,L,Nick Fortes,663743,1,0,1,False,2023-08-21,Stolen,2B,2023,2024,26.3,2024,26.3
32,32,1B,2B,Stolen Base 2B,514888,Jose Altuve,666129,Braxton Garrett,663656,Kyle Tucker,L,Nick Fortes,663743,0,0,1,True,2023-08-14,Stolen,2B,2023,2024,26.3,2024,26.3
33,33,1B,2B,Stolen Base 2B,664056,Harrison Bader,691587,Eury Pérez,641856,Billy McKinney,R,Nick Fortes,663743,0,0,2,True,2023-08-13,Stolen,2B,2023,2024,26.3,2024,26.3
34,34,1B,2B,Stolen Base 2B,643396,Isiah Kiner-Falefa,691587,Eury Pérez,683011,Anthony Volpe,R,Nick Fortes,663743,0,1,2,True,2023-08-13,Stolen,2B,2023,2024,26.3,2024,26.3
35,35,1B,2B,Stolen Base 2B,650402,Gleyber Torres,623211,Huascar Brazobán,519317,Giancarlo Stanton,R,Nick Fortes,663743,1,4,5,True,2023-08-13,Stolen,2B,2023,2024,26.3,2024,26.3
36,36,2B,3B,Stolen Base 3B,650402,Gleyber Torres,623211,Huascar Brazobán,519317,Giancarlo Stanton,R,Nick Fortes,663743,1,4,5,True,2023-08-13,Stolen,3B,2023,2024,26.3,2024,26.3
37,37,1B,2B,Stolen Base 2B,650402,Gleyber Torres,623211,Huascar Brazobán,664056,Harrison Bader,R,Nick Fortes,663743,2,7,7,True,2023-08-13,Stolen,2B,2023,2024,26.3,2024,26.3
38,38,1B,2B,Stolen Base 2B,664056,Harrison Bader,595345,Steven Okert,683011,Anthony Volpe,L,Nick Fortes,663743,4,7,9,True,2023-08-11,Stolen,2B,2023,2024,26.3,2024,26.3
39,39,2B,,Caught Stealing 3B,670770,TJ Friedl,666129,Braxton Garrett,656413,Stuart Fairchild,L,Nick Fortes,663743,1,1,2,False,2023-08-08,Caught,3B,2023,2024,26.3,2024,26.3
40,40,1B,2B,Stolen Base 2B,666181,Will Benson,691587,Eury Pérez,656413,Stuart Fairchild,R,Nick Fortes,663743,0,1,3,False,2023-08-07,Stolen,2B,2023,2024,26.3,2024,26.3
41,41,1B,2B,Stolen Base 2B,621028,Kevin Newman,691587,Eury Pérez,666181,Will Benson,R,Nick Fortes,663743,4,1,4,False,2023-08-07,Stolen,2B,2023,2024,26.3,2024,26.3
42,42,1B,2B,Stolen Base 2B,670770,TJ Friedl,595345,Steven Okert,668715,Spencer Steer,L,Nick Fortes,663743,5,1,7,False,2023-08-07,Stolen,2B,2023,2024,26.3,2024,26.3
