,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year_x.3,Sprint_x.3,Current_Year_y.3,Sprint_y.3,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,0,0,0,0,0,0,1B,2B,Stolen Base 2B,606299,José Peraza,448802,Jaime García,534627,Tyler Holt,L,Alberto Rosario,451705,2,1,6,False,2016-09-03,Stolen,2B,2016,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8
1,1,1,1,1,1,1,1,1,1,2B,,Caught Stealing 3B,606299,José Peraza,448802,Jaime García,534627,Tyler Holt,L,Alberto Rosario,451705,2,1,6,False,2016-09-03,Caught,3B,2016,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8
2,2,2,2,2,2,2,2,2,2,1B,2B,Stolen Base 2B,571740,Billy Hamilton,462515,Miguel Socolovich,446359,Zack Cozart,R,Alberto Rosario,451705,2,1,7,False,2016-09-03,Stolen,2B,2016,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8
3,3,3,3,3,3,3,3,3,3,1B,,Caught Stealing 2B,502143,Danny Valencia,448802,Jaime García,501981,Khris Davis,L,Alberto Rosario,451705,1,2,3,True,2016-08-28,Caught,2B,2016,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8
4,4,4,4,4,4,4,4,4,4,1B,2B,Stolen Base 2B,571740,Billy Hamilton,502190,Mike Leake,474443,Iván De Jesús Jr.,R,Alberto Rosario,451705,3,0,5,False,2016-08-04,Stolen,2B,2016,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8
5,5,5,5,5,5,5,5,5,5,2B,3B,Stolen Base 3B,408252,Brandon Phillips,502190,Mike Leake,594988,Scott Schebler,R,Alberto Rosario,451705,4,0,6,False,2016-08-04,Stolen,3B,2016,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8
6,6,6,6,6,6,6,6,6,6,1B,2B,Stolen Base 2B,501571,Juan Lagares,592815,Sam Tuivailala,493316,Yoenis Cespedes,R,Alberto Rosario,451705,3,1,7,False,2016-07-26,Stolen,2B,2016,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8
7,7,7,7,7,7,7,7,7,7,2B,3B,Stolen Base 3B,501571,Juan Lagares,592815,Sam Tuivailala,527038,Wilmer Flores,R,Alberto Rosario,451705,3,1,7,False,2016-07-26,Stolen,3B,2016,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8
8,8,8,8,8,8,8,8,8,8,1B,2B,Stolen Base 2B,501571,Juan Lagares,592815,Sam Tuivailala,493316,Yoenis Cespedes,R,Alberto Rosario,451705,3,1,7,False,2016-07-25,Stolen,2B,2016,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8
9,9,9,9,9,9,9,9,9,9,2B,3B,Stolen Base 3B,501571,Juan Lagares,592815,Sam Tuivailala,527038,Wilmer Flores,R,Alberto Rosario,451705,3,1,7,False,2016-07-25,Stolen,3B,2016,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8
10,10,10,10,10,10,10,10,10,10,1B,,Caught Stealing 2B,435062,Howie Kendrick,502190,Mike Leake,518735,Yasmani Grandal,R,Alberto Rosario,451705,0,0,2,True,2016-07-23,Caught,2B,2016,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8
11,11,11,11,11,11,11,11,11,11,1B,2B,Stolen Base 2B,457759,Justin Turner,572096,Trevor Rosenthal,435062,Howie Kendrick,R,Alberto Rosario,451705,2,7,7,True,2016-07-23,Stolen,2B,2016,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8
12,12,12,12,12,12,12,12,12,12,1B,2B,Stolen Base 2B,571976,Wil Myers,448802,Jaime García,461314,Matt Kemp,L,Alberto Rosario,451705,0,0,3,True,2016-07-20,Stolen,2B,2016,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8
13,13,13,13,13,13,13,13,13,13,1B,2B,Stolen Base 2B,500208,Yangervis Solarte,502190,Mike Leake,543105,Alex Dickerson,R,Alberto Rosario,451705,2,1,6,True,2016-07-18,Stolen,2B,2016,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8
14,14,14,14,14,14,14,14,14,14,1B,2B,Stolen Base 2B,570639,Yefri Pérez,543779,Kevin Siegrist,400085,Ichiro Suzuki,L,Alberto Rosario,451705,3,5,8,True,2016-07-17,Stolen,2B,2016,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8
15,15,15,15,15,15,15,15,15,15,2B,3B,Stolen Base 3B,400085,Ichiro Suzuki,543779,Kevin Siegrist,519317,Giancarlo Stanton,L,Alberto Rosario,451705,3,6,8,True,2016-07-17,Stolen,3B,2016,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8
16,16,16,16,16,16,16,16,16,16,1B,2B,Stolen Base 2B,445988,Martín Prado,543779,Kevin Siegrist,519317,Giancarlo Stanton,L,Alberto Rosario,451705,3,6,8,True,2016-07-17,Stolen,2B,2016,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8
17,17,17,17,17,17,17,17,17,17,1B,2B,Stolen Base 2B,606299,José Peraza,448802,Jaime García,534627,Tyler Holt,L,Alberto Rosario,451705,2,1,6,False,2016-09-03,Stolen,2B,2016,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8
18,18,18,18,18,18,18,18,18,18,2B,,Caught Stealing 3B,606299,José Peraza,448802,Jaime García,534627,Tyler Holt,L,Alberto Rosario,451705,2,1,6,False,2016-09-03,Caught,3B,2016,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8,2017,28.8
