,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year,Sprint
0,0,0,0,0,1B,2B,Stolen Base 2B,457708,Justin Upton,596271,Casey Lawrence,405395,Albert Pujols,R,Carlos Ruiz,434563,4,1,7,False,2017-09-30,Stolen,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
1,1,1,1,1,1B,2B,Stolen Base 2B,458731,Brett Gardner,596271,Casey Lawrence,592450,Aaron Judge,R,Carlos Ruiz,434563,6,3,8,False,2017-08-26,Stolen,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
2,2,2,2,2,1B,2B,Stolen Base 2B,519306,Steven Souza Jr.,596271,Casey Lawrence,572816,Corey Dickerson,R,Carlos Ruiz,434563,3,0,8,False,2017-08-20,Stolen,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
3,3,3,3,3,2B,3B,Stolen Base 3B,519306,Steven Souza Jr.,596271,Casey Lawrence,491696,Jesús Sucre,R,Carlos Ruiz,434563,3,0,8,False,2017-08-20,Stolen,3B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
4,4,4,4,4,1B,2B,Stolen Base 2B,519184,Ben Revere,621242,Edwin Díaz,457727,Cameron Maybin,R,Carlos Ruiz,434563,3,3,9,True,2017-08-10,Stolen,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
5,5,5,5,5,1B,2B,Stolen Base 2B,444876,Alcides Escobar,596271,Casey Lawrence,460086,Alex Gordon,R,Carlos Ruiz,434563,5,1,6,False,2017-08-06,Stolen,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
6,6,6,6,6,2B,3B,Stolen Base 3B,593160,Whit Merrifield,592533,Cody Martin,543333,Eric Hosmer,R,Carlos Ruiz,434563,8,1,7,False,2017-08-06,Stolen,3B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
7,7,7,7,7,1B,2B,Stolen Base 2B,456715,Lorenzo Cain,592533,Cody Martin,543333,Eric Hosmer,R,Carlos Ruiz,434563,8,1,7,False,2017-08-06,Stolen,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
8,8,8,8,8,1B,2B,Stolen Base 2B,444876,Alcides Escobar,596271,Casey Lawrence,460086,Alex Gordon,R,Carlos Ruiz,434563,5,1,6,False,2017-08-05,Stolen,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
9,9,9,9,9,2B,3B,Stolen Base 3B,593160,Whit Merrifield,592533,Cody Martin,543333,Eric Hosmer,R,Carlos Ruiz,434563,8,1,7,False,2017-08-05,Stolen,3B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
10,10,10,10,10,1B,2B,Stolen Base 2B,456715,Lorenzo Cain,592533,Cody Martin,543333,Eric Hosmer,R,Carlos Ruiz,434563,8,1,7,False,2017-08-05,Stolen,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
11,11,11,11,11,1B,,Caught Stealing 2B,460576,Carlos Gómez,433587,Félix Hernández,592685,Drew Robinson,R,Carlos Ruiz,434563,4,4,6,False,2017-07-31,Caught,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
12,12,12,12,12,2B,,Caught Stealing 3B,543807,George Springer,543208,Sam Gaviglio,514888,Jose Altuve,R,Carlos Ruiz,434563,4,0,4,False,2017-07-18,Caught,3B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
13,13,13,13,13,1B,2B,Stolen Base 2B,641553,Adam Engel,433587,Félix Hernández,466320,Melky Cabrera,R,Carlos Ruiz,434563,2,1,3,False,2017-07-15,Stolen,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
14,14,14,14,14,1B,,Caught Stealing 2B,457727,Cameron Maybin,543208,Sam Gaviglio,594777,Kole Calhoun,R,Carlos Ruiz,434563,0,0,1,False,2017-07-01,Caught,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
15,15,15,15,15,1B,2B,Stolen Base 2B,519184,Ben Revere,543208,Sam Gaviglio,545338,Nick Franklin,R,Carlos Ruiz,434563,1,0,3,False,2017-07-01,Stolen,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
16,16,16,16,16,1B,2B,Stolen Base 2B,435079,Ian Kinsler,656186,Dan Altavilla,592206,Nick Castellanos,R,Carlos Ruiz,434563,4,2,8,True,2017-06-20,Stolen,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
17,17,17,17,17,2B,3B,Stolen Base 3B,435079,Ian Kinsler,656186,Dan Altavilla,502110,J.D. Martinez,R,Carlos Ruiz,434563,4,4,8,True,2017-06-20,Stolen,3B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
18,18,18,18,18,1B,,Caught Stealing 2B,461865,Andrew Romine,621242,Edwin Díaz,488671,Alex Avila,R,Carlos Ruiz,434563,4,4,9,True,2017-06-20,Caught,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
19,19,19,19,19,1B,2B,Stolen Base 2B,430832,José Bautista,543964,Tony Zych,434778,Kendrys Morales,R,Carlos Ruiz,434563,2,3,8,True,2017-06-10,Stolen,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
20,20,20,20,20,1B,2B,Stolen Base 2B,471865,Carlos González,596271,Casey Lawrence,448602,Mark Reynolds,R,Carlos Ruiz,434563,2,5,5,True,2017-06-01,Stolen,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
21,21,21,21,21,1B,,Caught Stealing 2B,519048,Mitch Moreland,548357,Christian Bergman,598265,Jackie Bradley Jr.,R,Carlos Ruiz,434563,0,1,5,False,2017-05-28,Caught,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
