,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year,Sprint
0,0,0,0,0,3705,1B,2B,Stolen Base 2B,449181,Paulo Orlando,518516,Madison Bumgarner,460086,Alex Gordon,L,Nick Hundley,460026,0,0,5,False,2017-04-19,Stolen,2B,2017,2018,29.1,2018,29.1,2018,29.1,2018,29.1,2018,29.1
1,1,1,1,1,3706,1B,,Caught Stealing 2B,449181,Paulo Orlando,595345,Steven Okert,460086,Alex Gordon,L,Nick Hundley,460026,1,0,7,False,2017-04-19,Caught,2B,2017,2018,29.1,2018,29.1,2018,29.1,2018,29.1,2018,29.1
2,2,2,2,2,3077,1B,2B,Stolen Base 2B,449181,Paulo Orlando,518516,Madison Bumgarner,460086,Alex Gordon,L,Nick Hundley,460026,0,0,5,False,2017-04-19,Stolen,2B,2017,2018,29.1,2018,29.1,2018,29.1,2018,29.1,2018,29.1
3,3,3,3,3,3078,1B,,Caught Stealing 2B,449181,Paulo Orlando,595345,Steven Okert,460086,Alex Gordon,L,Nick Hundley,460026,1,0,7,False,2017-04-19,Caught,2B,2017,2018,29.1,2018,29.1,2018,29.1,2018,29.1,2018,29.1
4,4,4,4,4,4061,1B,,Caught Stealing 2B,449181,Paulo Orlando,502043,Kyle Gibson,460086,Alex Gordon,R,John Ryan Murphy,571974,2,1,6,False,2016-09-29,Caught,2B,2016,2017,28.4,2017,28.4,2017,28.4,2017,28.4,2017,28.4
5,5,5,5,5,4165,1B,2B,Stolen Base 2B,449181,Paulo Orlando,543278,Blaine Hardy,460086,Alex Gordon,L,Jarrod Saltalamacchia,457454,0,4,1,True,2016-09-25,Stolen,2B,2016,2017,28.4,2017,28.4,2017,28.4,2017,28.4,2017,28.4
6,6,6,6,6,4166,1B,2B,Stolen Base 2B,449181,Paulo Orlando,434671,Aníbal Sánchez,596144,Cheslor Cuthbert,R,Jarrod Saltalamacchia,457454,0,6,3,True,2016-09-25,Stolen,2B,2016,2017,28.4,2017,28.4,2017,28.4,2017,28.4,2017,28.4
7,7,7,7,7,4531,1B,2B,Stolen Base 2B,449181,Paulo Orlando,429722,Ervin Santana,543333,Eric Hosmer,R,Kurt Suzuki,435559,3,2,6,True,2016-09-06,Stolen,2B,2016,2017,28.4,2017,28.4,2017,28.4,2017,28.4,2017,28.4
8,8,8,8,8,4791,1B,2B,Stolen Base 2B,449181,Paulo Orlando,488768,Andrew Cashner,596144,Cheslor Cuthbert,R,J.T. Realmuto,592663,0,0,6,True,2016-08-23,Stolen,2B,2016,2017,28.4,2017,28.4,2017,28.4,2017,28.4,2017,28.4
9,9,9,9,9,4984,1B,2B,Stolen Base 2B,449181,Paulo Orlando,502043,Kyle Gibson,456715,Lorenzo Cain,R,Kurt Suzuki,435559,0,2,2,True,2016-08-12,Stolen,2B,2016,2017,28.4,2017,28.4,2017,28.4,2017,28.4,2017,28.4
10,10,10,10,10,5118,1B,2B,Stolen Base 2B,449181,Paulo Orlando,592717,Aaron Sanchez,609275,Adalberto Mondesi,R,Russell Martin,431145,4,2,6,False,2016-08-06,Stolen,2B,2016,2017,28.4,2017,28.4,2017,28.4,2017,28.4,2017,28.4
11,11,11,11,11,5146,1B,2B,Stolen Base 2B,449181,Paulo Orlando,434538,Francisco Liriano,609275,Adalberto Mondesi,L,Russell Martin,431145,3,3,6,False,2016-08-05,Stolen,2B,2016,2017,28.4,2017,28.4,2017,28.4,2017,28.4,2017,28.4
