,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
3014,2B,3B,Stolen Base 3B,677594,Julio Rodríguez,606160,Rafael Montero,641598,Mitch Garver,R,Victor Caratini,605170,3,2,7,False,2024-05-27,Stolen,3B
3051,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,571670,Dylan Floro,641598,Mitch Garver,R,Keibert Ruiz,660688,5,5,8,True,2024-05-26,Stolen,2B
3052,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,607179,Jordan Weems,664034,Ty France,R,Keibert Ruiz,660688,5,9,9,True,2024-05-26,Stolen,2B
3299,1B,,Caught Stealing 2B,677594,Julio Rodríguez,679525,Alec Marsh,571745,Mitch Haniger,R,Freddy Fermin,666023,0,0,1,False,2024-05-15,Caught,2B
3412,1B,,Caught Stealing 2B,677594,Julio Rodríguez,687765,Mitch Spence,571745,Mitch Haniger,R,Shea Langeliers,669127,1,2,6,False,2024-05-11,Caught,2B
3484,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,663978,Chris Paddack,571745,Mitch Haniger,R,Christian Vázquez,543877,0,0,1,True,2024-05-08,Stolen,2B
3504,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,660896,Jorge Alcala,641598,Mitch Garver,R,Ryan Jeffers,680777,6,9,9,True,2024-05-07,Stolen,2B
3755,1B,,Caught Stealing 2B,677594,Julio Rodríguez,656464,Kevin Ginkel,663728,Cal Raleigh,R,Gabriel Moreno,672515,3,1,8,False,2024-04-27,Caught,2B
3805,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,571760,Andrew Heaney,571745,Mitch Haniger,L,Andrew Knizner,668800,2,4,5,True,2024-04-25,Stolen,2B
3911,1B,,Caught Stealing 2B,677594,Julio Rodríguez,656234,Jake Bird,571745,Mitch Haniger,R,Jacob Stallings,607732,0,0,7,True,2024-04-21,Caught,2B
3933,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,641712,Dakota Hudson,571745,Mitch Haniger,R,Elias Díaz,553869,0,1,3,True,2024-04-20,Stolen,2B
3934,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,641712,Dakota Hudson,593871,Jorge Polanco,R,Elias Díaz,553869,0,3,4,True,2024-04-20,Stolen,2B
4031,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,668881,Hunter Greene,593871,Jorge Polanco,R,Luke Maile,571912,0,0,3,False,2024-04-16,Stolen,2B
4067,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,571656,Buck Farmer,593871,Jorge Polanco,R,Tyler Stephenson,663886,6,3,7,False,2024-04-15,Stolen,2B
4390,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,680704,Nick Sandlin,571745,Mitch Haniger,R,Bo Naylor,666310,5,2,5,False,2024-04-01,Stolen,2B
4488,2B,3B,Stolen Base 3B,677594,Julio Rodríguez,664285,Framber Valdez,606192,Teoscar Hernández,L,Martín Maldonado,455117,1,0,1,False,2023-09-27,Stolen,3B
4759,2B,,Caught Stealing 3B,677594,Julio Rodríguez,477132,Clayton Kershaw,606192,Teoscar Hernández,L,Will Smith,669257,0,0,3,False,2023-09-16,Caught,3B
5155,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,656887,Sean Reid-Foley,553993,Eugenio Suárez,R,Omar Narváez,553882,3,7,6,True,2023-09-02,Stolen,2B
5322,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,663903,Brady Singer,663728,Cal Raleigh,R,Salvador Perez,521692,2,0,1,False,2023-08-25,Stolen,2B
5379,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,656629,Michael Kopech,553993,Eugenio Suárez,R,Carlos Pérez,656024,0,0,1,True,2023-08-23,Stolen,2B
5462,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,664285,Framber Valdez,553993,Eugenio Suárez,L,Martín Maldonado,455117,0,1,1,True,2023-08-19,Stolen,2B
5488,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,641585,J.P. France,553993,Eugenio Suárez,R,Martín Maldonado,455117,0,0,1,True,2023-08-18,Stolen,2B
5489,1B,2B,Stolen Base 2B,677594,Julio Rodríguez,664353,José Urquidy,553993,Eugenio Suárez,R,Martín Maldonado,455117,0,2,9,True,2023-08-18,Stolen,2B
