,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,1B,2B,Stolen Base 2B,593643,Hanser Alberto,527048,Martín Pérez,600474,Pedro Severino,L,Christian Vázquez,543877,0,0,1,True,2020-09-24,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
1,1,1,1,1B,2B,Stolen Base 2B,656775,Cedric Mullins,601713,Nick Pivetta,669720,Austin Hays,R,Christian Vázquez,543877,3,1,3,True,2020-09-22,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
2,2,2,2,1B,2B,Stolen Base 2B,656509,Monte Harrison,607391,Chris Mazza,542583,Jesús Aguilar,R,Christian Vázquez,543877,6,1,4,False,2020-09-16,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
3,3,3,3,1B,2B,Stolen Base 2B,664040,Brandon Lowe,592811,Andrew Triggs,596847,Ji Man Choi,R,Christian Vázquez,543877,0,0,1,False,2020-09-11,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
4,4,4,4,2B,3B,Stolen Base 3B,621563,Joey Wendle,664180,Matt Hall,595281,Kevin Kiermaier,L,Christian Vázquez,543877,2,0,3,False,2020-09-11,Stolen,3B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
5,5,5,5,1B,2B,Stolen Base 2B,664040,Brandon Lowe,664180,Matt Hall,595281,Kevin Kiermaier,L,Christian Vázquez,543877,2,0,3,False,2020-09-11,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
6,6,6,6,2B,,Caught Stealing 3B,622534,Manuel Margot,592464,Mike Kickham,640457,Austin Meadows,L,Christian Vázquez,543877,0,0,1,False,2020-09-10,Caught,3B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
7,7,7,7,1B,2B,Stolen Base 2B,622534,Manuel Margot,543901,Ryan Weber,640457,Austin Meadows,R,Christian Vázquez,543877,3,3,5,False,2020-09-10,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
8,8,8,8,1B,2B,Stolen Base 2B,622534,Manuel Margot,598264,Matt Barnes,660294,Yoshi Tsutsugo,R,Christian Vázquez,543877,3,4,9,False,2020-09-10,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
9,9,9,9,1B,2B,Stolen Base 2B,544369,Didi Gregorius,598264,Matt Barnes,656514,Adam Haseley,R,Christian Vázquez,543877,4,5,7,False,2020-09-08,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
10,10,10,10,1B,,Caught Stealing 2B,607208,Trea Turner,527048,Martín Pérez,665742,Juan Soto,L,Christian Vázquez,543877,1,6,4,True,2020-08-28,Caught,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
11,11,11,11,3B,score,Caught Stealing 2B,645302,Victor Robles,527048,Martín Pérez,665742,Juan Soto,L,Christian Vázquez,543877,1,6,4,True,2020-08-28,Caught,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
12,12,12,12,1B,2B,Stolen Base 2B,666971,Lourdes Gurriel Jr.,605155,Colten Brewer,624512,Reese McGuire,R,Christian Vázquez,543877,2,0,2,False,2020-08-26,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
13,13,13,13,1B,,Caught Stealing 2B,623205,Andrew Velazquez,518489,Ryan Brasier,600474,Pedro Severino,R,Christian Vázquez,543877,3,3,8,False,2020-08-22,Caught,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
14,14,14,14,2B,3B,Stolen Base 3B,458731,Brett Gardner,592390,Heath Hembree,642180,Tyler Wade,R,Christian Vázquez,543877,8,3,6,False,2020-08-15,Stolen,3B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
15,15,15,15,1B,2B,Stolen Base 2B,458731,Brett Gardner,592169,Austin Brice,518934,DJ LeMahieu,R,Christian Vázquez,543877,2,1,4,False,2020-08-14,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
16,16,16,16,1B,2B,Stolen Base 2B,666182,Bo Bichette,643327,Zack Godley,606192,Teoscar Hernández,R,Christian Vázquez,543877,0,0,1,True,2020-08-08,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
17,17,17,17,1B,,Caught Stealing 2B,545341,Randal Grichuk,543901,Ryan Weber,543768,Travis Shaw,R,Christian Vázquez,543877,1,1,2,True,2020-08-07,Caught,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
18,18,18,18,1B,2B,Stolen Base 2B,546990,Anthony Alford,598264,Matt Barnes,665489,Vladimir Guerrero Jr.,R,Christian Vázquez,543877,4,3,8,True,2020-08-07,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
19,19,19,19,2B,3B,Stolen Base 3B,546990,Anthony Alford,598264,Matt Barnes,545341,Randal Grichuk,R,Christian Vázquez,543877,4,3,8,True,2020-08-07,Stolen,3B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
20,20,20,20,1B,2B,Stolen Base 2B,621563,Joey Wendle,570488,Phillips Valdez,592669,Hunter Renfroe,R,Christian Vázquez,543877,4,1,6,False,2020-08-04,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
21,21,21,21,1B,2B,Stolen Base 2B,570482,Gio Urshela,643327,Zack Godley,458731,Brett Gardner,R,Christian Vázquez,543877,5,2,4,False,2020-08-01,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
22,22,22,22,1B,2B,Stolen Base 2B,643565,Mike Tauchman,607391,Chris Mazza,596142,Gary Sánchez,R,Christian Vázquez,543877,5,2,5,False,2020-08-01,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
23,23,23,23,1B,2B,Stolen Base 2B,643565,Mike Tauchman,592612,Josh Osich,570482,Gio Urshela,L,Christian Vázquez,543877,5,2,8,False,2020-08-01,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
24,24,24,24,1B,,Caught Stealing 2B,519317,Giancarlo Stanton,592169,Austin Brice,543305,Aaron Hicks,R,Christian Vázquez,543877,3,1,7,False,2020-07-31,Caught,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
25,25,25,25,1B,,Caught Stealing 2B,624424,Michael Conforto,527048,Martín Pérez,572821,Brian Dozier,L,Christian Vázquez,543877,0,1,2,False,2020-07-30,Caught,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
26,26,26,26,1B,2B,Stolen Base 2B,665926,Andrés Giménez,592390,Heath Hembree,467092,Wilson Ramos,R,Christian Vázquez,543877,2,3,7,False,2020-07-30,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
27,27,27,27,1B,2B,Stolen Base 2B,641477,Ryan Cordell,598264,Matt Barnes,493316,Yoenis Cespedes,R,Christian Vázquez,543877,2,3,8,False,2020-07-30,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
28,28,28,28,1B,,Caught Stealing 2B,669720,Austin Hays,519393,Marcus Walden,578428,Jose Iglesias,R,Christian Vázquez,543877,2,6,6,True,2020-07-26,Caught,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
29,29,29,29,1B,2B,Stolen Base 2B,593643,Hanser Alberto,527048,Martín Pérez,600474,Pedro Severino,L,Christian Vázquez,543877,0,0,1,True,2020-09-24,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
30,30,30,30,1B,2B,Stolen Base 2B,656775,Cedric Mullins,601713,Nick Pivetta,669720,Austin Hays,R,Christian Vázquez,543877,3,1,3,True,2020-09-22,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
31,31,31,31,1B,2B,Stolen Base 2B,656509,Monte Harrison,607391,Chris Mazza,542583,Jesús Aguilar,R,Christian Vázquez,543877,6,1,4,False,2020-09-16,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
32,32,32,32,1B,2B,Stolen Base 2B,664040,Brandon Lowe,592811,Andrew Triggs,596847,Ji Man Choi,R,Christian Vázquez,543877,0,0,1,False,2020-09-11,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
33,33,33,33,2B,3B,Stolen Base 3B,621563,Joey Wendle,664180,Matt Hall,595281,Kevin Kiermaier,L,Christian Vázquez,543877,2,0,3,False,2020-09-11,Stolen,3B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
34,34,34,34,1B,2B,Stolen Base 2B,664040,Brandon Lowe,664180,Matt Hall,595281,Kevin Kiermaier,L,Christian Vázquez,543877,2,0,3,False,2020-09-11,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
35,35,35,35,2B,,Caught Stealing 3B,622534,Manuel Margot,592464,Mike Kickham,640457,Austin Meadows,L,Christian Vázquez,543877,0,0,1,False,2020-09-10,Caught,3B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
36,36,36,36,1B,2B,Stolen Base 2B,622534,Manuel Margot,543901,Ryan Weber,640457,Austin Meadows,R,Christian Vázquez,543877,3,3,5,False,2020-09-10,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
37,37,37,37,1B,2B,Stolen Base 2B,622534,Manuel Margot,598264,Matt Barnes,660294,Yoshi Tsutsugo,R,Christian Vázquez,543877,3,4,9,False,2020-09-10,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
38,38,38,38,1B,2B,Stolen Base 2B,544369,Didi Gregorius,598264,Matt Barnes,656514,Adam Haseley,R,Christian Vázquez,543877,4,5,7,False,2020-09-08,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
39,39,39,39,1B,,Caught Stealing 2B,607208,Trea Turner,527048,Martín Pérez,665742,Juan Soto,L,Christian Vázquez,543877,1,6,4,True,2020-08-28,Caught,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
40,40,40,40,3B,score,Caught Stealing 2B,645302,Victor Robles,527048,Martín Pérez,665742,Juan Soto,L,Christian Vázquez,543877,1,6,4,True,2020-08-28,Caught,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
41,41,41,41,1B,2B,Stolen Base 2B,666971,Lourdes Gurriel Jr.,605155,Colten Brewer,624512,Reese McGuire,R,Christian Vázquez,543877,2,0,2,False,2020-08-26,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
42,42,42,42,1B,,Caught Stealing 2B,623205,Andrew Velazquez,518489,Ryan Brasier,600474,Pedro Severino,R,Christian Vázquez,543877,3,3,8,False,2020-08-22,Caught,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
43,43,43,43,2B,3B,Stolen Base 3B,458731,Brett Gardner,592390,Heath Hembree,642180,Tyler Wade,R,Christian Vázquez,543877,8,3,6,False,2020-08-15,Stolen,3B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
44,44,44,44,1B,2B,Stolen Base 2B,458731,Brett Gardner,592169,Austin Brice,518934,DJ LeMahieu,R,Christian Vázquez,543877,2,1,4,False,2020-08-14,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
45,45,45,45,1B,2B,Stolen Base 2B,666182,Bo Bichette,643327,Zack Godley,606192,Teoscar Hernández,R,Christian Vázquez,543877,0,0,1,True,2020-08-08,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
46,46,46,46,1B,,Caught Stealing 2B,545341,Randal Grichuk,543901,Ryan Weber,543768,Travis Shaw,R,Christian Vázquez,543877,1,1,2,True,2020-08-07,Caught,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
47,47,47,47,1B,2B,Stolen Base 2B,546990,Anthony Alford,598264,Matt Barnes,665489,Vladimir Guerrero Jr.,R,Christian Vázquez,543877,4,3,8,True,2020-08-07,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
48,48,48,48,2B,3B,Stolen Base 3B,546990,Anthony Alford,598264,Matt Barnes,545341,Randal Grichuk,R,Christian Vázquez,543877,4,3,8,True,2020-08-07,Stolen,3B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
49,49,49,49,1B,2B,Stolen Base 2B,621563,Joey Wendle,570488,Phillips Valdez,592669,Hunter Renfroe,R,Christian Vázquez,543877,4,1,6,False,2020-08-04,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
50,50,50,50,1B,2B,Stolen Base 2B,570482,Gio Urshela,643327,Zack Godley,458731,Brett Gardner,R,Christian Vázquez,543877,5,2,4,False,2020-08-01,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
51,51,51,51,1B,2B,Stolen Base 2B,643565,Mike Tauchman,607391,Chris Mazza,596142,Gary Sánchez,R,Christian Vázquez,543877,5,2,5,False,2020-08-01,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
52,52,52,52,1B,2B,Stolen Base 2B,643565,Mike Tauchman,592612,Josh Osich,570482,Gio Urshela,L,Christian Vázquez,543877,5,2,8,False,2020-08-01,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
53,53,53,53,1B,,Caught Stealing 2B,519317,Giancarlo Stanton,592169,Austin Brice,543305,Aaron Hicks,R,Christian Vázquez,543877,3,1,7,False,2020-07-31,Caught,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
54,54,54,54,1B,,Caught Stealing 2B,624424,Michael Conforto,527048,Martín Pérez,572821,Brian Dozier,L,Christian Vázquez,543877,0,1,2,False,2020-07-30,Caught,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
55,55,55,55,1B,2B,Stolen Base 2B,665926,Andrés Giménez,592390,Heath Hembree,467092,Wilson Ramos,R,Christian Vázquez,543877,2,3,7,False,2020-07-30,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
56,56,56,56,1B,2B,Stolen Base 2B,641477,Ryan Cordell,598264,Matt Barnes,493316,Yoenis Cespedes,R,Christian Vázquez,543877,2,3,8,False,2020-07-30,Stolen,2B,2020,2021,26.8,2021,26.8,2021,26.8,2021,26.8
