,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
34,1B,2B,Stolen Base 2B,592885,Christian Yelich,519141,Drew Pomeranz,518735,Yasmani Grandal,L,Buster Posey,457763,2,2,5,True,2019-06-14,Stolen,2B,2019,2021,27.5
35,1B,2B,Stolen Base 2B,542340,Jonathan Villar,519141,Drew Pomeranz,641820,Trey Mancini,L,Buster Posey,457763,8,6,2,False,2019-05-31,Stolen,2B,2019,2021,27.5
36,2B,3B,Stolen Base 3B,542340,Jonathan Villar,519141,Drew Pomeranz,641820,Trey Mancini,L,Buster Posey,457763,8,6,2,False,2019-05-31,Stolen,3B,2019,2021,27.5
37,1B,2B,Stolen Base 2B,605113,Nick Ahmed,641312,Shaun Anderson,608348,Carson Kelly,R,Buster Posey,457763,1,2,2,True,2019-05-26,Stolen,2B,2019,2021,27.5
38,1B,2B,Stolen Base 2B,621020,Dansby Swanson,606625,Reyes Moronta,518626,Josh Donaldson,R,Buster Posey,457763,4,4,13,True,2019-05-23,Stolen,2B,2019,2021,27.5
39,1B,2B,Stolen Base 2B,660670,Ronald Acuña Jr.,606625,Reyes Moronta,621020,Dansby Swanson,R,Buster Posey,457763,1,2,7,True,2019-05-21,Stolen,2B,2019,2021,27.5
40,1B,,Caught Stealing 2B,660670,Ronald Acuña Jr.,641627,Trevor Gott,621020,Dansby Swanson,R,Buster Posey,457763,1,3,9,True,2019-05-21,Caught,2B,2019,2021,27.5
41,1B,,Caught Stealing 2B,663586,Austin Riley,605498,Andrew Suárez,452095,Tyler Flowers,L,Buster Posey,457763,0,1,2,True,2019-05-20,Caught,2B,2019,2021,27.5
42,1B,2B,Stolen Base 2B,448602,Mark Reynolds,502188,Jeff Samardzija,547172,Tony Wolters,R,Buster Posey,457763,0,12,3,False,2019-05-08,Stolen,2B,2019,2021,27.5
43,1B,2B,Stolen Base 2B,669222,Nick Senzel,641627,Trevor Gott,578428,Jose Iglesias,R,Buster Posey,457763,4,4,6,False,2019-05-05,Stolen,2B,2019,2021,27.5
44,1B,2B,Stolen Base 2B,642165,Josh VanMeter,606625,Reyes Moronta,571466,Tucker Barnhart,R,Buster Posey,457763,4,4,7,False,2019-05-05,Stolen,2B,2019,2021,27.5
45,1B,2B,Stolen Base 2B,641355,Cody Bellinger,518516,Madison Bumgarner,431145,Russell Martin,L,Buster Posey,457763,1,1,6,True,2019-05-01,Stolen,2B,2019,2021,27.5
46,2B,3B,Stolen Base 3B,621035,Chris Taylor,606625,Reyes Moronta,571771,Enrique Hernández,R,Buster Posey,457763,1,1,7,True,2019-05-01,Stolen,3B,2019,2021,27.5
47,1B,2B,Stolen Base 2B,657077,Alex Verdugo,606625,Reyes Moronta,608369,Corey Seager,R,Buster Posey,457763,1,1,7,True,2019-05-01,Stolen,2B,2019,2021,27.5
48,1B,2B,Stolen Base 2B,518934,DJ LeMahieu,502706,Derek Holland,572228,Luke Voit,L,Buster Posey,457763,0,1,3,True,2019-04-27,Stolen,2B,2019,2021,27.5
49,1B,2B,Stolen Base 2B,543776,JB Shuck,518516,Madison Bumgarner,570481,Erik González,L,Buster Posey,457763,4,0,1,False,2019-04-19,Stolen,2B,2019,2021,27.5
