,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year,Sprint
0,0,0,0,0,0,0,1B,2B,Stolen Base 2B,502054,Tommy Pham,502202,Brad Boxberger,677950,Alek Thomas,R,Miguel Amaya,665804,6,2,8,False,2023-09-17,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
1,1,1,1,1,1,1,1B,,Caught Stealing 2B,642731,Thairo Estrada,696136,Jordan Wicks,571745,Mitch Haniger,L,Miguel Amaya,665804,0,0,1,True,2023-09-06,Caught,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
2,2,2,2,2,2,2,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,696136,Jordan Wicks,592669,Hunter Renfroe,L,Miguel Amaya,665804,0,0,3,False,2023-09-01,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
3,3,3,3,3,3,3,2B,3B,Stolen Base 3B,668804,Bryan Reynolds,696136,Jordan Wicks,682848,Endy Rodríguez,L,Miguel Amaya,665804,1,0,1,False,2023-08-26,Stolen,3B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
4,4,4,4,4,4,4,1B,2B,Stolen Base 2B,656716,Zach McKinstry,621016,Jose Cuas,663837,Matt Vierling,R,Miguel Amaya,665804,7,6,8,False,2023-08-22,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
5,5,5,5,5,5,5,1B,2B,Stolen Base 2B,677951,Bobby Witt Jr.,543294,Kyle Hendricks,686681,Michael Massey,R,Miguel Amaya,665804,0,1,1,True,2023-08-20,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
6,6,6,6,6,6,6,1B,2B,Stolen Base 2B,686681,Michael Massey,543294,Kyle Hendricks,676369,Nelson Velázquez,R,Miguel Amaya,665804,0,1,1,True,2023-08-20,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
7,7,7,7,7,7,7,1B,2B,Stolen Base 2B,622110,Matt Duffy,543294,Kyle Hendricks,607461,Matt Beaty,R,Miguel Amaya,665804,2,1,2,True,2023-08-20,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
8,8,8,8,8,8,8,1B,2B,Stolen Base 2B,593160,Whit Merrifield,592791,Jameson Taillon,474832,Brandon Belt,R,Miguel Amaya,665804,3,2,2,False,2023-08-13,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
9,9,9,9,9,9,9,1B,2B,Stolen Base 2B,624413,Pete Alonso,543294,Kyle Hendricks,501659,Abraham Almonte,R,Miguel Amaya,665804,0,2,2,False,2023-08-09,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
10,10,10,10,10,10,10,1B,2B,Stolen Base 2B,542364,Rafael Ortega,543294,Kyle Hendricks,607043,Brandon Nimmo,R,Miguel Amaya,665804,0,2,3,False,2023-08-09,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
11,11,11,11,11,11,11,1B,2B,Stolen Base 2B,660670,Ronald Acuña Jr.,657006,Justin Steele,645277,Ozzie Albies,L,Miguel Amaya,665804,0,0,3,True,2023-08-06,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
12,12,12,12,12,12,12,1B,2B,Stolen Base 2B,691023,Jordan Walker,543294,Kyle Hendricks,600301,Taylor Motter,R,Miguel Amaya,665804,1,0,2,False,2023-07-30,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
13,13,13,13,13,13,13,2B,3B,Stolen Base 3B,669357,Nolan Gorman,592767,Drew Smyly,575929,Willson Contreras,L,Miguel Amaya,665804,2,3,6,False,2023-07-28,Stolen,3B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
14,14,14,14,14,14,14,2B,3B,Stolen Base 3B,641933,Tyler O'Neill,643410,Mark Leiter Jr.,680977,Brendan Donovan,R,Miguel Amaya,665804,4,3,8,True,2023-07-21,Stolen,3B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
15,15,15,15,15,15,15,1B,2B,Stolen Base 2B,691023,Jordan Walker,643410,Mark Leiter Jr.,680977,Brendan Donovan,R,Miguel Amaya,665804,4,3,8,True,2023-07-21,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
16,16,16,16,16,16,16,1B,2B,Stolen Base 2B,680911,Owen Miller,543294,Kyle Hendricks,663368,Blake Perkins,R,Miguel Amaya,665804,0,4,5,False,2023-07-04,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
17,17,17,17,17,17,17,1B,,Caught Stealing 2B,668930,Brice Turang,543294,Kyle Hendricks,686894,Joey Wiemer,R,Miguel Amaya,665804,1,4,5,False,2023-07-04,Caught,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
18,18,18,18,18,18,18,1B,2B,Stolen Base 2B,592885,Christian Yelich,543294,Kyle Hendricks,608385,Jesse Winker,R,Miguel Amaya,665804,1,4,6,False,2023-07-04,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
19,19,19,19,19,19,19,2B,3B,Stolen Base 3B,607208,Trea Turner,543294,Kyle Hendricks,592206,Nick Castellanos,R,Miguel Amaya,665804,0,1,1,True,2023-06-29,Stolen,3B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
20,20,20,20,20,20,20,1B,2B,Stolen Base 2B,607208,Trea Turner,543294,Kyle Hendricks,547180,Bryce Harper,R,Miguel Amaya,665804,1,3,3,True,2023-06-29,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
21,21,21,21,21,21,21,1B,2B,Stolen Base 2B,543305,Aaron Hicks,592791,Jameson Taillon,602104,Ramón Urías,R,Miguel Amaya,665804,1,0,2,True,2023-06-18,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
22,22,22,22,22,22,22,1B,2B,Stolen Base 2B,660271,Shohei Ohtani,592791,Jameson Taillon,545361,Mike Trout,R,Miguel Amaya,665804,2,2,5,False,2023-06-07,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
23,23,23,23,23,23,23,2B,3B,Stolen Base 3B,660271,Shohei Ohtani,592791,Jameson Taillon,545361,Mike Trout,R,Miguel Amaya,665804,2,2,5,False,2023-06-07,Stolen,3B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
24,24,24,24,24,24,24,1B,2B,Stolen Base 2B,650859,Luis Rengifo,643410,Mark Leiter Jr.,687263,Zach Neto,R,Miguel Amaya,665804,3,2,6,False,2023-06-07,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
25,25,25,25,25,25,25,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,573186,Marcus Stroman,575929,Willson Contreras,R,Miguel Amaya,665804,1,2,6,True,2023-05-08,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
26,26,26,26,26,26,26,1B,2B,Stolen Base 2B,542932,Jon Berti,502202,Brad Boxberger,665862,Jazz Chisholm Jr.,R,Miguel Amaya,665804,0,1,8,True,2023-05-07,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
27,27,27,27,27,27,27,1B,,Caught Stealing 2B,542932,Jon Berti,621074,Michael Rucker,624585,Jorge Soler,R,Miguel Amaya,665804,1,2,5,True,2023-05-06,Caught,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
28,28,28,28,28,28,28,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,696136,Jordan Wicks,592669,Hunter Renfroe,L,Miguel Amaya,665804,0,0,3,False,2023-04-05,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
29,29,29,29,29,29,29,1B,2B,Stolen Base 2B,502054,Tommy Pham,502202,Brad Boxberger,677950,Alek Thomas,R,Miguel Amaya,665804,6,2,8,False,2023-09-17,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
30,30,30,30,30,30,30,1B,,Caught Stealing 2B,642731,Thairo Estrada,696136,Jordan Wicks,571745,Mitch Haniger,L,Miguel Amaya,665804,0,0,1,True,2023-09-06,Caught,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
31,31,31,31,31,31,31,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,696136,Jordan Wicks,592669,Hunter Renfroe,L,Miguel Amaya,665804,0,0,3,False,2023-09-01,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
32,32,32,32,32,32,32,2B,3B,Stolen Base 3B,668804,Bryan Reynolds,696136,Jordan Wicks,682848,Endy Rodríguez,L,Miguel Amaya,665804,1,0,1,False,2023-08-26,Stolen,3B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
33,33,33,33,33,33,33,1B,2B,Stolen Base 2B,656716,Zach McKinstry,621016,Jose Cuas,663837,Matt Vierling,R,Miguel Amaya,665804,7,6,8,False,2023-08-22,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
34,34,34,34,34,34,34,1B,2B,Stolen Base 2B,677951,Bobby Witt Jr.,543294,Kyle Hendricks,686681,Michael Massey,R,Miguel Amaya,665804,0,1,1,True,2023-08-20,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
35,35,35,35,35,35,35,1B,2B,Stolen Base 2B,686681,Michael Massey,543294,Kyle Hendricks,676369,Nelson Velázquez,R,Miguel Amaya,665804,0,1,1,True,2023-08-20,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
36,36,36,36,36,36,36,1B,2B,Stolen Base 2B,622110,Matt Duffy,543294,Kyle Hendricks,607461,Matt Beaty,R,Miguel Amaya,665804,2,1,2,True,2023-08-20,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
37,37,37,37,37,37,37,1B,2B,Stolen Base 2B,593160,Whit Merrifield,592791,Jameson Taillon,474832,Brandon Belt,R,Miguel Amaya,665804,3,2,2,False,2023-08-13,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
38,38,38,38,38,38,38,1B,2B,Stolen Base 2B,624413,Pete Alonso,543294,Kyle Hendricks,501659,Abraham Almonte,R,Miguel Amaya,665804,0,2,2,False,2023-08-09,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
39,39,39,39,39,39,39,1B,2B,Stolen Base 2B,542364,Rafael Ortega,543294,Kyle Hendricks,607043,Brandon Nimmo,R,Miguel Amaya,665804,0,2,3,False,2023-08-09,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
40,40,40,40,40,40,40,1B,2B,Stolen Base 2B,660670,Ronald Acuña Jr.,657006,Justin Steele,645277,Ozzie Albies,L,Miguel Amaya,665804,0,0,3,True,2023-08-06,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
41,41,41,41,41,41,41,1B,2B,Stolen Base 2B,691023,Jordan Walker,543294,Kyle Hendricks,600301,Taylor Motter,R,Miguel Amaya,665804,1,0,2,False,2023-07-30,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
42,42,42,42,42,42,42,2B,3B,Stolen Base 3B,669357,Nolan Gorman,592767,Drew Smyly,575929,Willson Contreras,L,Miguel Amaya,665804,2,3,6,False,2023-07-28,Stolen,3B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
43,43,43,43,43,43,43,2B,3B,Stolen Base 3B,641933,Tyler O'Neill,643410,Mark Leiter Jr.,680977,Brendan Donovan,R,Miguel Amaya,665804,4,3,8,True,2023-07-21,Stolen,3B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
44,44,44,44,44,44,44,1B,2B,Stolen Base 2B,691023,Jordan Walker,643410,Mark Leiter Jr.,680977,Brendan Donovan,R,Miguel Amaya,665804,4,3,8,True,2023-07-21,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
45,45,45,45,45,45,45,1B,2B,Stolen Base 2B,680911,Owen Miller,543294,Kyle Hendricks,663368,Blake Perkins,R,Miguel Amaya,665804,0,4,5,False,2023-07-04,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
46,46,46,46,46,46,46,1B,,Caught Stealing 2B,668930,Brice Turang,543294,Kyle Hendricks,686894,Joey Wiemer,R,Miguel Amaya,665804,1,4,5,False,2023-07-04,Caught,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
47,47,47,47,47,47,47,1B,2B,Stolen Base 2B,592885,Christian Yelich,543294,Kyle Hendricks,608385,Jesse Winker,R,Miguel Amaya,665804,1,4,6,False,2023-07-04,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
48,48,48,48,48,48,48,2B,3B,Stolen Base 3B,607208,Trea Turner,543294,Kyle Hendricks,592206,Nick Castellanos,R,Miguel Amaya,665804,0,1,1,True,2023-06-29,Stolen,3B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
49,49,49,49,49,49,49,1B,2B,Stolen Base 2B,607208,Trea Turner,543294,Kyle Hendricks,547180,Bryce Harper,R,Miguel Amaya,665804,1,3,3,True,2023-06-29,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
50,50,50,50,50,50,50,1B,2B,Stolen Base 2B,543305,Aaron Hicks,592791,Jameson Taillon,602104,Ramón Urías,R,Miguel Amaya,665804,1,0,2,True,2023-06-18,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
51,51,51,51,51,51,51,1B,2B,Stolen Base 2B,660271,Shohei Ohtani,592791,Jameson Taillon,545361,Mike Trout,R,Miguel Amaya,665804,2,2,5,False,2023-06-07,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
52,52,52,52,52,52,52,2B,3B,Stolen Base 3B,660271,Shohei Ohtani,592791,Jameson Taillon,545361,Mike Trout,R,Miguel Amaya,665804,2,2,5,False,2023-06-07,Stolen,3B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
53,53,53,53,53,53,53,1B,2B,Stolen Base 2B,650859,Luis Rengifo,643410,Mark Leiter Jr.,687263,Zach Neto,R,Miguel Amaya,665804,3,2,6,False,2023-06-07,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
54,54,54,54,54,54,54,1B,2B,Stolen Base 2B,663457,Lars Nootbaar,573186,Marcus Stroman,575929,Willson Contreras,R,Miguel Amaya,665804,1,2,6,True,2023-05-08,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
55,55,55,55,55,55,55,1B,2B,Stolen Base 2B,542932,Jon Berti,502202,Brad Boxberger,665862,Jazz Chisholm Jr.,R,Miguel Amaya,665804,0,1,8,True,2023-05-07,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
56,56,56,56,56,56,56,1B,,Caught Stealing 2B,542932,Jon Berti,621074,Michael Rucker,624585,Jorge Soler,R,Miguel Amaya,665804,1,2,5,True,2023-05-06,Caught,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
57,57,57,57,57,57,57,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,696136,Jordan Wicks,592669,Hunter Renfroe,L,Miguel Amaya,665804,0,0,3,False,2023-04-05,Stolen,2B,2023,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2,2024,27.2
