,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year,Sprint
0,0,0,0,0,0,0,1B,,Caught Stealing 2B,571697,Scooter Gennett,543606,Jake Odorizzi,594807,Adam Duvall,R,Derek Norris,519083,0,0,1,True,2017-06-19,Caught,2B,2017,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4
1,1,1,1,1,1,1,2B,3B,Stolen Base 3B,543484,Mikie Mahtook,517008,Alex Colomé,488671,Alex Avila,R,Derek Norris,519083,2,3,9,False,2017-06-17,Stolen,3B,2017,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4
2,2,2,2,2,2,2,1B,2B,Stolen Base 2B,607680,Kevin Pillar,543606,Jake Odorizzi,518626,Josh Donaldson,R,Derek Norris,519083,0,2,3,False,2017-06-14,Stolen,2B,2017,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4
3,3,3,3,3,3,3,2B,3B,Stolen Base 3B,596105,Dwight Smith Jr.,621237,José Alvarado,607680,Kevin Pillar,L,Derek Norris,519083,7,6,8,False,2017-06-14,Stolen,3B,2017,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4
4,4,4,4,4,4,4,1B,2B,Stolen Base 2B,501981,Khris Davis,471822,Jumbo Díaz,519390,Stephen Vogt,R,Derek Norris,519083,5,4,8,True,2017-06-11,Stolen,2B,2017,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4
5,5,5,5,5,5,5,1B,2B,Stolen Base 2B,641553,Adam Engel,543606,Jake Odorizzi,466320,Melky Cabrera,R,Derek Norris,519083,0,0,1,True,2017-06-08,Stolen,2B,2017,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4
6,6,6,6,6,6,6,1B,2B,Stolen Base 2B,641553,Adam Engel,488984,Tommy Hunter,466320,Melky Cabrera,R,Derek Norris,519083,6,3,7,True,2017-06-08,Stolen,2B,2017,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4
7,7,7,7,7,7,7,2B,3B,Stolen Base 3B,641313,Tim Anderson,592773,Ryne Stanek,570560,Yolmer Sánchez,R,Derek Norris,519083,6,5,8,True,2017-06-08,Stolen,3B,2017,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4
8,8,8,8,8,8,8,1B,2B,Stolen Base 2B,544725,Leury García,607188,Jake Faria,547989,José Abreu,R,Derek Norris,519083,0,1,1,True,2017-06-07,Stolen,2B,2017,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4
9,9,9,9,9,9,9,1B,,Caught Stealing 2B,544725,Leury García,607188,Jake Faria,466320,Melky Cabrera,R,Derek Norris,519083,0,1,3,True,2017-06-07,Caught,2B,2017,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4,2018,26.4
