,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,2B,,Caught Stealing 3B,500743,Miguel Rojas,592662,Robbie Ray,595751,Jorge Alfaro,L,Reese McGuire,624512,1,2,5,False,2020-09-01,Caught,3B,2020,2021,26.6,2021,26.6
1,1,1B,2B,Stolen Base 2B,623205,Andrew Velazquez,543699,Tanner Roark,578428,Jose Iglesias,R,Reese McGuire,624512,1,1,5,True,2020-08-30,Stolen,2B,2020,2021,26.6,2021,26.6
2,2,3B,,Caught Stealing Home,592863,Mason Williams,641743,Anthony Kay,623205,Andrew Velazquez,L,Reese McGuire,624512,3,4,6,True,2020-08-30,Caught,Home,2020,2021,26.6,2021,26.6
3,3,1B,2B,Stolen Base 2B,596451,Roman Quinn,502624,Chase Anderson,457705,Andrew McCutchen,R,Reese McGuire,624512,0,2,3,True,2020-08-20,Stolen,2B,2020,2021,26.6,2021,26.6
4,4,1B,2B,Stolen Base 2B,596451,Roman Quinn,502624,Chase Anderson,457705,Andrew McCutchen,R,Reese McGuire,624512,0,2,3,True,2020-08-01,Stolen,2B,2020,2021,26.6,2021,26.6
5,5,2B,,Caught Stealing 3B,500743,Miguel Rojas,592662,Robbie Ray,595751,Jorge Alfaro,L,Reese McGuire,624512,1,2,5,False,2020-09-01,Caught,3B,2020,2021,26.6,2021,26.6
6,6,1B,2B,Stolen Base 2B,623205,Andrew Velazquez,543699,Tanner Roark,578428,Jose Iglesias,R,Reese McGuire,624512,1,1,5,True,2020-08-30,Stolen,2B,2020,2021,26.6,2021,26.6
7,7,3B,,Caught Stealing Home,592863,Mason Williams,641743,Anthony Kay,623205,Andrew Velazquez,L,Reese McGuire,624512,3,4,6,True,2020-08-30,Caught,Home,2020,2021,26.6,2021,26.6
8,8,1B,2B,Stolen Base 2B,596451,Roman Quinn,502624,Chase Anderson,457705,Andrew McCutchen,R,Reese McGuire,624512,0,2,3,True,2020-08-20,Stolen,2B,2020,2021,26.6,2021,26.6
9,9,1B,2B,Stolen Base 2B,596451,Roman Quinn,502624,Chase Anderson,457705,Andrew McCutchen,R,Reese McGuire,624512,0,2,3,True,2020-08-01,Stolen,2B,2020,2021,26.6,2021,26.6
10,10,2B,,Caught Stealing 3B,500743,Miguel Rojas,592662,Robbie Ray,595751,Jorge Alfaro,L,Reese McGuire,624512,1,2,5,False,2020-09-01,Caught,3B,2020,2021,26.6,2021,26.6
11,11,1B,2B,Stolen Base 2B,623205,Andrew Velazquez,543699,Tanner Roark,578428,Jose Iglesias,R,Reese McGuire,624512,1,1,5,True,2020-08-30,Stolen,2B,2020,2021,26.6,2021,26.6
12,12,3B,,Caught Stealing Home,592863,Mason Williams,641743,Anthony Kay,623205,Andrew Velazquez,L,Reese McGuire,624512,3,4,6,True,2020-08-30,Caught,Home,2020,2021,26.6,2021,26.6
13,13,1B,2B,Stolen Base 2B,596451,Roman Quinn,502624,Chase Anderson,457705,Andrew McCutchen,R,Reese McGuire,624512,0,2,3,True,2020-08-20,Stolen,2B,2020,2021,26.6,2021,26.6
14,14,1B,2B,Stolen Base 2B,596451,Roman Quinn,502624,Chase Anderson,457705,Andrew McCutchen,R,Reese McGuire,624512,0,2,3,True,2020-08-01,Stolen,2B,2020,2021,26.6,2021,26.6
15,15,2B,3B,Stolen Base 3B,542340,Jonathan Villar,592779,Brock Stewart,641820,Trey Mancini,R,Reese McGuire,624512,9,5,8,False,2019-09-18,Stolen,3B,2019,2020,26.4,2020,26.4
16,16,2B,3B,Stolen Base 3B,518934,DJ LeMahieu,571882,Derek Law,592450,Aaron Judge,R,Reese McGuire,624512,6,4,7,True,2019-09-15,Stolen,3B,2019,2020,26.4,2020,26.4
17,17,1B,,Caught Stealing 2B,457727,Cameron Maybin,572193,Ryan Tepera,458731,Brett Gardner,R,Reese McGuire,624512,5,5,10,True,2019-09-13,Caught,2B,2019,2020,26.4,2020,26.4
18,18,1B,2B,Stolen Base 2B,605141,Mookie Betts,605447,Jordan Romano,571788,Brock Holt,R,Reese McGuire,624512,2,5,7,True,2019-09-12,Stolen,2B,2019,2020,26.4,2020,26.4
19,19,1B,2B,Stolen Base 2B,643217,Andrew Benintendi,596101,Justin Shafer,543877,Christian Vázquez,R,Reese McGuire,624512,2,3,5,True,2019-09-10,Stolen,2B,2019,2020,26.4,2020,26.4
20,20,1B,2B,Stolen Base 2B,491676,Gorkys Hernández,571704,Ken Giles,593523,Marco Hernández,R,Reese McGuire,624512,4,3,9,True,2019-09-10,Stolen,2B,2019,2020,26.4,2020,26.4
21,21,1B,,Caught Stealing 2B,621002,Daniel Robertson,592779,Brock Stewart,621563,Joey Wendle,R,Reese McGuire,624512,4,2,6,False,2019-09-05,Caught,2B,2019,2020,26.4,2020,26.4
