,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year_x.3,Sprint_x.3,Current_Year_y.3,Sprint_y.3,Current_Year,Sprint
0,0,0,0,0,0,0,0,0,1B,2B,Stolen Base 2B,641313,Tim Anderson,519455,Jordan Zimmermann,547989,José Abreu,R,John Hicks,543308,1,5,4,True,2019-09-20,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
1,1,1,1,1,1,1,1,1,1B,2B,Stolen Base 2B,596019,Francisco Lindor,519455,Jordan Zimmermann,656185,Greg Allen,R,John Hicks,543308,0,0,1,True,2019-08-28,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
2,2,2,2,2,2,2,2,2,1B,,Caught Stealing 2B,571980,Tyler Naquin,519455,Jordan Zimmermann,547379,Roberto Pérez,R,John Hicks,543308,0,1,2,True,2019-08-28,Caught,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
3,3,3,3,3,3,3,3,3,1B,2B,Stolen Base 2B,640458,Óscar Mercado,641729,Joe Jiménez,547379,Roberto Pérez,R,John Hicks,543308,2,4,9,True,2019-08-28,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
4,4,4,4,4,4,4,4,4,1B,2B,Stolen Base 2B,605480,Mallex Smith,605513,Spencer Turnbull,553882,Omar Narváez,R,John Hicks,543308,2,3,5,True,2019-08-15,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
5,5,5,5,5,5,5,5,5,1B,2B,Stolen Base 2B,605480,Mallex Smith,664180,Matt Hall,641487,J.P. Crawford,L,John Hicks,543308,2,4,7,True,2019-08-15,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
6,6,6,6,6,6,6,6,6,2B,3B,Stolen Base 3B,543829,Dee Strange-Gordon,641853,David McKay,664238,Dylan Moore,R,John Hicks,543308,2,5,8,True,2019-08-15,Stolen,3B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
7,7,7,7,7,7,7,7,7,1B,,Caught Stealing 2B,605480,Mallex Smith,641853,David McKay,641487,J.P. Crawford,R,John Hicks,543308,2,6,8,True,2019-08-15,Caught,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
8,8,8,8,8,8,8,8,8,2B,3B,Stolen Base 3B,596059,Rougned Odor,519455,Jordan Zimmermann,592261,Delino DeShields,R,John Hicks,543308,4,3,6,False,2019-08-04,Stolen,3B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
9,9,9,9,9,9,9,9,9,1B,2B,Stolen Base 2B,462101,Elvis Andrus,598286,Nick Ramirez,608577,Nomar Mazara,L,John Hicks,543308,4,4,7,False,2019-08-04,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
10,10,10,10,10,10,10,10,10,1B,,Caught Stealing 2B,605480,Mallex Smith,596057,Daniel Norris,641487,J.P. Crawford,L,John Hicks,543308,0,0,1,False,2019-07-26,Caught,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
11,11,11,11,11,11,11,11,11,1B,2B,Stolen Base 2B,502117,Kristopher Negrón,571656,Buck Farmer,664238,Dylan Moore,R,John Hicks,543308,2,2,7,False,2019-07-26,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
12,12,12,12,12,12,12,12,12,1B,2B,Stolen Base 2B,641487,J.P. Crawford,572403,Drew VerHagen,596129,Daniel Vogelbach,R,John Hicks,543308,0,0,1,False,2019-07-25,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
13,13,13,13,13,13,13,13,13,1B,2B,Stolen Base 2B,621005,Tim Lopes,572403,Drew VerHagen,605480,Mallex Smith,R,John Hicks,543308,5,1,4,False,2019-07-25,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
14,14,14,14,14,14,14,14,14,1B,,Caught Stealing 2B,545341,Randal Grichuk,571656,Buck Farmer,665489,Vladimir Guerrero Jr.,R,John Hicks,543308,5,7,7,True,2019-07-20,Caught,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
15,15,15,15,15,15,15,15,15,3B,,Caught Stealing Home,596019,Francisco Lindor,605513,Spencer Turnbull,467793,Carlos Santana,R,John Hicks,543308,2,0,3,False,2019-07-17,Caught,Home,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
16,16,16,16,16,16,16,16,16,1B,2B,Caught Stealing Home,640458,Óscar Mercado,605513,Spencer Turnbull,467793,Carlos Santana,R,John Hicks,543308,2,0,3,False,2019-07-17,Caught,Home,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
17,17,17,17,17,17,17,17,17,2B,3B,Stolen Base 3B,608070,José Ramírez,598286,Nick Ramirez,547379,Roberto Pérez,L,John Hicks,543308,2,1,7,False,2019-07-17,Stolen,3B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
18,18,18,18,18,18,18,18,18,1B,2B,Stolen Base 2B,640458,Óscar Mercado,596057,Daniel Norris,467793,Carlos Santana,L,John Hicks,543308,0,0,1,False,2019-07-15,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
19,19,19,19,19,19,19,19,19,1B,2B,Stolen Base 2B,609275,Adalberto Mondesi,519455,Jordan Zimmermann,460086,Alex Gordon,R,John Hicks,543308,0,1,1,False,2019-07-14,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
20,20,20,20,20,20,20,20,20,1B,2B,Stolen Base 2B,609275,Adalberto Mondesi,605513,Spencer Turnbull,460086,Alex Gordon,R,John Hicks,543308,1,1,1,False,2019-07-12,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
21,21,21,21,21,21,21,21,21,2B,3B,Stolen Base 3B,593160,Whit Merrifield,543278,Blaine Hardy,609275,Adalberto Mondesi,L,John Hicks,543308,7,5,7,False,2019-07-12,Stolen,3B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
22,22,22,22,22,22,22,22,22,1B,2B,Stolen Base 2B,593523,Marco Hernández,598286,Nick Ramirez,605141,Mookie Betts,L,John Hicks,543308,1,2,5,True,2019-07-07,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
23,23,23,23,23,23,23,23,23,1B,2B,Stolen Base 2B,660162,Yoán Moncada,571656,Buck Farmer,547989,José Abreu,R,John Hicks,543308,6,3,7,False,2019-07-03,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
24,24,24,24,24,24,24,24,24,1B,,Caught Stealing 2B,543685,Anthony Rendon,622505,Victor Alcántara,665742,Juan Soto,R,John Hicks,543308,3,5,7,True,2019-06-29,Caught,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
25,25,25,25,25,25,25,25,25,1B,,Caught Stealing 2B,571980,Tyler Naquin,605513,Spencer Turnbull,547379,Roberto Pérez,R,John Hicks,543308,1,0,2,False,2019-06-22,Caught,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
26,26,26,26,26,26,26,26,26,1B,2B,Stolen Base 2B,502273,Mike Freeman,605513,Spencer Turnbull,596019,Francisco Lindor,R,John Hicks,543308,1,0,3,False,2019-06-22,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
27,27,27,27,27,27,27,27,27,1B,2B,Stolen Base 2B,640458,Óscar Mercado,642397,Gregory Soto,467793,Carlos Santana,L,John Hicks,543308,0,0,3,True,2019-06-15,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
28,28,28,28,28,28,28,28,28,1B,2B,Stolen Base 2B,596019,Francisco Lindor,598286,Nick Ramirez,467793,Carlos Santana,L,John Hicks,543308,0,3,6,True,2019-06-15,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
29,29,29,29,29,29,29,29,29,2B,3B,Stolen Base 3B,596019,Francisco Lindor,598286,Nick Ramirez,656669,Jordan Luplow,L,John Hicks,543308,0,3,6,True,2019-06-15,Stolen,3B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
30,30,30,30,30,30,30,30,30,1B,2B,Stolen Base 2B,467793,Carlos Santana,598286,Nick Ramirez,656669,Jordan Luplow,L,John Hicks,543308,0,3,6,True,2019-06-15,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
31,31,31,31,31,31,31,31,31,3B,score,Stolen Base Home,547982,Leonys Martin,622505,Victor Alcántara,467793,Carlos Santana,R,John Hicks,543308,2,4,8,True,2019-06-15,Stolen,Home,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
32,32,32,32,32,32,32,32,32,2B,3B,Stolen Base 3B,460086,Alex Gordon,596057,Daniel Norris,624585,Jorge Soler,L,John Hicks,543308,0,1,1,False,2019-06-12,Stolen,3B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
33,33,33,33,33,33,33,33,33,1B,2B,Stolen Base 2B,609275,Adalberto Mondesi,596057,Daniel Norris,624585,Jorge Soler,L,John Hicks,543308,0,1,1,False,2019-06-12,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
34,34,34,34,34,34,34,34,34,1B,2B,Stolen Base 2B,605253,Terrance Gore,596057,Daniel Norris,571740,Billy Hamilton,L,John Hicks,543308,0,1,2,False,2019-06-12,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
35,35,35,35,35,35,35,35,35,2B,3B,Stolen Base 3B,593160,Whit Merrifield,596057,Daniel Norris,609275,Adalberto Mondesi,L,John Hicks,543308,0,1,3,False,2019-06-12,Stolen,3B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
36,36,36,36,36,36,36,36,36,1B,2B,Stolen Base 2B,621006,Richie Martin,543001,Ryan Carpenter,593643,Hanser Alberto,L,John Hicks,543308,1,0,3,False,2019-05-29,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
37,37,37,37,37,37,37,37,37,1B,2B,Stolen Base 2B,460576,Carlos Gómez,605513,Spencer Turnbull,588751,Adeiny Hechavarría,R,John Hicks,543308,4,3,6,False,2019-05-26,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
38,38,38,38,38,38,38,38,38,1B,,Caught Stealing 2B,500743,Miguel Rojas,622505,Victor Alcántara,621573,Austin Dean,R,John Hicks,543308,3,4,7,True,2019-05-22,Caught,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
39,39,39,39,39,39,39,39,39,1B,,Caught Stealing 2B,488726,Michael Brantley,642397,Gregory Soto,621043,Carlos Correa,L,John Hicks,543308,0,1,1,True,2019-05-15,Caught,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
40,40,40,40,40,40,40,40,40,1B,2B,Stolen Base 2B,592696,Eddie Rosario,605513,Spencer Turnbull,543068,C.J. Cron,R,John Hicks,543308,1,2,3,False,2019-05-11,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
41,41,41,41,41,41,41,41,41,1B,2B,Stolen Base 2B,642721,Kelvin Gutiérrez,643617,Zac Reininger,571740,Billy Hamilton,R,John Hicks,543308,2,9,6,True,2019-05-04,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
42,42,42,42,42,42,42,42,42,1B,2B,Stolen Base 2B,660162,Yoán Moncada,571656,Buck Farmer,547989,José Abreu,R,John Hicks,543308,6,3,7,False,2019-04-27,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
43,43,43,43,43,43,43,43,43,1B,,Caught Stealing 2B,660162,Yoán Moncada,596057,Daniel Norris,456078,Welington Castillo,L,John Hicks,543308,0,0,2,True,2019-04-21,Caught,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
44,44,44,44,44,44,44,44,44,1B,2B,Stolen Base 2B,641313,Tim Anderson,596057,Daniel Norris,547989,José Abreu,L,John Hicks,543308,1,0,4,True,2019-04-21,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
45,45,45,45,45,45,45,45,45,2B,3B,Stolen Base 3B,641313,Tim Anderson,596057,Daniel Norris,660162,Yoán Moncada,L,John Hicks,543308,1,0,4,True,2019-04-21,Stolen,3B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
46,46,46,46,46,46,46,46,46,1B,2B,Stolen Base 2B,571740,Billy Hamilton,475115,Tyson Ross,593160,Whit Merrifield,R,John Hicks,543308,2,1,3,True,2019-04-07,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
47,47,47,47,47,47,47,47,47,1B,2B,Stolen Base 2B,593160,Whit Merrifield,475115,Tyson Ross,460086,Alex Gordon,R,John Hicks,543308,2,1,3,True,2019-04-07,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
48,48,48,48,48,48,48,48,48,1B,,Caught Stealing 2B,571740,Billy Hamilton,475115,Tyson Ross,593160,Whit Merrifield,R,John Hicks,543308,2,1,5,True,2019-04-07,Caught,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
49,49,49,49,49,49,49,49,49,1B,,Caught Stealing 2B,593160,Whit Merrifield,641729,Joe Jiménez,609275,Adalberto Mondesi,R,John Hicks,543308,3,1,8,True,2019-04-07,Caught,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
50,50,50,50,50,50,50,50,50,1B,2B,Stolen Base 2B,592450,Aaron Judge,571510,Matthew Boyd,572228,Luke Voit,L,John Hicks,543308,1,1,5,False,2019-04-03,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
51,51,51,51,51,51,51,51,51,1B,,Caught Stealing 2B,458731,Brett Gardner,641729,Joe Jiménez,595885,Greg Bird,R,John Hicks,543308,1,2,8,False,2019-04-03,Caught,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
52,52,52,52,52,52,52,52,52,1B,2B,Stolen Base 2B,641313,Tim Anderson,519455,Jordan Zimmermann,547989,José Abreu,R,John Hicks,543308,1,5,4,True,2019-09-20,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
53,53,53,53,53,53,53,53,53,1B,2B,Stolen Base 2B,596019,Francisco Lindor,519455,Jordan Zimmermann,656185,Greg Allen,R,John Hicks,543308,0,0,1,True,2019-08-28,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
54,54,54,54,54,54,54,54,54,1B,,Caught Stealing 2B,571980,Tyler Naquin,519455,Jordan Zimmermann,547379,Roberto Pérez,R,John Hicks,543308,0,1,2,True,2019-08-28,Caught,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
55,55,55,55,55,55,55,55,55,1B,2B,Stolen Base 2B,640458,Óscar Mercado,641729,Joe Jiménez,547379,Roberto Pérez,R,John Hicks,543308,2,4,9,True,2019-08-28,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
56,56,56,56,56,56,56,56,56,1B,2B,Stolen Base 2B,605480,Mallex Smith,605513,Spencer Turnbull,553882,Omar Narváez,R,John Hicks,543308,2,3,5,True,2019-08-15,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
57,57,57,57,57,57,57,57,57,1B,2B,Stolen Base 2B,605480,Mallex Smith,664180,Matt Hall,641487,J.P. Crawford,L,John Hicks,543308,2,4,7,True,2019-08-15,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
58,58,58,58,58,58,58,58,58,2B,3B,Stolen Base 3B,543829,Dee Strange-Gordon,641853,David McKay,664238,Dylan Moore,R,John Hicks,543308,2,5,8,True,2019-08-15,Stolen,3B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
59,59,59,59,59,59,59,59,59,1B,,Caught Stealing 2B,605480,Mallex Smith,641853,David McKay,641487,J.P. Crawford,R,John Hicks,543308,2,6,8,True,2019-08-15,Caught,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
60,60,60,60,60,60,60,60,60,2B,3B,Stolen Base 3B,596059,Rougned Odor,519455,Jordan Zimmermann,592261,Delino DeShields,R,John Hicks,543308,4,3,6,False,2019-08-04,Stolen,3B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
61,61,61,61,61,61,61,61,61,1B,2B,Stolen Base 2B,462101,Elvis Andrus,598286,Nick Ramirez,608577,Nomar Mazara,L,John Hicks,543308,4,4,7,False,2019-08-04,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
62,62,62,62,62,62,62,62,62,1B,,Caught Stealing 2B,605480,Mallex Smith,596057,Daniel Norris,641487,J.P. Crawford,L,John Hicks,543308,0,0,1,False,2019-07-26,Caught,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
63,63,63,63,63,63,63,63,63,1B,2B,Stolen Base 2B,502117,Kristopher Negrón,571656,Buck Farmer,664238,Dylan Moore,R,John Hicks,543308,2,2,7,False,2019-07-26,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
64,64,64,64,64,64,64,64,64,1B,2B,Stolen Base 2B,641487,J.P. Crawford,572403,Drew VerHagen,596129,Daniel Vogelbach,R,John Hicks,543308,0,0,1,False,2019-07-25,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
65,65,65,65,65,65,65,65,65,1B,2B,Stolen Base 2B,621005,Tim Lopes,572403,Drew VerHagen,605480,Mallex Smith,R,John Hicks,543308,5,1,4,False,2019-07-25,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
66,66,66,66,66,66,66,66,66,1B,,Caught Stealing 2B,545341,Randal Grichuk,571656,Buck Farmer,665489,Vladimir Guerrero Jr.,R,John Hicks,543308,5,7,7,True,2019-07-20,Caught,2B,2019,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7,2020,28.7
