,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year,Sprint
0,0,0,0,0,2B,3B,Stolen Base 3B,666182,Bo Bichette,661563,Luis Gil,606192,Teoscar Hernández,R,David Freitas,571679,2,2,1,False,2022-04-03,Stolen,3B,2022,2023,27.1,2023,27.1,2023,27.1,2023,27.1,2023,27.1
1,1,1,1,1,1B,,Caught Stealing 2B,666971,Lourdes Gurriel Jr.,657376,Clarke Schmidt,656305,Matt Chapman,R,David Freitas,571679,5,5,5,False,2022-04-03,Caught,2B,2022,2023,27.1,2023,27.1,2023,27.1,2023,27.1,2023,27.1
