,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,2B,3B,Stolen Base 3B,593428,Xander Bogaerts,622072,Alex Wood,665742,Juan Soto,L,Blake Sabol,666165,0,2,3,True,2023-09-26,Stolen,3B,2023,2024,27.4
1,1B,2B,Stolen Base 2B,518692,Freddie Freeman,518397,Scott Alexander,669257,Will Smith,L,Blake Sabol,666165,5,2,8,False,2023-09-21,Stolen,2B,2023,2024,27.4
2,1B,2B,Stolen Base 2B,686668,Brenton Doyle,548389,Ross Stripling,642851,Austin Wynns,R,Blake Sabol,666165,9,3,7,False,2023-09-16,Stolen,2B,2023,2024,27.4
3,1B,2B,Stolen Base 2B,686668,Brenton Doyle,548389,Ross Stripling,642851,Austin Wynns,R,Blake Sabol,666165,9,3,7,False,2023-09-14,Stolen,2B,2023,2024,27.4
4,1B,2B,Stolen Base 2B,647304,Josh Naylor,640455,Sean Manaea,681807,David Fry,L,Blake Sabol,666165,0,0,1,True,2023-09-12,Stolen,2B,2023,2024,27.4
5,1B,2B,Stolen Base 2B,671739,Michael Harris II,657277,Logan Webb,663586,Austin Riley,R,Blake Sabol,666165,0,1,4,True,2023-08-25,Stolen,2B,2023,2024,27.4
6,1B,2B,Stolen Base 2B,671739,Michael Harris II,657277,Logan Webb,663586,Austin Riley,R,Blake Sabol,666165,0,4,6,True,2023-08-25,Stolen,2B,2023,2024,27.4
7,2B,,Caught Stealing 3B,668227,Randy Arozarena,676254,Ryan Walker,666139,Josh Lowe,R,Blake Sabol,666165,0,1,1,True,2023-08-16,Caught,3B,2023,2024,27.4
8,1B,2B,Stolen Base 2B,671277,Luis García Jr.,640455,Sean Manaea,669743,Alex Call,L,Blake Sabol,666165,6,1,4,False,2023-07-22,Stolen,2B,2023,2024,27.4
9,1B,2B,Stolen Base 2B,676609,José Caballero,666808,Camilo Doval,664034,Ty France,R,Blake Sabol,666165,2,2,9,True,2023-07-03,Stolen,2B,2023,2024,27.4
10,2B,3B,Stolen Base 3B,676609,José Caballero,666808,Camilo Doval,543939,Kolten Wong,R,Blake Sabol,666165,2,2,9,True,2023-07-03,Stolen,3B,2023,2024,27.4
11,2B,3B,Stolen Base 3B,677594,Julio Rodríguez,666808,Camilo Doval,672284,Jarred Kelenic,R,Blake Sabol,666165,2,5,9,True,2023-07-03,Stolen,3B,2023,2024,27.4
12,1B,,Caught Stealing 2B,662139,Daulton Varsho,676775,Keaton Winn,593160,Whit Merrifield,R,Blake Sabol,666165,0,0,5,False,2023-06-29,Caught,2B,2023,2024,27.4
13,1B,2B,Stolen Base 2B,666134,Nolan Jones,502171,Alex Cobb,678662,Ezequiel Tovar,R,Blake Sabol,666165,4,1,5,False,2023-06-08,Stolen,2B,2023,2024,27.4
14,2B,3B,Stolen Base 3B,686894,Joey Wiemer,502171,Alex Cobb,680911,Owen Miller,R,Blake Sabol,666165,5,0,2,False,2023-05-28,Stolen,3B,2023,2024,27.4
15,1B,2B,Stolen Base 2B,592885,Christian Yelich,502171,Alex Cobb,680911,Owen Miller,R,Blake Sabol,666165,5,0,2,False,2023-05-28,Stolen,2B,2023,2024,27.4
16,1B,2B,Stolen Base 2B,621439,Byron Buxton,543101,Anthony DeSclafani,571657,Kyle Farmer,R,Blake Sabol,666165,1,0,1,False,2023-05-24,Stolen,2B,2023,2024,27.4
17,1B,2B,Stolen Base 2B,670242,Matt Wallner,543101,Anthony DeSclafani,680777,Ryan Jeffers,R,Blake Sabol,666165,5,1,3,False,2023-05-24,Stolen,2B,2023,2024,27.4
18,3B,score,Stolen Base Home,650489,Willi Castro,543101,Anthony DeSclafani,680777,Ryan Jeffers,R,Blake Sabol,666165,5,1,3,False,2023-05-24,Stolen,Home,2023,2024,27.4
19,2B,3B,Stolen Base 3B,650489,Willi Castro,573124,Taylor Rogers,680777,Ryan Jeffers,L,Blake Sabol,666165,7,1,8,False,2023-05-24,Stolen,3B,2023,2024,27.4
20,1B,,Caught Stealing 2B,605119,Brian Anderson,596001,Jakob Junis,668930,Brice Turang,R,Blake Sabol,666165,2,5,6,True,2023-05-07,Caught,2B,2023,2024,27.4
