,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year,Sprint
0,0,0,0,0,2B,3B,Stolen Base 3B,664702,Myles Straw,518813,Greg Holland,647351,Abraham Toro,R,MJ Melendez,669004,1,5,7,True,2020-07-20,Stolen,3B,2020,2021,29.3,2021,29.3,2021,29.3,2021,29.3,2021,29.3
1,1,1,1,1,2B,3B,Stolen Base 3B,664702,Myles Straw,518813,Greg Holland,647351,Abraham Toro,R,MJ Melendez,669004,1,5,7,True,2020-07-20,Stolen,3B,2020,2021,29.3,2021,29.3,2021,29.3,2021,29.3,2021,29.3
2,2,2,2,2,2B,3B,Stolen Base 3B,664702,Myles Straw,518813,Greg Holland,647351,Abraham Toro,R,MJ Melendez,669004,1,5,7,True,2020-07-20,Stolen,3B,2020,2021,29.3,2021,29.3,2021,29.3,2021,29.3,2021,29.3
3,3,3,3,3,1B,,Caught Stealing 2B,682985,Riley Greene,663903,Brady Singer,622682,Victor Reyes,R,MJ Melendez,669004,4,1,5,True,2022-07-13,Caught,2B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
4,4,4,4,4,2B,3B,Stolen Base 3B,408234,Miguel Cabrera,621016,Jose Cuas,650489,Willi Castro,R,MJ Melendez,669004,3,5,7,True,2022-07-12,Stolen,3B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
5,5,5,5,5,1B,2B,Stolen Base 2B,650489,Willi Castro,621016,Jose Cuas,570731,Jonathan Schoop,R,MJ Melendez,669004,3,6,7,True,2022-07-12,Stolen,2B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
6,6,6,6,6,1B,,Caught Stealing 2B,665161,Jeremy Peña,425844,Zack Greinke,670541,Yordan Alvarez,R,MJ Melendez,669004,0,1,1,False,2022-07-05,Caught,2B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
7,7,7,7,7,1B,,Caught Stealing 2B,621453,Steven Duggar,669169,Jonathan Heasley,669701,Josh Smith,R,MJ Melendez,669004,0,1,2,True,2022-06-28,Caught,2B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
8,8,8,8,8,1B,2B,Stolen Base 2B,641914,Sheldon Neuse,605130,Scott Barlow,640461,Chad Pinder,R,MJ Melendez,669004,3,4,9,True,2022-06-26,Stolen,2B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
9,9,9,9,9,1B,2B,Stolen Base 2B,643393,Tony Kemp,425844,Zack Greinke,657656,Ramón Laureano,R,MJ Melendez,669004,1,0,4,True,2022-06-24,Stolen,2B,2022,2023,29.2,2023,29.2,2023,29.2,2023,29.2,2023,29.2
