,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,0,0,0,0,1638,1B,2B,Stolen Base 2B,571875,Jake Lamb,596112,Robert Stephenson,605113,Nick Ahmed,R,Tucker Barnhart,571466,2,3,8,True,2019-09-08,Stolen,2B,2019,2020,26.7,2020,26.7,2020,26.7,2020,26.7,2020,26.7,2020,26.7,2020,26.7,2020,26.7
1,1,1,1,1,1,1,1,4481,1B,2B,Stolen Base 2B,571875,Jake Lamb,596112,Robert Stephenson,605113,Nick Ahmed,R,Tucker Barnhart,571466,2,3,8,True,2019-09-08,Stolen,2B,2019,2020,26.7,2020,26.7,2020,26.7,2020,26.7,2020,26.7,2020,26.7,2020,26.7,2020,26.7
2,2,2,2,2,2,2,2,6405,1B,2B,Stolen Base 2B,571875,Jake Lamb,596112,Robert Stephenson,605113,Nick Ahmed,R,Tucker Barnhart,571466,2,3,8,True,2019-09-08,Stolen,2B,2019,2020,26.7,2020,26.7,2020,26.7,2020,26.7,2020,26.7,2020,26.7,2020,26.7,2020,26.7
3,3,3,3,3,3,3,3,15,1B,,Caught Stealing 2B,571875,Jake Lamb,641712,Dakota Hudson,571970,Max Muncy,R,Andrew Knizner,668800,0,0,2,True,2022-07-14,Caught,2B,2022,2023,25.1,2023,25.1,2023,25.1,2023,25.1,2023,25.1,2023,25.1,2023,25.1,2023,25.1
4,4,4,4,4,4,4,4,603,1B,,Caught Stealing 2B,571875,Jake Lamb,521655,Wilmer Font,488671,Alex Avila,R,Yasmani Grandal,518735,6,6,12,False,2018-04-02,Caught,2B,2018,2019,26.5,2019,26.5,2019,26.5,2019,26.5,2019,26.5,2019,26.5,2019,26.5,2019,26.5
5,5,5,5,5,5,5,5,702,1B,2B,Stolen Base 2B,571875,Jake Lamb,518715,Cory Gearrin,518614,Daniel Descalso,R,Nick Hundley,460026,1,3,7,False,2017-09-27,Stolen,2B,2017,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9
6,6,6,6,6,6,6,6,1174,1B,2B,Stolen Base 2B,571875,Jake Lamb,445197,Mike Dunn,518614,Daniel Descalso,L,Jonathan Lucroy,518960,2,9,7,True,2017-09-01,Stolen,2B,2017,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9
7,7,7,7,7,7,7,7,1350,1B,,Caught Stealing 2B,571875,Jake Lamb,607473,Chasen Bradford,502671,Paul Goldschmidt,R,Kevin Plawecki,608700,1,3,7,True,2017-08-24,Caught,2B,2017,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9
8,8,8,8,8,8,8,8,2488,1B,,Caught Stealing 2B,571875,Jake Lamb,608566,Germán Márquez,572008,Chris Owings,R,Tony Wolters,547172,2,1,6,True,2017-06-20,Caught,2B,2017,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9
9,9,9,9,9,9,9,9,2624,1B,2B,Stolen Base 2B,571875,Jake Lamb,458677,Justin Wilson,572008,Chris Owings,L,Alex Avila,488671,6,7,9,True,2017-06-13,Stolen,2B,2017,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9
10,10,10,10,10,10,10,10,3043,1B,,Caught Stealing 2B,571875,Jake Lamb,573589,Michael Ynoa,571681,Rey Fuentes,R,Omar Narváez,553882,5,1,8,False,2017-05-22,Caught,2B,2017,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9
11,11,11,11,11,11,11,11,3454,1B,2B,Stolen Base 2B,571875,Jake Lamb,430599,Joe Blanton,455104,Chris Iannetta,R,Jose Lobaton,446653,3,6,9,True,2017-05-02,Stolen,2B,2017,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9
12,12,12,12,12,12,12,12,3563,1B,2B,Stolen Base 2B,571875,Jake Lamb,502239,Trevor Cahill,630111,Yasmany Tomás,R,Austin Hedges,595978,3,0,3,False,2017-04-26,Stolen,2B,2017,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9
13,13,13,13,13,13,13,13,3756,1B,,Caught Stealing 2B,571875,Jake Lamb,501593,Luis Avilán,630111,Yasmany Tomás,L,Yasmani Grandal,518735,1,3,7,True,2017-04-16,Caught,2B,2017,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9
14,14,14,14,14,14,14,14,3827,1B,2B,Stolen Base 2B,571875,Jake Lamb,430912,Matt Cain,630111,Yasmany Tomás,R,Nick Hundley,460026,0,1,1,True,2017-04-12,Stolen,2B,2017,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9
15,15,15,15,15,15,15,15,74,1B,2B,Stolen Base 2B,571875,Jake Lamb,518715,Cory Gearrin,518614,Daniel Descalso,R,Nick Hundley,460026,1,3,7,False,2017-09-27,Stolen,2B,2017,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9
16,16,16,16,16,16,16,16,546,1B,2B,Stolen Base 2B,571875,Jake Lamb,445197,Mike Dunn,518614,Daniel Descalso,L,Jonathan Lucroy,518960,2,9,7,True,2017-09-01,Stolen,2B,2017,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9,2018,26.9
