,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,49,1B,2B,Stolen Base 2B,543829,Dee Strange-Gordon,621112,Paul Blackburn,641929,Joseph Odom,R,Sean Murphy,669221,0,1,3,False,2020-09-26,Stolen,2B,2020,2022,28.4,2022,28.4,2022,28.4,2022,28.4
1,1,1,1,287,2B,3B,Stolen Base 3B,543829,Dee Strange-Gordon,596133,Luke Weaver,664238,Dylan Moore,R,Daulton Varsho,662139,1,2,2,True,2020-09-13,Stolen,3B,2020,2022,28.4,2022,28.4,2022,28.4,2022,28.4
2,2,2,2,505,1B,2B,Stolen Base 2B,543829,Dee Strange-Gordon,621112,Paul Blackburn,641929,Joseph Odom,R,Sean Murphy,669221,0,1,3,False,2020-09-03,Stolen,2B,2020,2022,28.4,2022,28.4,2022,28.4,2022,28.4
3,3,3,3,559,1B,,Caught Stealing 2B,543829,Dee Strange-Gordon,656288,Griffin Canning,643418,Shed Long Jr.,R,Anthony Bemboom,621532,1,1,8,True,2020-08-30,Caught,2B,2020,2022,28.4,2022,28.4,2022,28.4,2022,28.4
4,4,4,4,806,1B,2B,Stolen Base 2B,543829,Dee Strange-Gordon,664062,Tony Gonsolin,641487,J.P. Crawford,R,Austin Barnes,605131,0,0,3,True,2020-08-18,Stolen,2B,2020,2022,28.4,2022,28.4,2022,28.4,2022,28.4
5,5,5,5,1142,2B,,Caught Stealing 3B,543829,Dee Strange-Gordon,571760,Andrew Heaney,641929,Joseph Odom,L,Max Stassi,545358,3,1,5,True,2020-07-29,Caught,3B,2020,2022,28.4,2022,28.4,2022,28.4,2022,28.4
6,6,6,6,2892,1B,2B,Stolen Base 2B,543829,Dee Strange-Gordon,621112,Paul Blackburn,641929,Joseph Odom,R,Sean Murphy,669221,0,1,3,False,2020-09-26,Stolen,2B,2020,2022,28.4,2022,28.4,2022,28.4,2022,28.4
7,7,7,7,3130,2B,3B,Stolen Base 3B,543829,Dee Strange-Gordon,596133,Luke Weaver,664238,Dylan Moore,R,Daulton Varsho,662139,1,2,2,True,2020-09-13,Stolen,3B,2020,2022,28.4,2022,28.4,2022,28.4,2022,28.4
8,8,8,8,3348,1B,2B,Stolen Base 2B,543829,Dee Strange-Gordon,621112,Paul Blackburn,641929,Joseph Odom,R,Sean Murphy,669221,0,1,3,False,2020-09-03,Stolen,2B,2020,2022,28.4,2022,28.4,2022,28.4,2022,28.4
9,9,9,9,3402,1B,,Caught Stealing 2B,543829,Dee Strange-Gordon,656288,Griffin Canning,643418,Shed Long Jr.,R,Anthony Bemboom,621532,1,1,8,True,2020-08-30,Caught,2B,2020,2022,28.4,2022,28.4,2022,28.4,2022,28.4
