,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,1B,2B,Stolen Base 2B,444482,David Peralta,615698,Cal Quantrill,500871,Eduardo Escobar,R,Francisco Mejía,642336,0,1,2,False,2020-08-15,Stolen,2B,2020,2021,27.6
1,1B,2B,Stolen Base 2B,572008,Chris Owings,615698,Cal Quantrill,460077,Drew Butera,R,Francisco Mejía,642336,4,0,3,False,2020-08-01,Stolen,2B,2020,2021,27.6
2,1B,2B,Stolen Base 2B,444482,David Peralta,615698,Cal Quantrill,500871,Eduardo Escobar,R,Francisco Mejía,642336,0,1,2,False,2020-08-15,Stolen,2B,2020,2021,27.6
3,1B,2B,Stolen Base 2B,572008,Chris Owings,615698,Cal Quantrill,460077,Drew Butera,R,Francisco Mejía,642336,4,0,3,False,2020-08-01,Stolen,2B,2020,2021,27.6
4,1B,2B,Stolen Base 2B,444482,David Peralta,615698,Cal Quantrill,500871,Eduardo Escobar,R,Francisco Mejía,642336,0,1,2,False,2020-08-15,Stolen,2B,2020,2021,27.6
5,1B,2B,Stolen Base 2B,572008,Chris Owings,615698,Cal Quantrill,460077,Drew Butera,R,Francisco Mejía,642336,4,0,3,False,2020-08-01,Stolen,2B,2020,2021,27.6
6,1B,,Caught Stealing 2B,502117,Kristopher Negrón,659275,Dinelson Lamet,592626,Joc Pederson,R,Francisco Mejía,642336,3,3,4,True,2019-09-25,Caught,2B,2019,2020,27.1
7,1B,2B,Stolen Base 2B,641355,Cody Bellinger,489334,Craig Stammen,666158,Gavin Lux,R,Francisco Mejía,642336,4,5,8,True,2019-09-25,Stolen,2B,2019,2020,27.1
8,1B,2B,Stolen Base 2B,605113,Nick Ahmed,606131,Luis Perdomo,488671,Alex Avila,R,Francisco Mejía,642336,2,4,9,True,2019-09-21,Stolen,2B,2019,2020,27.1
9,1B,2B,Stolen Base 2B,607461,Matt Beaty,615698,Cal Quantrill,571771,Enrique Hernández,R,Francisco Mejía,642336,0,3,4,True,2019-08-27,Stolen,2B,2019,2020,27.1
10,1B,2B,Stolen Base 2B,571466,Tucker Barnhart,621381,Matt Strahm,642165,Josh VanMeter,L,Francisco Mejía,642336,0,0,2,False,2019-08-21,Stolen,2B,2019,2020,27.1
11,1B,2B,Stolen Base 2B,595281,Kevin Kiermaier,664192,Joey Lucchesi,642715,Willy Adames,L,Francisco Mejía,642336,2,3,4,True,2019-08-12,Stolen,2B,2019,2020,27.1
12,2B,,Caught Stealing 3B,595281,Kevin Kiermaier,664192,Joey Lucchesi,643493,Austin Pruitt,L,Francisco Mejía,642336,2,3,4,True,2019-08-12,Caught,3B,2019,2020,27.1
13,1B,2B,Stolen Base 2B,628338,Guillermo Heredia,622259,Trey Wingenter,542583,Jesús Aguilar,R,Francisco Mejía,642336,2,4,7,True,2019-08-12,Stolen,2B,2019,2020,27.1
14,1B,2B,Stolen Base 2B,596115,Trevor Story,659275,Dinelson Lamet,475174,Yonder Alonso,R,Francisco Mejía,642336,0,0,1,True,2019-08-11,Stolen,2B,2019,2020,27.1
15,1B,2B,Stolen Base 2B,596115,Trevor Story,621381,Matt Strahm,571448,Nolan Arenado,L,Francisco Mejía,642336,3,3,5,True,2019-08-08,Stolen,2B,2019,2020,27.1
