,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year,Sprint
0,0,0,0,0,0,0,700,1B,,Caught Stealing 2B,571980,Tyler Naquin,628317,Kenta Maeda,547379,Roberto Pérez,R,Alex Avila,488671,1,0,2,False,2020-08-24,Caught,2B,2020,2021,27.7,2021,27.7,2021,27.7,2021,27.7,2021,27.7,2021,27.7,2021,27.7
1,1,1,1,1,1,1,3543,1B,,Caught Stealing 2B,571980,Tyler Naquin,628317,Kenta Maeda,547379,Roberto Pérez,R,Alex Avila,488671,1,0,2,False,2020-08-24,Caught,2B,2020,2021,27.7,2021,27.7,2021,27.7,2021,27.7,2021,27.7,2021,27.7,2021,27.7
2,2,2,2,2,2,2,5467,1B,,Caught Stealing 2B,571980,Tyler Naquin,628317,Kenta Maeda,547379,Roberto Pérez,R,Alex Avila,488671,1,0,2,False,2020-08-24,Caught,2B,2020,2021,27.7,2021,27.7,2021,27.7,2021,27.7,2021,27.7,2021,27.7,2021,27.7
3,3,3,3,3,3,3,1808,1B,,Caught Stealing 2B,571980,Tyler Naquin,519455,Jordan Zimmermann,547379,Roberto Pérez,R,John Hicks,543308,0,1,2,True,2019-08-28,Caught,2B,2019,2020,26.8,2020,26.8,2020,26.8,2020,26.8,2020,26.8,2020,26.8,2020,26.8
4,4,4,4,4,4,4,2512,1B,2B,Stolen Base 2B,571980,Tyler Naquin,621244,José Berríos,596019,Francisco Lindor,R,Mitch Garver,641598,3,0,4,False,2019-07-14,Stolen,2B,2019,2020,26.8,2020,26.8,2020,26.8,2020,26.8,2020,26.8,2020,26.8,2020,26.8
5,5,5,5,5,5,5,2798,1B,,Caught Stealing 2B,571980,Tyler Naquin,605513,Spencer Turnbull,547379,Roberto Pérez,R,John Hicks,543308,1,0,2,False,2019-06-22,Caught,2B,2019,2020,26.8,2020,26.8,2020,26.8,2020,26.8,2020,26.8,2020,26.8,2020,26.8
6,6,6,6,6,6,6,3739,1B,2B,Stolen Base 2B,571980,Tyler Naquin,502748,Brad Peacock,608700,Kevin Plawecki,R,Max Stassi,545358,1,0,3,True,2019-04-27,Stolen,2B,2019,2020,26.8,2020,26.8,2020,26.8,2020,26.8,2020,26.8,2020,26.8,2020,26.8
7,7,7,7,7,7,7,3853,1B,2B,Stolen Base 2B,571980,Tyler Naquin,641149,Wes Parsons,608700,Kevin Plawecki,R,Brian McCann,435263,4,2,5,False,2019-04-20,Stolen,2B,2019,2020,26.8,2020,26.8,2020,26.8,2020,26.8,2020,26.8,2020,26.8,2020,26.8
8,8,8,8,8,8,8,4102,1B,2B,Stolen Base 2B,571980,Tyler Naquin,573186,Marcus Stroman,656185,Greg Allen,R,Danny Jansen,643376,2,0,4,False,2019-04-07,Stolen,2B,2019,2020,26.8,2020,26.8,2020,26.8,2020,26.8,2020,26.8,2020,26.8,2020,26.8
9,9,9,9,9,9,9,4651,1B,,Caught Stealing 2B,571980,Tyler Naquin,519455,Jordan Zimmermann,547379,Roberto Pérez,R,John Hicks,543308,0,1,2,True,2019-08-28,Caught,2B,2019,2020,26.8,2020,26.8,2020,26.8,2020,26.8,2020,26.8,2020,26.8,2020,26.8
