,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,1B,,Caught Stealing 2B,669242,Tommy Edman,519455,Jordan Zimmermann,543543,Brad Miller,R,Grayson Greiner,606988,1,0,3,False,2020-09-10,Caught,2B,2020,2021,28.9
1,2B,,Caught Stealing 3B,649966,Luis Urías,571510,Matthew Boyd,621438,Tyrone Taylor,L,Grayson Greiner,606988,0,1,2,True,2020-09-09,Caught,3B,2020,2021,28.9
2,1B,2B,Stolen Base 2B,501303,Ehire Adrianza,608335,Kyle Funkhouser,518626,Josh Donaldson,R,Grayson Greiner,606988,7,7,7,False,2020-09-06,Stolen,2B,2020,2021,28.9
3,1B,2B,Stolen Base 2B,593871,Jorge Polanco,542585,José Cisnero,443558,Nelson Cruz,R,Grayson Greiner,606988,2,2,7,True,2020-09-04,Stolen,2B,2020,2021,28.9
4,1B,2B,Stolen Base 2B,593871,Jorge Polanco,542585,José Cisnero,443558,Nelson Cruz,R,Grayson Greiner,606988,2,2,7,True,2020-08-28,Stolen,2B,2020,2021,28.9
5,1B,2B,Stolen Base 2B,593871,Jorge Polanco,542585,José Cisnero,443558,Nelson Cruz,R,Grayson Greiner,606988,2,2,7,True,2020-08-27,Stolen,2B,2020,2021,28.9
6,1B,2B,Stolen Base 2B,608070,José Ramírez,669373,Tarik Skubal,596019,Francisco Lindor,L,Grayson Greiner,606988,1,1,3,False,2020-08-23,Stolen,2B,2020,2021,28.9
7,1B,2B,Stolen Base 2B,641313,Tim Anderson,663554,Casey Mize,660162,Yoán Moncada,R,Grayson Greiner,606988,3,3,5,False,2020-08-19,Stolen,2B,2020,2021,28.9
8,1B,2B,Stolen Base 2B,640458,Óscar Mercado,641729,Joe Jiménez,605548,Bradley Zimmer,R,Grayson Greiner,606988,4,8,9,True,2020-08-16,Stolen,2B,2020,2021,28.9
9,1B,,Caught Stealing 2B,669242,Tommy Edman,519455,Jordan Zimmermann,543543,Brad Miller,R,Grayson Greiner,606988,1,0,3,False,2020-08-06,Caught,2B,2020,2021,28.9
