,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,1B,2B,Stolen Base 2B,660670,Ronald Acuña Jr.,607391,Chris Mazza,645277,Ozzie Albies,R,Kevin Plawecki,608700,1,0,3,False,2020-09-25,Stolen,2B,2020,2021,29.4
1,1B,,Caught Stealing 2B,642180,Tyler Wade,607391,Chris Mazza,518934,DJ LeMahieu,R,Kevin Plawecki,608700,0,2,2,True,2020-09-19,Caught,2B,2020,2021,29.4
2,1B,,Caught Stealing 2B,592450,Aaron Judge,592229,Dylan Covey,458731,Brett Gardner,R,Kevin Plawecki,608700,0,4,5,True,2020-09-19,Caught,2B,2020,2021,29.4
3,1B,2B,Stolen Base 2B,516782,Starling Marte,543135,Nathan Eovaldi,542583,Jesús Aguilar,R,Kevin Plawecki,608700,0,0,1,False,2020-09-17,Stolen,2B,2020,2021,29.4
4,1B,,Caught Stealing 2B,622534,Manuel Margot,543135,Nathan Eovaldi,605421,Michael Pérez,R,Kevin Plawecki,608700,1,0,2,False,2020-09-12,Caught,2B,2020,2021,29.4
5,1B,2B,Stolen Base 2B,621563,Joey Wendle,607391,Chris Mazza,663993,Nathaniel Lowe,R,Kevin Plawecki,608700,4,2,6,False,2020-09-12,Stolen,2B,2020,2021,29.4
6,1B,2B,Stolen Base 2B,596451,Roman Quinn,592390,Heath Hembree,457705,Andrew McCutchen,R,Kevin Plawecki,608700,4,5,6,True,2020-08-18,Stolen,2B,2020,2021,29.4
7,1B,2B,Stolen Base 2B,457705,Andrew McCutchen,592390,Heath Hembree,656555,Rhys Hoskins,R,Kevin Plawecki,608700,4,5,6,True,2020-08-18,Stolen,2B,2020,2021,29.4
8,1B,2B,Stolen Base 2B,547180,Bryce Harper,519393,Marcus Walden,592663,J.T. Realmuto,R,Kevin Plawecki,608700,5,10,8,True,2020-08-18,Stolen,2B,2020,2021,29.4
9,1B,2B,Stolen Base 2B,640457,Austin Meadows,605155,Colten Brewer,664040,Brandon Lowe,R,Kevin Plawecki,608700,3,1,3,True,2020-08-10,Stolen,2B,2020,2021,29.4
