,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
5588,1B,2B,Stolen Base 2B,641658,Garrett Hampson,656232,Brandon Bielak,453568,Charlie Blackmon,R,Dustin Garneau,572863,0,0,1,True,2020-08-17,Stolen,2B
5708,2B,3B,Stolen Base 3B,641658,Garrett Hampson,592662,Robbie Ray,453568,Charlie Blackmon,L,Stephen Vogt,519390,4,8,4,False,2020-08-10,Stolen,3B
5719,1B,2B,Stolen Base 2B,641658,Garrett Hampson,656186,Dan Altavilla,596115,Trevor Story,R,Joe Hudson,621529,5,1,8,True,2020-08-09,Stolen,2B
6122,1B,2B,Stolen Base 2B,641658,Garrett Hampson,502188,Jeff Samardzija,571448,Nolan Arenado,R,Stephen Vogt,519390,0,0,1,True,2019-09-25,Stolen,2B
6124,1B,2B,Stolen Base 2B,641658,Garrett Hampson,502188,Jeff Samardzija,606132,Raimel Tapia,R,Stephen Vogt,519390,1,0,5,True,2019-09-25,Stolen,2B
6166,1B,2B,Stolen Base 2B,641658,Garrett Hampson,621111,Walker Buehler,606132,Raimel Tapia,R,Russell Martin,431145,0,2,3,True,2019-09-21,Stolen,2B
6187,1B,2B,Stolen Base 2B,641658,Garrett Hampson,477132,Clayton Kershaw,642162,Pat Valaika,L,Will Smith,669257,0,2,2,True,2019-09-20,Stolen,2B
6231,1B,2B,Stolen Base 2B,641658,Garrett Hampson,592789,Noah Syndergaard,624513,Dom Nuñez,R,Tomás Nido,621512,3,2,6,False,2019-09-18,Stolen,2B
6232,2B,3B,Stolen Base 3B,641658,Garrett Hampson,592789,Noah Syndergaard,624513,Dom Nuñez,R,Tomás Nido,621512,3,2,6,False,2019-09-18,Stolen,3B
6273,1B,2B,Stolen Base 2B,641658,Garrett Hampson,615698,Cal Quantrill,658069,Joshua Fuentes,R,Austin Allen,664119,4,1,3,False,2019-09-15,Stolen,2B
6466,1B,2B,Stolen Base 2B,641658,Garrett Hampson,548389,Ross Stripling,460077,Drew Butera,R,Will Smith,669257,7,3,6,True,2019-09-04,Stolen,2B
6515,1B,2B,Stolen Base 2B,641658,Garrett Hampson,643230,Steven Brault,547172,Tony Wolters,L,Elias Díaz,553869,0,2,5,False,2019-09-01,Stolen,2B
6572,1B,2B,Stolen Base 2B,641658,Garrett Hampson,598264,Matt Barnes,656541,Sam Hilliard,R,Christian Vázquez,543877,4,6,8,False,2019-08-28,Stolen,2B
7080,1B,,Caught Stealing 2B,641658,Garrett Hampson,596112,Robert Stephenson,547172,Tony Wolters,R,Tucker Barnhart,571466,2,6,8,True,2019-07-26,Caught,2B
7291,1B,2B,Stolen Base 2B,641658,Garrett Hampson,456696,David Hernandez,453568,Charlie Blackmon,R,Curt Casali,592200,8,10,6,False,2019-07-13,Stolen,2B
7349,1B,2B,Stolen Base 2B,641658,Garrett Hampson,592662,Robbie Ray,547172,Tony Wolters,L,Carson Kelly,608348,0,1,2,True,2019-07-06,Stolen,2B
7502,1B,2B,Stolen Base 2B,641658,Garrett Hampson,502188,Jeff Samardzija,453568,Charlie Blackmon,R,Stephen Vogt,519390,2,0,3,True,2019-06-26,Stolen,2B
7537,1B,2B,Stolen Base 2B,641658,Garrett Hampson,445276,Kenley Jansen,621311,David Dahl,R,Austin Barnes,605131,3,3,9,True,2019-06-23,Stolen,2B
8300,1B,,Caught Stealing 2B,641658,Garrett Hampson,605538,Matt Wisler,547172,Tony Wolters,R,Austin Hedges,595978,9,2,5,False,2019-05-10,Caught,2B
8691,2B,3B,Stolen Base 3B,641658,Garrett Hampson,622259,Trey Wingenter,596115,Trevor Story,R,Francisco Mejía,642336,1,6,9,True,2019-04-16,Stolen,3B
8706,1B,,Caught Stealing 2B,641658,Garrett Hampson,664192,Joey Lucchesi,596115,Trevor Story,L,Austin Hedges,595978,0,0,1,True,2019-04-15,Caught,2B
905,1B,2B,Stolen Base 2B,641658,Garrett Hampson,682120,Tim Herrin,672580,Maikel Garcia,L,Bo Naylor,666310,4,9,7,True,2024-08-26,Stolen,2B
2009,2B,3B,Stolen Base 3B,641658,Garrett Hampson,669467,Andre Pallante,672580,Maikel Garcia,R,Pedro Pagés,686780,3,3,5,True,2024-07-10,Stolen,3B
2011,2B,3B,Stolen Base 3B,641658,Garrett Hampson,669467,Andre Pallante,672580,Maikel Garcia,R,Pedro Pagés,686780,3,3,5,True,2024-07-09,Stolen,3B
3109,1B,2B,Stolen Base 2B,641658,Garrett Hampson,641302,Tyler Alexander,672580,Maikel Garcia,L,Alex Jackson,656577,1,6,6,True,2024-05-24,Stolen,2B
3466,3B,,Caught Stealing Home,641658,Garrett Hampson,672282,Reid Detmers,677951,Bobby Witt Jr.,L,Logan O'Hoppe,681351,0,2,3,True,2024-05-09,Caught,Home
3469,1B,2B,Stolen Base 2B,641658,Garrett Hampson,607237,Amir Garrett,672580,Maikel Garcia,L,Logan O'Hoppe,681351,0,8,6,True,2024-05-09,Stolen,2B
4143,1B,2B,Stolen Base 2B,641658,Garrett Hampson,640455,Sean Manaea,680118,Dairon Blanco,L,Omar Narváez,553882,3,4,3,True,2024-04-13,Stolen,2B
4144,1B,2B,Stolen Base 2B,641658,Garrett Hampson,642121,Cole Sulser,666023,Freddy Fermin,R,Omar Narváez,553882,4,8,4,True,2024-04-13,Stolen,2B
4409,1B,2B,Stolen Base 2B,641658,Garrett Hampson,666974,Yennier Cano,521692,Salvador Perez,R,Adley Rutschman,668939,3,3,8,True,2024-04-01,Stolen,2B
4519,1B,2B,Stolen Base 2B,641658,Garrett Hampson,664192,Joey Lucchesi,605137,Josh Bell,L,Francisco Alvarez,682626,2,0,3,True,2023-09-27,Stolen,2B
4714,2B,3B,Stolen Base 3B,641658,Garrett Hampson,664192,Joey Lucchesi,542932,Jon Berti,L,Francisco Alvarez,682626,3,1,6,False,2023-09-19,Stolen,3B
7504,1B,2B,Stolen Base 2B,641658,Garrett Hampson,657277,Logan Webb,669364,Xavier Edwards,R,Patrick Bailey,672275,0,0,5,True,2023-05-20,Stolen,2B
8178,1B,2B,Stolen Base 2B,641658,Garrett Hampson,675916,James Karinchak,541645,Avisaíl García,R,Cam Gallagher,595956,1,2,6,True,2023-04-22,Stolen,2B
8189,1B,2B,Stolen Base 2B,641658,Garrett Hampson,675916,James Karinchak,541645,Avisaíl García,R,Cam Gallagher,595956,1,2,6,True,2023-04-21,Stolen,2B
8235,1B,2B,Stolen Base 2B,641658,Garrett Hampson,502171,Alex Cobb,665862,Jazz Chisholm Jr.,R,Joey Bart,663698,0,1,5,False,2023-04-19,Stolen,2B
