,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year_x.3,Sprint_x.3,Current_Year_y.3,Sprint_y.3,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,0,0,0,0,0,0,2B,3B,Stolen Base 3B,547180,Bryce Harper,670912,Johan Oviedo,669016,Brandon Marsh,R,Endy Rodríguez,682848,0,3,1,False,2023-09-27,Stolen,3B,2023,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4
1,1,1,1,1,1,1,1,1,1,1B,,Caught Stealing 2B,665506,Cristian Pache,670912,Johan Oviedo,679032,Johan Rojas,R,Endy Rodríguez,682848,6,6,5,False,2023-09-27,Caught,2B,2023,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4
2,2,2,2,2,2,2,2,2,2,1B,2B,Stolen Base 2B,681082,Bryson Stott,664294,Dauri Moreta,592663,J.T. Realmuto,R,Endy Rodríguez,682848,2,1,7,False,2023-09-26,Stolen,2B,2023,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4
3,3,3,3,3,3,3,3,3,3,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,663559,Bailey Falter,663697,Jonathan India,L,Endy Rodríguez,682848,4,0,2,False,2023-09-23,Stolen,2B,2023,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4
4,4,4,4,4,4,4,4,4,4,2B,3B,Stolen Base 3B,682829,Elly De La Cruz,663559,Bailey Falter,663697,Jonathan India,L,Endy Rodríguez,682848,4,0,2,False,2023-09-23,Stolen,3B,2023,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4
5,5,5,5,5,5,5,5,5,5,1B,2B,Stolen Base 2B,670770,TJ Friedl,669796,Jose E. Hernandez,656413,Stuart Fairchild,L,Endy Rodríguez,682848,9,9,7,False,2023-09-23,Stolen,2B,2023,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4
6,6,6,6,6,6,6,6,6,6,1B,2B,Stolen Base 2B,670770,TJ Friedl,656578,Andre Jackson,687952,Christian Encarnacion-Strand,R,Endy Rodríguez,682848,0,0,1,False,2023-09-22,Stolen,2B,2023,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4
7,7,7,7,7,7,7,7,7,7,1B,2B,Stolen Base 2B,682829,Elly De La Cruz,682847,Luis L. Ortiz,666181,Will Benson,R,Endy Rodríguez,682848,0,0,2,False,2023-09-22,Stolen,2B,2023,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4
8,8,8,8,8,8,8,8,8,8,2B,3B,Stolen Base 3B,682829,Elly De La Cruz,682847,Luis L. Ortiz,663697,Jonathan India,R,Endy Rodríguez,682848,1,0,2,False,2023-09-22,Stolen,3B,2023,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4
9,9,9,9,9,9,9,9,9,9,1B,2B,Stolen Base 2B,683011,Anthony Volpe,669796,Jose E. Hernandez,664314,Estevan Florial,L,Endy Rodríguez,682848,3,6,9,True,2023-09-16,Stolen,2B,2023,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4
10,10,10,10,10,10,10,10,10,10,1B,2B,Stolen Base 2B,665828,Oswaldo Cabrera,670059,Colin Holderman,666163,Ben Rortvedt,R,Endy Rodríguez,682848,5,7,9,True,2023-09-15,Stolen,2B,2023,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4
11,11,11,11,11,11,11,11,11,11,1B,,Caught Stealing 2B,669743,Alex Call,663559,Bailey Falter,696285,Jacob Young,L,Endy Rodríguez,682848,2,0,3,True,2023-09-12,Caught,2B,2023,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4,2024,27.4
