,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,1B,2B,Stolen Base 2B,516782,Starling Marte,489119,Wade Miley,446481,Sean Rodríguez,L,Steve Clevenger,502182,0,4,4,True,2016-06-29,Stolen,2B,2016,2017,28.8
1,1B,,Caught Stealing 2B,543401,Jason Kipnis,489119,Wade Miley,596019,Francisco Lindor,L,Steve Clevenger,502182,2,0,4,True,2016-06-07,Caught,2B,2016,2017,28.8
2,1B,2B,Stolen Base 2B,435622,Ian Desmond,592836,Taijuan Walker,608577,Nomar Mazara,R,Steve Clevenger,502182,0,0,1,False,2016-06-03,Stolen,2B,2016,2017,28.8
3,1B,2B,Stolen Base 2B,462101,Elvis Andrus,592836,Taijuan Walker,435064,Bobby Wilson,R,Steve Clevenger,502182,3,0,2,False,2016-06-03,Stolen,2B,2016,2017,28.8
4,1B,,Caught Stealing 2B,543213,Johnny Giavotella,515052,Mayckol Guaipe,542208,Carlos Pérez,R,Steve Clevenger,502182,2,6,8,True,2016-05-14,Caught,2B,2016,2017,28.8
5,1B,2B,Stolen Base 2B,514888,Jose Altuve,547874,Hisashi Iwakuma,543807,George Springer,R,Steve Clevenger,502182,1,0,3,False,2016-05-08,Stolen,2B,2016,2017,28.8
6,2B,3B,Stolen Base 3B,514888,Jose Altuve,547874,Hisashi Iwakuma,621043,Carlos Correa,R,Steve Clevenger,502182,1,0,3,False,2016-05-08,Stolen,3B,2016,2017,28.8
7,1B,2B,Stolen Base 2B,621043,Carlos Correa,547874,Hisashi Iwakuma,458675,Colby Rasmus,R,Steve Clevenger,502182,2,0,3,False,2016-05-08,Stolen,2B,2016,2017,28.8
8,1B,2B,Stolen Base 2B,514888,Jose Altuve,515052,Mayckol Guaipe,543807,George Springer,R,Steve Clevenger,502182,4,1,7,False,2016-05-08,Stolen,2B,2016,2017,28.8
9,1B,2B,Stolen Base 2B,543807,George Springer,515052,Mayckol Guaipe,621043,Carlos Correa,R,Steve Clevenger,502182,5,1,7,False,2016-05-08,Stolen,2B,2016,2017,28.8
10,1B,2B,Stolen Base 2B,542993,Billy Burns,547874,Hisashi Iwakuma,476704,Jed Lowrie,R,Steve Clevenger,502182,1,3,6,False,2016-05-03,Stolen,2B,2016,2017,28.8
11,1B,2B,Stolen Base 2B,543401,Jason Kipnis,407908,Joel Peralta,596019,Francisco Lindor,R,Steve Clevenger,502182,5,7,7,False,2016-04-21,Stolen,2B,2016,2017,28.8
12,1B,,Caught Stealing 2B,596019,Francisco Lindor,543964,Tony Zych,467793,Carlos Santana,R,Steve Clevenger,502182,7,7,9,False,2016-04-21,Caught,2B,2016,2017,28.8
13,1B,2B,Stolen Base 2B,458731,Brett Gardner,547874,Hisashi Iwakuma,136860,Carlos Beltrán,R,Steve Clevenger,502182,0,1,1,False,2016-04-17,Stolen,2B,2016,2017,28.8
14,1B,2B,Stolen Base 2B,453056,Jacoby Ellsbury,547874,Hisashi Iwakuma,458731,Brett Gardner,R,Steve Clevenger,502182,3,1,3,False,2016-04-17,Stolen,2B,2016,2017,28.8
15,1B,,Caught Stealing 2B,592261,Delino DeShields,276542,Joaquín Benoit,134181,Adrian Beltré,R,Steve Clevenger,502182,5,4,8,False,2016-04-06,Caught,2B,2016,2017,28.8
16,1B,2B,Stolen Base 2B,662172,Ryan Stephens,501992,Nate Karns,664883,Scott Burcham,R,Steve Clevenger,502182,3,5,6,False,2016-04-02,Stolen,2B,2016,2017,28.8
17,1B,2B,Stolen Base 2B,516782,Starling Marte,489119,Wade Miley,446481,Sean Rodríguez,L,Steve Clevenger,502182,0,4,4,True,2016-06-29,Stolen,2B,2016,2017,28.8
18,1B,,Caught Stealing 2B,543401,Jason Kipnis,489119,Wade Miley,596019,Francisco Lindor,L,Steve Clevenger,502182,2,0,4,True,2016-06-07,Caught,2B,2016,2017,28.8
19,1B,2B,Stolen Base 2B,435622,Ian Desmond,592836,Taijuan Walker,608577,Nomar Mazara,R,Steve Clevenger,502182,0,0,1,False,2016-06-03,Stolen,2B,2016,2017,28.8
20,1B,2B,Stolen Base 2B,462101,Elvis Andrus,592836,Taijuan Walker,435064,Bobby Wilson,R,Steve Clevenger,502182,3,0,2,False,2016-06-03,Stolen,2B,2016,2017,28.8
21,1B,,Caught Stealing 2B,543213,Johnny Giavotella,515052,Mayckol Guaipe,542208,Carlos Pérez,R,Steve Clevenger,502182,2,6,8,True,2016-05-14,Caught,2B,2016,2017,28.8
22,1B,2B,Stolen Base 2B,514888,Jose Altuve,547874,Hisashi Iwakuma,543807,George Springer,R,Steve Clevenger,502182,1,0,3,False,2016-05-08,Stolen,2B,2016,2017,28.8
23,2B,3B,Stolen Base 3B,514888,Jose Altuve,547874,Hisashi Iwakuma,621043,Carlos Correa,R,Steve Clevenger,502182,1,0,3,False,2016-05-08,Stolen,3B,2016,2017,28.8
24,1B,2B,Stolen Base 2B,621043,Carlos Correa,547874,Hisashi Iwakuma,458675,Colby Rasmus,R,Steve Clevenger,502182,2,0,3,False,2016-05-08,Stolen,2B,2016,2017,28.8
25,1B,2B,Stolen Base 2B,514888,Jose Altuve,515052,Mayckol Guaipe,543807,George Springer,R,Steve Clevenger,502182,4,1,7,False,2016-05-08,Stolen,2B,2016,2017,28.8
26,1B,2B,Stolen Base 2B,543807,George Springer,515052,Mayckol Guaipe,621043,Carlos Correa,R,Steve Clevenger,502182,5,1,7,False,2016-05-08,Stolen,2B,2016,2017,28.8
27,1B,2B,Stolen Base 2B,542993,Billy Burns,547874,Hisashi Iwakuma,476704,Jed Lowrie,R,Steve Clevenger,502182,1,3,6,False,2016-05-03,Stolen,2B,2016,2017,28.8
28,1B,2B,Stolen Base 2B,543401,Jason Kipnis,407908,Joel Peralta,596019,Francisco Lindor,R,Steve Clevenger,502182,5,7,7,False,2016-04-21,Stolen,2B,2016,2017,28.8
29,1B,,Caught Stealing 2B,596019,Francisco Lindor,543964,Tony Zych,467793,Carlos Santana,R,Steve Clevenger,502182,7,7,9,False,2016-04-21,Caught,2B,2016,2017,28.8
30,1B,2B,Stolen Base 2B,458731,Brett Gardner,547874,Hisashi Iwakuma,136860,Carlos Beltrán,R,Steve Clevenger,502182,0,1,1,False,2016-04-17,Stolen,2B,2016,2017,28.8
31,1B,2B,Stolen Base 2B,453056,Jacoby Ellsbury,547874,Hisashi Iwakuma,458731,Brett Gardner,R,Steve Clevenger,502182,3,1,3,False,2016-04-17,Stolen,2B,2016,2017,28.8
32,1B,,Caught Stealing 2B,592261,Delino DeShields,276542,Joaquín Benoit,134181,Adrian Beltré,R,Steve Clevenger,502182,5,4,8,False,2016-04-06,Caught,2B,2016,2017,28.8
33,1B,2B,Stolen Base 2B,662172,Ryan Stephens,501992,Nate Karns,664883,Scott Burcham,R,Steve Clevenger,502182,3,5,6,False,2016-04-02,Stolen,2B,2016,2017,28.8
34,1B,2B,Stolen Base 2B,516782,Starling Marte,489119,Wade Miley,446481,Sean Rodríguez,L,Steve Clevenger,502182,0,4,4,True,2016-06-29,Stolen,2B,2016,2017,28.8
35,1B,,Caught Stealing 2B,543401,Jason Kipnis,489119,Wade Miley,596019,Francisco Lindor,L,Steve Clevenger,502182,2,0,4,True,2016-06-07,Caught,2B,2016,2017,28.8
36,1B,2B,Stolen Base 2B,435622,Ian Desmond,592836,Taijuan Walker,608577,Nomar Mazara,R,Steve Clevenger,502182,0,0,1,False,2016-06-03,Stolen,2B,2016,2017,28.8
37,1B,2B,Stolen Base 2B,462101,Elvis Andrus,592836,Taijuan Walker,435064,Bobby Wilson,R,Steve Clevenger,502182,3,0,2,False,2016-06-03,Stolen,2B,2016,2017,28.8
38,1B,,Caught Stealing 2B,543213,Johnny Giavotella,515052,Mayckol Guaipe,542208,Carlos Pérez,R,Steve Clevenger,502182,2,6,8,True,2016-05-14,Caught,2B,2016,2017,28.8
39,1B,2B,Stolen Base 2B,514888,Jose Altuve,547874,Hisashi Iwakuma,543807,George Springer,R,Steve Clevenger,502182,1,0,3,False,2016-05-08,Stolen,2B,2016,2017,28.8
40,2B,3B,Stolen Base 3B,514888,Jose Altuve,547874,Hisashi Iwakuma,621043,Carlos Correa,R,Steve Clevenger,502182,1,0,3,False,2016-05-08,Stolen,3B,2016,2017,28.8
41,1B,2B,Stolen Base 2B,621043,Carlos Correa,547874,Hisashi Iwakuma,458675,Colby Rasmus,R,Steve Clevenger,502182,2,0,3,False,2016-05-08,Stolen,2B,2016,2017,28.8
42,1B,2B,Stolen Base 2B,514888,Jose Altuve,515052,Mayckol Guaipe,543807,George Springer,R,Steve Clevenger,502182,4,1,7,False,2016-05-08,Stolen,2B,2016,2017,28.8
43,1B,2B,Stolen Base 2B,543807,George Springer,515052,Mayckol Guaipe,621043,Carlos Correa,R,Steve Clevenger,502182,5,1,7,False,2016-05-08,Stolen,2B,2016,2017,28.8
44,1B,2B,Stolen Base 2B,542993,Billy Burns,547874,Hisashi Iwakuma,476704,Jed Lowrie,R,Steve Clevenger,502182,1,3,6,False,2016-05-03,Stolen,2B,2016,2017,28.8
45,1B,2B,Stolen Base 2B,543401,Jason Kipnis,407908,Joel Peralta,596019,Francisco Lindor,R,Steve Clevenger,502182,5,7,7,False,2016-04-21,Stolen,2B,2016,2017,28.8
46,1B,,Caught Stealing 2B,596019,Francisco Lindor,543964,Tony Zych,467793,Carlos Santana,R,Steve Clevenger,502182,7,7,9,False,2016-04-21,Caught,2B,2016,2017,28.8
47,1B,2B,Stolen Base 2B,458731,Brett Gardner,547874,Hisashi Iwakuma,136860,Carlos Beltrán,R,Steve Clevenger,502182,0,1,1,False,2016-04-17,Stolen,2B,2016,2017,28.8
48,1B,2B,Stolen Base 2B,453056,Jacoby Ellsbury,547874,Hisashi Iwakuma,458731,Brett Gardner,R,Steve Clevenger,502182,3,1,3,False,2016-04-17,Stolen,2B,2016,2017,28.8
49,1B,,Caught Stealing 2B,592261,Delino DeShields,276542,Joaquín Benoit,134181,Adrian Beltré,R,Steve Clevenger,502182,5,4,8,False,2016-04-06,Caught,2B,2016,2017,28.8
50,1B,2B,Stolen Base 2B,662172,Ryan Stephens,501992,Nate Karns,664883,Scott Burcham,R,Steve Clevenger,502182,3,5,6,False,2016-04-02,Stolen,2B,2016,2017,28.8
51,1B,,Caught Stealing 2B,519306,Steven Souza Jr.,612672,Wei-Yin Chen,518653,Jake Elmore,L,Steve Clevenger,502182,0,3,6,True,2015-05-30,Caught,2B,2015,2016,28.9
52,1B,2B,Stolen Base 2B,452678,Asdrúbal Cabrera,488984,Tommy Hunter,545338,Nick Franklin,R,Steve Clevenger,502182,0,3,9,True,2015-05-30,Stolen,2B,2015,2016,28.9
