,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year_x.3,Sprint_x.3,Current_Year_y.3,Sprint_y.3,Current_Year,Sprint
0,0,0,0,0,0,0,0,0,34,1B,2B,Stolen Base 2B,596115,Trevor Story,622492,Keury Mella,658069,Joshua Fuentes,R,Daulton Varsho,662139,3,7,7,True,2020-09-26,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
1,1,1,1,1,1,1,1,1,92,1B,,Caught Stealing 2B,596115,Trevor Story,657277,Logan Webb,453568,Charlie Blackmon,R,Joey Bart,663698,0,1,3,True,2020-09-23,Caught,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
2,2,2,2,2,2,2,2,2,306,1B,2B,Stolen Base 2B,596115,Trevor Story,642545,Jaime Barria,453568,Charlie Blackmon,R,Max Stassi,545358,1,0,3,False,2020-09-12,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
3,3,3,3,3,3,3,3,3,402,2B,3B,Stolen Base 3B,596115,Trevor Story,605182,Mike Clevinger,453568,Charlie Blackmon,R,Jason Castro,488771,0,0,1,True,2020-09-08,Stolen,3B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
4,4,4,4,4,4,4,4,4,420,1B,2B,Stolen Base 2B,596115,Trevor Story,519141,Drew Pomeranz,607680,Kevin Pillar,L,Austin Nola,543592,0,0,9,True,2020-09-07,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
5,5,5,5,5,5,5,5,5,434,1B,2B,Stolen Base 2B,596115,Trevor Story,628711,Julio Urías,571448,Nolan Arenado,L,Will Smith,669257,0,0,1,True,2020-09-06,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
6,6,6,6,6,6,6,6,6,436,1B,2B,Stolen Base 2B,596115,Trevor Story,660813,Brusdar Graterol,571448,Nolan Arenado,R,Will Smith,669257,6,5,7,True,2020-09-06,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
7,7,7,7,7,7,7,7,7,532,1B,2B,Stolen Base 2B,596115,Trevor Story,670056,Caleb Baragar,453568,Charlie Blackmon,L,Joey Bart,663698,9,6,8,False,2020-09-02,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
8,8,8,8,8,8,8,8,8,648,1B,2B,Stolen Base 2B,596115,Trevor Story,592662,Robbie Ray,571448,Nolan Arenado,L,Stephen Vogt,519390,0,2,3,True,2020-08-26,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
9,9,9,9,9,9,9,9,9,669,1B,2B,Stolen Base 2B,596115,Trevor Story,622065,Alex Young,453568,Charlie Blackmon,L,Stephen Vogt,519390,2,2,3,True,2020-08-25,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
10,10,10,10,10,10,10,10,10,670,1B,2B,Stolen Base 2B,596115,Trevor Story,592233,Stefan Crichton,571448,Nolan Arenado,R,Stephen Vogt,519390,3,4,7,True,2020-08-25,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
11,11,11,11,11,11,11,11,11,748,1B,2B,Stolen Base 2B,596115,Trevor Story,621111,Walker Buehler,453568,Charlie Blackmon,R,Austin Barnes,605131,4,1,6,True,2020-08-21,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
12,12,12,12,12,12,12,12,12,925,1B,2B,Stolen Base 2B,596115,Trevor Story,668678,Zac Gallen,453568,Charlie Blackmon,R,Carson Kelly,608348,2,1,5,False,2020-08-11,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
13,13,13,13,13,13,13,13,13,965,1B,2B,Stolen Base 2B,596115,Trevor Story,607555,Taylor Guilbeau,453568,Charlie Blackmon,L,Joe Hudson,621529,0,5,6,True,2020-08-08,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
14,14,14,14,14,14,14,14,14,1159,1B,2B,Stolen Base 2B,596115,Trevor Story,666200,Jesús Luzardo,453568,Charlie Blackmon,L,Sean Murphy,669221,1,5,9,True,2020-07-29,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
15,15,15,15,15,15,15,15,15,1191,1B,,Caught Stealing 2B,596115,Trevor Story,446372,Corey Kluber,453568,Charlie Blackmon,R,Robinson Chirinos,455139,0,0,1,True,2020-07-26,Caught,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
16,16,16,16,16,16,16,16,16,1225,1B,2B,Stolen Base 2B,596115,Trevor Story,458681,Lance Lynn,571448,Nolan Arenado,R,Robinson Chirinos,455139,0,0,1,True,2020-07-24,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
17,17,17,17,17,17,17,17,17,2877,1B,2B,Stolen Base 2B,596115,Trevor Story,622492,Keury Mella,658069,Joshua Fuentes,R,Daulton Varsho,662139,3,7,7,True,2020-09-26,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
18,18,18,18,18,18,18,18,18,2935,1B,,Caught Stealing 2B,596115,Trevor Story,657277,Logan Webb,453568,Charlie Blackmon,R,Joey Bart,663698,0,1,3,True,2020-09-23,Caught,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
19,19,19,19,19,19,19,19,19,3149,1B,2B,Stolen Base 2B,596115,Trevor Story,642545,Jaime Barria,453568,Charlie Blackmon,R,Max Stassi,545358,1,0,3,False,2020-09-12,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
20,20,20,20,20,20,20,20,20,3245,2B,3B,Stolen Base 3B,596115,Trevor Story,605182,Mike Clevinger,453568,Charlie Blackmon,R,Jason Castro,488771,0,0,1,True,2020-09-08,Stolen,3B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
