,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,1B,2B,Stolen Base 2B,543281,Josh Harrison,502190,Mike Leake,474568,Jordy Mercer,R,Brayan Peña,430910,2,1,5,True,2016-07-05,Stolen,2B,2016,2017,27.6,2017,27.6,2017,27.6,2017,27.6
1,1,1,1,1B,2B,Stolen Base 2B,516782,Starling Marte,572096,Trevor Rosenthal,501896,David Freese,R,Brayan Peña,430910,2,5,8,True,2016-07-05,Stolen,2B,2016,2017,27.6,2017,27.6,2017,27.6,2017,27.6
2,2,2,2,2B,3B,Stolen Base 3B,593160,Whit Merrifield,502190,Mike Leake,434778,Kendrys Morales,R,Brayan Peña,430910,0,1,1,True,2016-06-30,Stolen,3B,2016,2017,27.6,2017,27.6,2017,27.6,2017,27.6
3,3,3,3,1B,2B,Stolen Base 2B,444876,Alcides Escobar,502190,Mike Leake,502481,Jarrod Dyson,R,Brayan Peña,430910,0,2,2,True,2016-06-30,Stolen,2B,2016,2017,27.6,2017,27.6,2017,27.6,2017,27.6
4,4,4,4,1B,2B,Stolen Base 2B,543281,Josh Harrison,502190,Mike Leake,474568,Jordy Mercer,R,Brayan Peña,430910,2,1,5,True,2016-07-05,Stolen,2B,2016,2017,27.6,2017,27.6,2017,27.6,2017,27.6
5,5,5,5,1B,2B,Stolen Base 2B,516782,Starling Marte,572096,Trevor Rosenthal,501896,David Freese,R,Brayan Peña,430910,2,5,8,True,2016-07-05,Stolen,2B,2016,2017,27.6,2017,27.6,2017,27.6,2017,27.6
6,6,6,6,2B,3B,Stolen Base 3B,593160,Whit Merrifield,502190,Mike Leake,434778,Kendrys Morales,R,Brayan Peña,430910,0,1,1,True,2016-06-30,Stolen,3B,2016,2017,27.6,2017,27.6,2017,27.6,2017,27.6
7,7,7,7,1B,2B,Stolen Base 2B,444876,Alcides Escobar,502190,Mike Leake,502481,Jarrod Dyson,R,Brayan Peña,430910,0,2,2,True,2016-06-30,Stolen,2B,2016,2017,27.6,2017,27.6,2017,27.6,2017,27.6
8,8,8,8,1B,2B,Stolen Base 2B,543281,Josh Harrison,502190,Mike Leake,474568,Jordy Mercer,R,Brayan Peña,430910,2,1,5,True,2016-07-05,Stolen,2B,2016,2017,27.6,2017,27.6,2017,27.6,2017,27.6
9,9,9,9,1B,2B,Stolen Base 2B,516782,Starling Marte,572096,Trevor Rosenthal,501896,David Freese,R,Brayan Peña,430910,2,5,8,True,2016-07-05,Stolen,2B,2016,2017,27.6,2017,27.6,2017,27.6,2017,27.6
10,10,10,10,2B,3B,Stolen Base 3B,593160,Whit Merrifield,502190,Mike Leake,434778,Kendrys Morales,R,Brayan Peña,430910,0,1,1,True,2016-06-30,Stolen,3B,2016,2017,27.6,2017,27.6,2017,27.6,2017,27.6
11,11,11,11,1B,2B,Stolen Base 2B,444876,Alcides Escobar,502190,Mike Leake,502481,Jarrod Dyson,R,Brayan Peña,430910,0,2,2,True,2016-06-30,Stolen,2B,2016,2017,27.6,2017,27.6,2017,27.6,2017,27.6
12,12,12,12,1B,2B,Stolen Base 2B,592178,Kris Bryant,543881,Pedro Villarreal,468406,Jonathan Herrera,R,Brayan Peña,430910,5,5,3,True,2015-07-22,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
13,13,13,13,1B,2B,Stolen Base 2B,592178,Kris Bryant,471822,Jumbo Díaz,458085,Chris Coghlan,R,Brayan Peña,430910,5,5,8,True,2015-07-22,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
14,14,14,14,1B,2B,Stolen Base 2B,451594,Dexter Fowler,547973,Aroldis Chapman,516770,Starlin Castro,L,Brayan Peña,430910,5,5,9,True,2015-07-22,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
15,15,15,15,2B,3B,Stolen Base 3B,519203,Anthony Rizzo,547973,Aroldis Chapman,460003,Taylor Teagarden,L,Brayan Peña,430910,5,6,9,True,2015-07-22,Stolen,3B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
16,16,16,16,1B,2B,Stolen Base 2B,451594,Dexter Fowler,518420,Dylan Axelrod,592178,Kris Bryant,R,Brayan Peña,430910,4,4,11,True,2015-07-21,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
17,17,17,17,1B,2B,Stolen Base 2B,543401,Jason Kipnis,502264,Nate Adcock,596019,Francisco Lindor,R,Brayan Peña,430910,1,6,7,True,2015-07-18,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
18,18,18,18,1B,2B,Stolen Base 2B,467793,Carlos Santana,502264,Nate Adcock,543228,Yan Gomes,R,Brayan Peña,430910,1,9,7,True,2015-07-18,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
19,19,19,19,1B,2B,Stolen Base 2B,592885,Christian Yelich,456501,Johnny Cueto,588751,Adeiny Hechavarría,R,Brayan Peña,430910,3,1,5,False,2015-07-12,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
20,20,20,20,1B,2B,Stolen Base 2B,400085,Ichiro Suzuki,458919,Ryan Mattheus,592885,Christian Yelich,R,Brayan Peña,430910,5,1,7,False,2015-07-12,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
21,21,21,21,1B,2B,Stolen Base 2B,435622,Ian Desmond,543101,Anthony DeSclafani,572191,Michael A. Taylor,R,Brayan Peña,430910,2,2,6,False,2015-07-06,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
22,22,22,22,1B,2B,Stolen Base 2B,467827,Gerardo Parra,595001,Josh A. Smith,452252,Adam Lind,R,Brayan Peña,430910,0,0,1,True,2015-07-04,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
23,23,23,23,1B,,Caught Stealing 2B,467827,Gerardo Parra,595001,Josh A. Smith,460075,Ryan Braun,R,Brayan Peña,430910,1,0,3,True,2015-07-04,Caught,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
24,24,24,24,1B,2B,Stolen Base 2B,516416,Jean Segura,595001,Josh A. Smith,571697,Scooter Gennett,R,Brayan Peña,430910,1,1,4,True,2015-07-04,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
25,25,25,25,1B,2B,Stolen Base 2B,460075,Ryan Braun,595001,Josh A. Smith,452252,Adam Lind,R,Brayan Peña,430910,1,2,5,True,2015-07-04,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
26,26,26,26,2B,3B,Stolen Base 3B,460075,Ryan Braun,595001,Josh A. Smith,452252,Adam Lind,R,Brayan Peña,430910,1,2,5,True,2015-07-04,Stolen,3B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
27,27,27,27,1B,2B,Stolen Base 2B,150212,Michael Cuddyer,543881,Pedro Villarreal,434158,Curtis Granderson,R,Brayan Peña,430910,7,2,8,False,2015-06-28,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
28,28,28,28,1B,2B,Stolen Base 2B,434158,Curtis Granderson,456501,Johnny Cueto,493472,Eric Campbell,R,Brayan Peña,430910,1,1,5,False,2015-06-26,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
29,29,29,29,1B,2B,Stolen Base 2B,543829,Dee Strange-Gordon,547179,Michael Lorenzen,518618,Derek Dietrich,R,Brayan Peña,430910,0,0,1,True,2015-06-21,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
30,30,30,30,2B,3B,Stolen Base 3B,543829,Dee Strange-Gordon,448159,Manny Parra,518618,Derek Dietrich,L,Brayan Peña,430910,0,5,7,True,2015-06-20,Stolen,3B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
31,31,31,31,1B,2B,Stolen Base 2B,578428,Jose Iglesias,518764,Donovan Hand,592407,Bryan Holaday,R,Brayan Peña,430910,4,4,12,True,2015-06-17,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
32,32,32,32,1B,2B,Stolen Base 2B,514917,César Hernández,621209,Jon Moscot,519237,Cameron Rupp,R,Brayan Peña,430910,4,2,4,True,2015-06-10,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
33,33,33,33,1B,2B,Stolen Base 2B,546318,Odúbel Herrera,543101,Anthony DeSclafani,429667,Ryan Howard,R,Brayan Peña,430910,0,0,1,True,2015-06-09,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
34,34,34,34,2B,3B,Stolen Base 3B,519184,Ben Revere,571561,Tony Cingrani,429667,Ryan Howard,L,Brayan Peña,430910,4,6,8,False,2015-06-04,Stolen,3B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
35,35,35,35,1B,2B,Stolen Base 2B,453568,Charlie Blackmon,150302,Jason Marquis,518934,DJ LeMahieu,R,Brayan Peña,430910,0,0,1,True,2015-05-25,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
36,36,36,36,1B,2B,Stolen Base 2B,518934,DJ LeMahieu,150302,Jason Marquis,571448,Nolan Arenado,R,Brayan Peña,430910,2,3,2,True,2015-05-25,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
37,37,37,37,1B,,Caught Stealing 2B,460026,Nick Hundley,150302,Jason Marquis,518614,Daniel Descalso,R,Brayan Peña,430910,3,4,5,True,2015-05-25,Caught,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
38,38,38,38,1B,2B,Stolen Base 2B,453568,Charlie Blackmon,150302,Jason Marquis,518934,DJ LeMahieu,R,Brayan Peña,430910,3,4,6,True,2015-05-25,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
39,39,39,39,2B,3B,Stolen Base 3B,453568,Charlie Blackmon,458919,Ryan Mattheus,571448,Nolan Arenado,R,Brayan Peña,430910,3,4,6,True,2015-05-25,Stolen,3B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
40,40,40,40,1B,2B,Stolen Base 2B,488726,Michael Brantley,488674,Burke Badenhop,461235,Brandon Moss,R,Brayan Peña,430910,4,0,6,False,2015-05-24,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
41,41,41,41,1B,2B,Stolen Base 2B,493114,Norichika Aoki,543101,Anthony DeSclafani,605412,Joe Panik,R,Brayan Peña,430910,0,4,2,True,2015-05-17,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
42,42,42,42,3B,,Caught Stealing Home,605412,Joe Panik,456501,Johnny Cueto,474832,Brandon Belt,R,Brayan Peña,430910,0,1,1,True,2015-05-14,Caught,Home,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
43,43,43,43,1B,2B,Stolen Base 2B,607054,Jace Peterson,543101,Anthony DeSclafani,458913,Eric Young Jr.,R,Brayan Peña,430910,2,3,6,True,2015-05-12,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
44,44,44,44,1B,2B,Stolen Base 2B,543776,JB Shuck,571561,Tony Cingrani,466320,Melky Cabrera,L,Brayan Peña,430910,1,1,6,False,2015-05-10,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
45,45,45,45,1B,2B,Stolen Base 2B,435522,Neil Walker,543101,Anthony DeSclafani,457705,Andrew McCutchen,R,Brayan Peña,430910,1,0,1,False,2015-05-07,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
46,46,46,46,2B,3B,Stolen Base 3B,457705,Andrew McCutchen,543101,Anthony DeSclafani,543281,Josh Harrison,R,Brayan Peña,430910,1,0,1,False,2015-05-07,Stolen,3B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
47,47,47,47,1B,,Caught Stealing 2B,570256,Gregory Polanco,543101,Anthony DeSclafani,435522,Neil Walker,R,Brayan Peña,430910,1,0,3,False,2015-05-07,Caught,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
48,48,48,48,1B,2B,Stolen Base 2B,570256,Gregory Polanco,542266,Carlos Contreras,457705,Andrew McCutchen,R,Brayan Peña,430910,7,2,8,False,2015-05-07,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
49,49,49,49,1B,2B,Stolen Base 2B,518692,Freddie Freeman,543101,Anthony DeSclafani,150229,A.J. Pierzynski,R,Brayan Peña,430910,2,3,5,False,2015-05-01,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
50,50,50,50,1B,2B,Stolen Base 2B,519203,Anthony Rizzo,543101,Anthony DeSclafani,592178,Kris Bryant,R,Brayan Peña,430910,0,1,4,True,2015-04-26,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
51,51,51,51,1B,2B,Stolen Base 2B,592178,Kris Bryant,543881,Pedro Villarreal,468406,Jonathan Herrera,R,Brayan Peña,430910,5,5,3,True,2015-04-25,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
52,52,52,52,1B,2B,Stolen Base 2B,592178,Kris Bryant,471822,Jumbo Díaz,458085,Chris Coghlan,R,Brayan Peña,430910,5,5,8,True,2015-04-25,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
53,53,53,53,1B,2B,Stolen Base 2B,451594,Dexter Fowler,547973,Aroldis Chapman,516770,Starlin Castro,L,Brayan Peña,430910,5,5,9,True,2015-04-25,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
54,54,54,54,2B,3B,Stolen Base 3B,519203,Anthony Rizzo,547973,Aroldis Chapman,460003,Taylor Teagarden,L,Brayan Peña,430910,5,6,9,True,2015-04-25,Stolen,3B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
55,55,55,55,2B,3B,Stolen Base 3B,519203,Anthony Rizzo,547973,Aroldis Chapman,516770,Starlin Castro,L,Brayan Peña,430910,3,3,9,True,2015-04-24,Stolen,3B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
56,56,56,56,1B,2B,Stolen Base 2B,592178,Kris Bryant,547973,Aroldis Chapman,516770,Starlin Castro,L,Brayan Peña,430910,3,3,9,True,2015-04-24,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
57,57,57,57,1B,2B,Stolen Base 2B,488721,Peter Bourjos,456701,Homer Bailey,571431,Matt Adams,R,Brayan Peña,430910,3,1,5,False,2015-04-18,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
58,58,58,58,1B,,Caught Stealing 2B,458085,Chris Coghlan,150302,Jason Marquis,516770,Starlin Castro,R,Brayan Peña,430910,2,0,1,False,2015-04-15,Caught,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
59,59,59,59,1B,2B,Stolen Base 2B,468406,Jonathan Herrera,150302,Jason Marquis,451594,Dexter Fowler,R,Brayan Peña,430910,3,0,2,False,2015-04-15,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
60,60,60,60,1B,2B,Stolen Base 2B,451594,Dexter Fowler,543101,Anthony DeSclafani,624585,Jorge Soler,R,Brayan Peña,430910,0,3,6,False,2015-04-14,Stolen,2B,2015,2016,27.9,2016,27.9,2016,27.9,2016,27.9
