,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,437,1B,,Caught Stealing 2B,572041,AJ Pollock,571710,Mychal Givens,621035,Chris Taylor,R,Elias Díaz,553869,6,7,8,False,2020-09-06,Caught,2B,2020,2021,27.7,2021,27.7,2021,27.7,2021,27.7
1,1,1,1,851,1B,2B,Stolen Base 2B,572041,AJ Pollock,621142,Ty Buttrey,641355,Cody Bellinger,R,Max Stassi,545358,5,5,9,True,2020-08-15,Stolen,2B,2020,2021,27.7,2021,27.7,2021,27.7,2021,27.7
2,2,2,2,874,1B,2B,Stolen Base 2B,572041,AJ Pollock,663776,Patrick Sandoval,641355,Cody Bellinger,L,Max Stassi,545358,0,0,1,True,2020-08-14,Stolen,2B,2020,2021,27.7,2021,27.7,2021,27.7,2021,27.7
3,3,3,3,889,2B,,Caught Stealing 3B,572041,AJ Pollock,663978,Chris Paddack,571970,Max Muncy,R,Austin Hedges,595978,6,2,3,False,2020-08-13,Caught,3B,2020,2021,27.7,2021,27.7,2021,27.7,2021,27.7
4,4,4,4,3280,1B,,Caught Stealing 2B,572041,AJ Pollock,571710,Mychal Givens,621035,Chris Taylor,R,Elias Díaz,553869,6,7,8,False,2020-09-06,Caught,2B,2020,2021,27.7,2021,27.7,2021,27.7,2021,27.7
5,5,5,5,3694,1B,2B,Stolen Base 2B,572041,AJ Pollock,621142,Ty Buttrey,641355,Cody Bellinger,R,Max Stassi,545358,5,5,9,True,2020-08-15,Stolen,2B,2020,2021,27.7,2021,27.7,2021,27.7,2021,27.7
6,6,6,6,3717,1B,2B,Stolen Base 2B,572041,AJ Pollock,663776,Patrick Sandoval,641355,Cody Bellinger,L,Max Stassi,545358,0,0,1,True,2020-08-14,Stolen,2B,2020,2021,27.7,2021,27.7,2021,27.7,2021,27.7
7,7,7,7,3732,2B,,Caught Stealing 3B,572041,AJ Pollock,663978,Chris Paddack,571970,Max Muncy,R,Austin Hedges,595978,6,2,3,False,2020-08-13,Caught,3B,2020,2021,27.7,2021,27.7,2021,27.7,2021,27.7
8,8,8,8,5204,1B,,Caught Stealing 2B,572041,AJ Pollock,571710,Mychal Givens,621035,Chris Taylor,R,Elias Díaz,553869,6,7,8,False,2020-09-06,Caught,2B,2020,2021,27.7,2021,27.7,2021,27.7,2021,27.7
9,9,9,9,5618,1B,2B,Stolen Base 2B,572041,AJ Pollock,621142,Ty Buttrey,641355,Cody Bellinger,R,Max Stassi,545358,5,5,9,True,2020-08-15,Stolen,2B,2020,2021,27.7,2021,27.7,2021,27.7,2021,27.7
10,10,10,10,5641,1B,2B,Stolen Base 2B,572041,AJ Pollock,663776,Patrick Sandoval,641355,Cody Bellinger,L,Max Stassi,545358,0,0,1,True,2020-08-14,Stolen,2B,2020,2021,27.7,2021,27.7,2021,27.7,2021,27.7
11,11,11,11,5656,2B,,Caught Stealing 3B,572041,AJ Pollock,663978,Chris Paddack,571970,Max Muncy,R,Austin Hedges,595978,6,2,3,False,2020-08-13,Caught,3B,2020,2021,27.7,2021,27.7,2021,27.7,2021,27.7
12,12,12,12,1446,1B,2B,Stolen Base 2B,572041,AJ Pollock,475054,Chaz Roe,621035,Chris Taylor,R,Travis d'Arnaud,518595,3,4,6,False,2019-09-18,Stolen,2B,2019,2020,28.2,2020,28.2,2020,28.2,2020,28.2
