,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year,Sprint
0,0,0,1B,2B,Stolen Base 2B,542340,Jonathan Villar,593576,Héctor Neris,543768,Travis Shaw,R,Rafael Marchán,665561,8,7,7,True,2020-09-18,Stolen,2B,2020,2021,27.3,2021,27.3,2021,27.3
1,1,1,1B,,Caught Stealing 2B,643565,Mike Tauchman,665759,Ramón Rosso,640449,Clint Frazier,R,Rafael Marchán,665561,1,2,8,False,2020-07-20,Caught,2B,2020,2021,27.3,2021,27.3,2021,27.3
2,2,2,1B,2B,Stolen Base 2B,542340,Jonathan Villar,593576,Héctor Neris,543768,Travis Shaw,R,Rafael Marchán,665561,8,7,7,True,2020-09-18,Stolen,2B,2020,2021,27.3,2021,27.3,2021,27.3
3,3,3,1B,,Caught Stealing 2B,643565,Mike Tauchman,665759,Ramón Rosso,640449,Clint Frazier,R,Rafael Marchán,665561,1,2,8,False,2020-07-20,Caught,2B,2020,2021,27.3,2021,27.3,2021,27.3
4,4,4,1B,2B,Stolen Base 2B,542340,Jonathan Villar,593576,Héctor Neris,543768,Travis Shaw,R,Rafael Marchán,665561,8,7,7,True,2020-09-18,Stolen,2B,2020,2021,27.3,2021,27.3,2021,27.3
5,5,5,1B,,Caught Stealing 2B,643565,Mike Tauchman,665759,Ramón Rosso,640449,Clint Frazier,R,Rafael Marchán,665561,1,2,8,False,2020-07-20,Caught,2B,2020,2021,27.3,2021,27.3,2021,27.3
6,6,6,1B,,Caught Stealing 2B,621446,Lewis Brinson,502043,Kyle Gibson,605412,Joe Panik,R,Rafael Marchán,665561,3,2,4,False,2021-09-03,Caught,2B,2021,2022,26.8,2022,26.8,2022,26.8
7,7,7,1B,2B,Stolen Base 2B,665742,Juan Soto,656322,Sam Coonrod,605137,Josh Bell,R,Rafael Marchán,665561,6,3,7,False,2021-09-02,Stolen,2B,2021,2022,26.8,2022,26.8,2022,26.8
8,8,8,1B,2B,Stolen Base 2B,665742,Juan Soto,656322,Sam Coonrod,605137,Josh Bell,R,Rafael Marchán,665561,6,3,7,False,2021-09-01,Stolen,2B,2021,2022,26.8,2022,26.8,2022,26.8
9,9,9,1B,,Caught Stealing 2B,665742,Juan Soto,593576,Héctor Neris,543281,Josh Harrison,R,Rafael Marchán,665561,4,7,6,True,2021-07-29,Caught,2B,2021,2022,26.8,2022,26.8,2022,26.8
