,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year,Sprint
0,0,0,0,0,2258,1B,,Caught Stealing 2B,593934,Miguel Sanó,668678,Zac Gallen,650333,Luis Arraez,R,Jorge Alfaro,595751,0,0,2,True,2019-07-30,Caught,2B,2019,2020,26.4,2020,26.4,2020,26.4,2020,26.4,2020,26.4
1,1,1,1,1,5101,1B,,Caught Stealing 2B,593934,Miguel Sanó,668678,Zac Gallen,650333,Luis Arraez,R,Jorge Alfaro,595751,0,0,2,True,2019-07-30,Caught,2B,2019,2020,26.4,2020,26.4,2020,26.4,2020,26.4,2020,26.4
2,2,2,2,2,7025,1B,,Caught Stealing 2B,593934,Miguel Sanó,668678,Zac Gallen,650333,Luis Arraez,R,Jorge Alfaro,595751,0,0,2,True,2019-07-30,Caught,2B,2019,2020,26.4,2020,26.4,2020,26.4,2020,26.4,2020,26.4
3,3,3,3,3,482,1B,2B,Stolen Base 2B,593934,Miguel Sanó,605200,Zach Davies,666163,Ben Rortvedt,R,Robinson Chirinos,455139,1,2,2,False,2021-08-31,Stolen,2B,2021,2022,26.7,2022,26.7,2022,26.7,2022,26.7,2022,26.7
4,4,4,4,4,1028,1B,,Caught Stealing 2B,593934,Miguel Sanó,666159,Matt Manning,595909,Jake Cave,R,Eric Haase,606992,2,0,4,False,2021-07-26,Caught,2B,2021,2022,26.7,2022,26.7,2022,26.7,2022,26.7,2022,26.7
5,5,5,5,5,1088,2B,3B,Stolen Base 3B,593934,Miguel Sanó,571760,Andrew Heaney,663616,Trevor Larnach,L,Max Stassi,545358,0,0,4,False,2021-07-22,Stolen,3B,2021,2022,26.7,2022,26.7,2022,26.7,2022,26.7,2022,26.7
6,6,6,6,6,2406,1B,2B,Stolen Base 2B,593934,Miguel Sanó,605200,Zach Davies,666163,Ben Rortvedt,R,Robinson Chirinos,455139,1,2,2,False,2021-08-31,Stolen,2B,2021,2022,26.7,2022,26.7,2022,26.7,2022,26.7,2022,26.7
7,7,7,7,7,2952,1B,,Caught Stealing 2B,593934,Miguel Sanó,666159,Matt Manning,595909,Jake Cave,R,Eric Haase,606992,2,0,4,False,2021-07-26,Caught,2B,2021,2022,26.7,2022,26.7,2022,26.7,2022,26.7,2022,26.7
8,8,8,8,8,3012,2B,3B,Stolen Base 3B,593934,Miguel Sanó,571760,Andrew Heaney,663616,Trevor Larnach,L,Max Stassi,545358,0,0,4,False,2021-07-22,Stolen,3B,2021,2022,26.7,2022,26.7,2022,26.7,2022,26.7,2022,26.7
9,9,9,9,9,1716,1B,2B,Stolen Base 2B,593934,Miguel Sanó,570488,Phillips Valdez,650333,Luis Arraez,R,Christian Vázquez,543877,1,4,4,True,2022-04-15,Stolen,2B,2022,2024,25.8,2024,25.8,2024,25.8,2024,25.8,2024,25.8
10,10,10,10,10,6673,1B,2B,Stolen Base 2B,593934,Miguel Sanó,488984,Tommy Hunter,461858,Trevor Plouffe,R,Yan Gomes,543228,1,4,7,True,2016-05-14,Stolen,2B,2016,2017,26.9,2017,26.9,2017,26.9,2017,26.9,2017,26.9
11,11,11,11,11,2638,1B,2B,Stolen Base 2B,593934,Miguel Sanó,488984,Tommy Hunter,461858,Trevor Plouffe,R,Yan Gomes,543228,1,4,7,True,2016-05-14,Stolen,2B,2016,2017,26.9,2017,26.9,2017,26.9,2017,26.9,2017,26.9
12,12,12,12,12,6045,1B,2B,Stolen Base 2B,593934,Miguel Sanó,488984,Tommy Hunter,461858,Trevor Plouffe,R,Yan Gomes,543228,1,4,7,True,2016-05-14,Stolen,2B,2016,2017,26.9,2017,26.9,2017,26.9,2017,26.9,2017,26.9
13,13,13,13,13,243,1B,,Caught Stealing 2B,593934,Miguel Sanó,475054,Chaz Roe,116338,Torii Hunter,R,Caleb Joseph,543376,3,1,7,False,2015-07-08,Caught,2B,2015,2016,27.8,2016,27.8,2016,27.8,2016,27.8,2016,27.8
