,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
3179,1B,2B,Stolen Base 2B,621563,Joey Wendle,680686,Josiah Gray,643265,Garrett Cooper,R,Keibert Ruiz,660688,2,0,5,False,2023-05-16,Stolen,2B
266,1B,2B,Stolen Base 2B,621563,Joey Wendle,605218,Carl Edwards Jr.,571740,Billy Hamilton,R,Keibert Ruiz,660688,4,7,10,True,2022-07-03,Stolen,2B
1476,2B,3B,Stolen Base 3B,621563,Joey Wendle,644364,Víctor Arano,542932,Jon Berti,R,Riley Adams,656180,1,3,7,True,2022-04-28,Stolen,3B
1508,1B,2B,Stolen Base 2B,621563,Joey Wendle,600921,Andrés Machado,605119,Brian Anderson,R,Keibert Ruiz,660688,1,4,8,True,2022-04-26,Stolen,2B
1548,1B,2B,Stolen Base 2B,621563,Joey Wendle,543521,Collin McHugh,542932,Jon Berti,R,Travis d'Arnaud,518595,5,3,6,True,2022-04-23,Stolen,2B
1713,1B,2B,Stolen Base 2B,621563,Joey Wendle,656793,Nick Nelson,607732,Jacob Stallings,R,Garrett Stubbs,596117,6,0,5,False,2022-04-15,Stolen,2B
2251,1B,2B,Stolen Base 2B,621563,Joey Wendle,608335,Kyle Funkhouser,443558,Nelson Cruz,R,Eric Haase,606992,0,1,5,True,2021-09-10,Stolen,2B
2326,1B,,Caught Stealing 2B,621563,Joey Wendle,608648,Tyler Duffey,650490,Yandy Díaz,R,Ryan Jeffers,680777,5,5,8,False,2021-09-05,Caught,2B
3197,1B,2B,Stolen Base 2B,621563,Joey Wendle,606930,Jacob Barnes,595281,Kevin Kiermaier,R,Danny Jansen,643376,5,1,7,False,2021-07-09,Stolen,2B
3562,1B,,Caught Stealing 2B,621563,Joey Wendle,608638,JT Chargois,670764,Taylor Walls,R,Tom Murphy,608596,1,2,4,True,2021-06-17,Caught,2B
3564,1B,2B,Stolen Base 2B,621563,Joey Wendle,623149,Paul Sewald,670764,Taylor Walls,R,Tom Murphy,608596,4,5,8,True,2021-06-17,Stolen,2B
