,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
39,39,39,39,39,39,39,39,1B,2B,Stolen Base 2B,592518,Manny Machado,425844,Zack Greinke,543333,Eric Hosmer,R,Martín Maldonado,455117,0,3,1,False,2020-08-23,Stolen,2B,2020,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9
40,40,40,40,40,40,40,40,1B,,Caught Stealing 2B,664238,Dylan Moore,621121,Lance McCullers Jr.,641786,Kyle Lewis,R,Martín Maldonado,455117,0,0,1,True,2020-08-16,Caught,2B,2020,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9
41,41,41,41,41,41,41,41,1B,2B,Stolen Base 2B,657108,Evan White,621121,Lance McCullers Jr.,641929,Joseph Odom,R,Martín Maldonado,455117,1,1,3,True,2020-08-16,Stolen,2B,2020,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9
42,42,42,42,42,42,42,42,1B,,Caught Stealing 2B,657108,Evan White,668687,Andre Scrubb,543592,Austin Nola,R,Martín Maldonado,455117,2,2,7,True,2020-08-16,Caught,2B,2020,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9
43,43,43,43,43,43,43,43,1B,,Caught Stealing 2B,664238,Dylan Moore,664299,Cristian Javier,641786,Kyle Lewis,R,Martín Maldonado,455117,1,0,4,True,2020-08-15,Caught,2B,2020,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9
44,44,44,44,44,44,44,44,1B,2B,Stolen Base 2B,596103,Austin Slater,621121,Lance McCullers Jr.,643289,Mauricio Dubón,R,Martín Maldonado,455117,1,0,3,True,2020-08-10,Stolen,2B,2020,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9
45,45,45,45,45,45,45,45,1B,,Caught Stealing 2B,516782,Starling Marte,669064,Brandon Bailey,500871,Eduardo Escobar,R,Martín Maldonado,455117,11,6,6,False,2020-08-05,Caught,2B,2020,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9
46,46,46,46,46,46,46,46,1B,2B,Stolen Base 2B,621005,Tim Lopes,606965,Chris Devenski,543592,Austin Nola,R,Martín Maldonado,455117,5,4,8,True,2020-07-26,Stolen,2B,2020,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9
47,47,47,47,47,47,47,47,1B,2B,Stolen Base 2B,643418,Shed Long Jr.,606965,Chris Devenski,641786,Kyle Lewis,R,Martín Maldonado,455117,5,7,8,True,2020-07-26,Stolen,2B,2020,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9,2021,29.9
48,48,48,48,48,48,48,48,1B,2B,Stolen Base 2B,542454,Danny Santana,543037,Gerrit Cole,669256,Nick Solak,R,Martín Maldonado,455117,2,1,7,True,2019-09-18,Stolen,2B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
49,49,49,49,49,49,49,49,1B,2B,Stolen Base 2B,543760,Marcus Semien,444468,Héctor Rondón,656305,Matt Chapman,R,Martín Maldonado,455117,3,5,7,True,2019-09-11,Stolen,2B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
50,50,50,50,50,50,50,50,2B,3B,Stolen Base 3B,605480,Mallex Smith,664285,Framber Valdez,572122,Kyle Seager,L,Martín Maldonado,455117,0,0,1,True,2019-09-06,Stolen,3B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
51,51,51,51,51,51,51,51,1B,2B,Stolen Base 2B,621005,Tim Lopes,664285,Framber Valdez,643418,Shed Long Jr.,L,Martín Maldonado,455117,3,2,4,True,2019-09-06,Stolen,2B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
52,52,52,52,52,52,52,52,1B,2B,Stolen Base 2B,664238,Dylan Moore,664285,Framber Valdez,605480,Mallex Smith,L,Martín Maldonado,455117,3,3,4,True,2019-09-06,Stolen,2B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
53,53,53,53,53,53,53,53,1B,2B,Stolen Base 2B,543829,Dee Strange-Gordon,489119,Wade Miley,543592,Austin Nola,L,Martín Maldonado,455117,0,2,1,True,2019-09-05,Stolen,2B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
54,54,54,54,54,54,54,54,1B,2B,Stolen Base 2B,664238,Dylan Moore,501925,Joe Smith,543592,Austin Nola,R,Martín Maldonado,455117,8,8,9,True,2019-09-05,Stolen,2B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
55,55,55,55,55,55,55,55,1B,2B,Stolen Base 2B,666182,Bo Bichette,501925,Joe Smith,624415,Cavan Biggio,R,Martín Maldonado,455117,6,3,6,False,2019-08-31,Stolen,2B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
56,56,56,56,56,56,56,56,1B,2B,Stolen Base 2B,605480,Mallex Smith,592717,Aaron Sanchez,572122,Kyle Seager,R,Martín Maldonado,455117,4,0,6,True,2019-08-03,Stolen,2B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
57,57,57,57,57,57,57,57,1B,2B,Stolen Base 2B,624577,Yasiel Puig,543037,Gerrit Cole,543401,Jason Kipnis,R,Martín Maldonado,455117,1,4,7,False,2019-08-01,Stolen,2B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
58,58,58,58,58,58,58,58,1B,2B,Stolen Base 2B,547179,Michael Lorenzen,518886,Craig Kimbrel,571657,Kyle Farmer,R,Martín Maldonado,455117,3,3,9,True,2019-07-16,Stolen,2B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
59,59,59,59,59,59,59,59,1B,,Caught Stealing 2B,641343,Jake Bauers,657612,Tim Hill,571980,Tyler Naquin,L,Martín Maldonado,455117,0,4,8,True,2019-07-03,Caught,2B,2019,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9,2020,29.9
