,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year,Sprint
0,0,0,2B,3B,Stolen Base 3B,594824,Greg Garcia,596271,Casey Lawrence,572039,Stephen Piscotty,R,Jarrod Saltalamacchia,457454,2,0,1,False,2017-04-27,Stolen,3B,2017,2018,27.3,2018,27.3,2018,27.3
1,1,1,1B,2B,Stolen Base 2B,572039,Stephen Piscotty,596271,Casey Lawrence,545341,Randal Grichuk,R,Jarrod Saltalamacchia,457454,4,0,3,False,2017-04-27,Stolen,2B,2017,2018,27.3,2018,27.3,2018,27.3
2,2,2,2B,3B,Stolen Base 3B,594824,Greg Garcia,596271,Casey Lawrence,572039,Stephen Piscotty,R,Jarrod Saltalamacchia,457454,2,0,1,False,2017-04-26,Stolen,3B,2017,2018,27.3,2018,27.3,2018,27.3
3,3,3,1B,2B,Stolen Base 2B,572039,Stephen Piscotty,596271,Casey Lawrence,545341,Randal Grichuk,R,Jarrod Saltalamacchia,457454,4,0,3,False,2017-04-26,Stolen,2B,2017,2018,27.3,2018,27.3,2018,27.3
4,4,4,1B,2B,Stolen Base 2B,457727,Cameron Maybin,596271,Casey Lawrence,457787,Danny Espinosa,R,Jarrod Saltalamacchia,457454,1,1,2,False,2017-04-22,Stolen,2B,2017,2018,27.3,2018,27.3,2018,27.3
5,5,5,1B,2B,Stolen Base 2B,643217,Andrew Benintendi,462136,Marco Estrada,434670,Hanley Ramirez,R,Jarrod Saltalamacchia,457454,0,0,1,True,2017-04-20,Stolen,2B,2017,2018,27.3,2018,27.3,2018,27.3
6,6,6,1B,2B,Stolen Base 2B,605141,Mookie Betts,462136,Marco Estrada,519048,Mitch Moreland,R,Jarrod Saltalamacchia,457454,0,0,6,True,2017-04-20,Stolen,2B,2017,2018,27.3,2018,27.3,2018,27.3
7,7,7,2B,3B,Stolen Base 3B,605141,Mookie Betts,462136,Marco Estrada,519048,Mitch Moreland,R,Jarrod Saltalamacchia,457454,0,0,6,True,2017-04-20,Stolen,3B,2017,2018,27.3,2018,27.3,2018,27.3
8,8,8,1B,2B,Stolen Base 2B,502226,Craig Gentry,532077,Roberto Osuna,547957,Hyun Soo Kim,R,Jarrod Saltalamacchia,457454,1,0,9,True,2017-04-15,Stolen,2B,2017,2018,27.3,2018,27.3,2018,27.3
9,9,9,1B,2B,Stolen Base 2B,488721,Peter Bourjos,571901,Aaron Loup,519306,Steven Souza Jr.,L,Jarrod Saltalamacchia,457454,9,7,7,False,2017-04-07,Stolen,2B,2017,2018,27.3,2018,27.3,2018,27.3
10,10,10,2B,3B,Stolen Base 3B,595281,Kevin Kiermaier,571901,Aaron Loup,519083,Derek Norris,L,Jarrod Saltalamacchia,457454,10,8,8,False,2017-04-07,Stolen,3B,2017,2018,27.3,2018,27.3,2018,27.3
11,11,11,2B,3B,Stolen Base 3B,594824,Greg Garcia,596271,Casey Lawrence,572039,Stephen Piscotty,R,Jarrod Saltalamacchia,457454,2,0,1,False,2017-04-27,Stolen,3B,2017,2018,27.3,2018,27.3,2018,27.3
12,12,12,1B,2B,Stolen Base 2B,572039,Stephen Piscotty,596271,Casey Lawrence,545341,Randal Grichuk,R,Jarrod Saltalamacchia,457454,4,0,3,False,2017-04-27,Stolen,2B,2017,2018,27.3,2018,27.3,2018,27.3
