,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,0,0,0,0,1B,2B,Stolen Base 2B,607680,Kevin Pillar,607200,Erick Fedde,642086,Dominic Smith,R,Tres Barrera,668663,5,3,6,False,2021-08-29,Stolen,2B,2021,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1
1,1,1,1,1,1,1,1,1B,2B,Stolen Base 2B,607043,Brandon Nimmo,641851,Kyle McGowin,596019,Francisco Lindor,R,Tres Barrera,668663,7,3,6,False,2021-08-29,Stolen,2B,2021,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1
2,2,2,2,2,2,2,2,1B,2B,Stolen Base 2B,621446,Lewis Brinson,571578,Patrick Corbin,660821,Jesús Sánchez,L,Tres Barrera,668663,0,0,1,False,2021-08-26,Stolen,2B,2021,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1
3,3,3,3,3,3,3,3,1B,2B,Stolen Base 2B,642423,Magneuris Sierra,666168,Mason Thompson,605119,Brian Anderson,R,Tres Barrera,668663,7,2,5,False,2021-08-26,Stolen,2B,2021,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1
4,4,4,4,4,4,4,4,1B,2B,Stolen Base 2B,650559,Bryan De La Cruz,641907,Patrick Murphy,500743,Miguel Rojas,R,Tres Barrera,668663,7,3,6,False,2021-08-26,Stolen,2B,2021,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1
5,5,5,5,5,5,5,5,1B,2B,Stolen Base 2B,665862,Jazz Chisholm Jr.,607200,Erick Fedde,621446,Lewis Brinson,R,Tres Barrera,668663,0,0,1,False,2021-08-24,Stolen,2B,2021,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1
6,6,6,6,6,6,6,6,1B,2B,Stolen Base 2B,665862,Jazz Chisholm Jr.,607200,Erick Fedde,621446,Lewis Brinson,R,Tres Barrera,668663,0,0,3,False,2021-08-24,Stolen,2B,2021,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1
7,7,7,7,7,7,7,7,1B,2B,Stolen Base 2B,592885,Christian Yelich,656620,Gabe Klobosits,553882,Omar Narváez,R,Tres Barrera,668663,3,3,5,False,2021-08-21,Stolen,2B,2021,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1
8,8,8,8,8,8,8,8,1B,2B,Stolen Base 2B,518692,Freddie Freeman,571578,Patrick Corbin,621020,Dansby Swanson,L,Tres Barrera,668663,1,6,5,True,2021-08-14,Stolen,2B,2021,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1
9,9,9,9,9,9,9,9,1B,2B,Stolen Base 2B,542364,Rafael Ortega,605452,Joe Ross,664023,Ian Happ,R,Tres Barrera,668663,0,0,1,True,2021-07-31,Stolen,2B,2021,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1,2022,27.1
