,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year,Sprint
0,0,0,4435,1B,2B,Stolen Base 2B,493114,Norichika Aoki,593417,Raúl Alcántara,452234,Seth Smith,R,Stephen Vogt,519390,2,2,3,True,2016-09-11,Stolen,2B,2016,2017,27.2,2017,27.2,2017,27.2
1,1,1,4896,1B,,Caught Stealing 2B,493114,Norichika Aoki,519085,Brett Oberholtzer,429711,Franklin Gutierrez,L,Jett Bandy,542908,5,6,8,True,2016-08-16,Caught,2B,2016,2017,27.2,2017,27.2,2017,27.2
2,2,2,5139,1B,2B,Stolen Base 2B,493114,Norichika Aoki,453311,Tim Lincecum,452234,Seth Smith,R,Jett Bandy,542908,0,3,1,False,2016-08-05,Stolen,2B,2016,2017,27.2,2017,27.2,2017,27.2
3,3,3,5140,1B,2B,Stolen Base 2B,493114,Norichika Aoki,477569,Fernando Salas,628338,Guillermo Heredia,R,Jett Bandy,542908,6,4,8,False,2016-08-05,Stolen,2B,2016,2017,27.2,2017,27.2,2017,27.2
4,4,4,6188,1B,2B,Stolen Base 2B,493114,Norichika Aoki,471911,Carlos Carrasco,452234,Seth Smith,R,Chris Gimenez,460269,2,0,3,False,2016-06-08,Stolen,2B,2016,2017,27.2,2017,27.2,2017,27.2
5,5,5,6303,1B,2B,Stolen Base 2B,493114,Norichika Aoki,407819,Matt Thornton,429711,Franklin Gutierrez,L,Derek Norris,519083,12,16,7,True,2016-06-02,Stolen,2B,2016,2017,27.2,2017,27.2,2017,27.2
6,6,6,6457,1B,,Caught Stealing 2B,493114,Norichika Aoki,608665,Kendall Graveman,547982,Leonys Martin,R,Stephen Vogt,519390,1,0,2,False,2016-05-24,Caught,2B,2016,2017,27.2,2017,27.2,2017,27.2
7,7,7,6724,1B,,Caught Stealing 2B,493114,Norichika Aoki,517008,Alex Colomé,606466,Ketel Marte,R,Curt Casali,592200,5,4,8,False,2016-05-11,Caught,2B,2016,2017,27.2,2017,27.2,2017,27.2
8,8,8,6838,1B,,Caught Stealing 2B,493114,Norichika Aoki,606965,Chris Devenski,452234,Seth Smith,R,Jason Castro,488771,0,0,1,True,2016-05-05,Caught,2B,2016,2017,27.2,2017,27.2,2017,27.2
9,9,9,6872,2B,3B,Stolen Base 3B,493114,Norichika Aoki,519240,Marc Rzepczynski,452234,Seth Smith,L,Stephen Vogt,519390,1,4,7,True,2016-05-02,Stolen,3B,2016,2017,27.2,2017,27.2,2017,27.2
10,10,10,6938,1B,,Caught Stealing 2B,493114,Norichika Aoki,460024,Luke Hochevar,452234,Seth Smith,R,Salvador Perez,521692,1,0,8,False,2016-04-29,Caught,2B,2016,2017,27.2,2017,27.2,2017,27.2
11,11,11,7042,1B,2B,Stolen Base 2B,493114,Norichika Aoki,474284,Cory Rasmus,452234,Seth Smith,R,Geovany Soto,434567,4,9,9,True,2016-04-24,Stolen,2B,2016,2017,27.2,2017,27.2,2017,27.2
12,12,12,7306,1B,,Caught Stealing 2B,493114,Norichika Aoki,407890,Colby Lewis,572122,Kyle Seager,R,Brett Nicholas,592592,0,0,1,False,2016-04-11,Caught,2B,2016,2017,27.2,2017,27.2,2017,27.2
