,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year,Sprint
0,0,0,6,1B,,Caught Stealing 2B,668227,Randy Arozarena,542914,Anthony Bass,664040,Brandon Lowe,R,Danny Jansen,643376,8,2,6,False,2020-09-30,Caught,2B,2020,2021,28.7,2021,28.7,2021,28.7
1,1,1,71,1B,2B,Stolen Base 2B,668227,Randy Arozarena,592826,Vince Velasquez,642715,Willy Adames,R,Andrew Knapp,595284,1,3,3,False,2020-09-25,Stolen,2B,2020,2021,28.7,2021,28.7,2021,28.7
2,2,2,144,1B,2B,Stolen Base 2B,668227,Randy Arozarena,612434,Miguel Castro,664040,Brandon Lowe,R,Wilson Ramos,467092,1,2,8,True,2020-09-21,Stolen,2B,2020,2021,28.7,2021,28.7,2021,28.7
3,3,3,182,1B,2B,Stolen Base 2B,668227,Randy Arozarena,623465,Evan Phillips,663993,Nathaniel Lowe,R,Chance Sisco,642082,1,3,8,True,2020-09-19,Stolen,2B,2020,2021,28.7,2021,28.7,2021,28.7
4,4,4,543,1B,2B,Stolen Base 2B,668227,Randy Arozarena,656793,Nick Nelson,596847,Ji Man Choi,R,Gary Sánchez,596142,0,5,6,True,2020-08-31,Stolen,2B,2020,2021,28.7,2021,28.7,2021,28.7
5,5,5,2849,1B,,Caught Stealing 2B,668227,Randy Arozarena,542914,Anthony Bass,664040,Brandon Lowe,R,Danny Jansen,643376,8,2,6,False,2020-09-30,Caught,2B,2020,2021,28.7,2021,28.7,2021,28.7
6,6,6,2914,1B,2B,Stolen Base 2B,668227,Randy Arozarena,592826,Vince Velasquez,642715,Willy Adames,R,Andrew Knapp,595284,1,3,3,False,2020-09-25,Stolen,2B,2020,2021,28.7,2021,28.7,2021,28.7
7,7,7,2987,1B,2B,Stolen Base 2B,668227,Randy Arozarena,612434,Miguel Castro,664040,Brandon Lowe,R,Wilson Ramos,467092,1,2,8,True,2020-09-21,Stolen,2B,2020,2021,28.7,2021,28.7,2021,28.7
8,8,8,3025,1B,2B,Stolen Base 2B,668227,Randy Arozarena,623465,Evan Phillips,663993,Nathaniel Lowe,R,Chance Sisco,642082,1,3,8,True,2020-09-19,Stolen,2B,2020,2021,28.7,2021,28.7,2021,28.7
9,9,9,3386,1B,2B,Stolen Base 2B,668227,Randy Arozarena,656793,Nick Nelson,596847,Ji Man Choi,R,Gary Sánchez,596142,0,5,6,True,2020-08-31,Stolen,2B,2020,2021,28.7,2021,28.7,2021,28.7
10,10,10,4773,1B,,Caught Stealing 2B,668227,Randy Arozarena,542914,Anthony Bass,664040,Brandon Lowe,R,Danny Jansen,643376,8,2,6,False,2020-09-30,Caught,2B,2020,2021,28.7,2021,28.7,2021,28.7
11,11,11,4838,1B,2B,Stolen Base 2B,668227,Randy Arozarena,592826,Vince Velasquez,642715,Willy Adames,R,Andrew Knapp,595284,1,3,3,False,2020-09-25,Stolen,2B,2020,2021,28.7,2021,28.7,2021,28.7
12,12,12,4911,1B,2B,Stolen Base 2B,668227,Randy Arozarena,612434,Miguel Castro,664040,Brandon Lowe,R,Wilson Ramos,467092,1,2,8,True,2020-09-21,Stolen,2B,2020,2021,28.7,2021,28.7,2021,28.7
13,13,13,4949,1B,2B,Stolen Base 2B,668227,Randy Arozarena,623465,Evan Phillips,663993,Nathaniel Lowe,R,Chance Sisco,642082,1,3,8,True,2020-09-19,Stolen,2B,2020,2021,28.7,2021,28.7,2021,28.7
14,14,14,5310,1B,2B,Stolen Base 2B,668227,Randy Arozarena,656793,Nick Nelson,596847,Ji Man Choi,R,Gary Sánchez,596142,0,5,6,True,2020-08-31,Stolen,2B,2020,2021,28.7,2021,28.7,2021,28.7
15,15,15,1368,1B,2B,Stolen Base 2B,668227,Randy Arozarena,518876,Merrill Kelly,622168,Yairo Muñoz,R,Alex Avila,488671,2,2,4,True,2019-09-25,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7
16,16,16,1417,1B,,Caught Stealing 2B,668227,Randy Arozarena,518886,Craig Kimbrel,622168,Yairo Muñoz,R,Victor Caratini,605170,8,9,9,True,2019-09-21,Caught,2B,2019,2020,28.7,2020,28.7,2020,28.7
17,17,17,1693,1B,2B,Stolen Base 2B,668227,Randy Arozarena,657277,Logan Webb,669242,Tommy Edman,R,Stephen Vogt,519390,3,0,2,False,2019-09-05,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7
18,18,18,4211,1B,2B,Stolen Base 2B,668227,Randy Arozarena,518876,Merrill Kelly,622168,Yairo Muñoz,R,Alex Avila,488671,2,2,4,True,2019-09-25,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7
19,19,19,4260,1B,,Caught Stealing 2B,668227,Randy Arozarena,518886,Craig Kimbrel,622168,Yairo Muñoz,R,Victor Caratini,605170,8,9,9,True,2019-09-21,Caught,2B,2019,2020,28.7,2020,28.7,2020,28.7
20,20,20,4536,1B,2B,Stolen Base 2B,668227,Randy Arozarena,657277,Logan Webb,669242,Tommy Edman,R,Stephen Vogt,519390,3,0,2,False,2019-09-05,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7
21,21,21,6135,1B,2B,Stolen Base 2B,668227,Randy Arozarena,518876,Merrill Kelly,622168,Yairo Muñoz,R,Alex Avila,488671,2,2,4,True,2019-09-25,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7
22,22,22,6184,1B,,Caught Stealing 2B,668227,Randy Arozarena,518886,Craig Kimbrel,622168,Yairo Muñoz,R,Victor Caratini,605170,8,9,9,True,2019-09-21,Caught,2B,2019,2020,28.7,2020,28.7,2020,28.7
23,23,23,6460,1B,2B,Stolen Base 2B,668227,Randy Arozarena,657277,Logan Webb,669242,Tommy Edman,R,Stephen Vogt,519390,3,0,2,False,2019-09-05,Stolen,2B,2019,2020,28.7,2020,28.7,2020,28.7
24,24,24,71,1B,2B,Stolen Base 2B,668227,Randy Arozarena,666200,Jesús Luzardo,656669,Jordan Luplow,L,Alex Jackson,656577,2,0,1,False,2021-09-26,Stolen,2B,2021,2022,28.8,2022,28.8,2022,28.8
25,25,25,72,1B,,Caught Stealing 2B,668227,Randy Arozarena,571670,Dylan Floro,650490,Yandy Díaz,R,Alex Jackson,656577,3,1,8,False,2021-09-26,Caught,2B,2021,2022,28.8,2022,28.8,2022,28.8
26,26,26,171,1B,2B,Stolen Base 2B,668227,Randy Arozarena,592662,Robbie Ray,622534,Manuel Margot,L,Alejandro Kirk,672386,0,1,4,False,2021-09-20,Stolen,2B,2021,2022,28.8,2022,28.8,2022,28.8
27,27,27,172,2B,3B,Caught Stealing 2B,668227,Randy Arozarena,592662,Robbie Ray,656669,Jordan Luplow,L,Alejandro Kirk,672386,0,1,4,False,2021-09-20,Caught,2B,2021,2022,28.8,2022,28.8,2022,28.8
28,28,28,198,1B,,Caught Stealing 2B,668227,Randy Arozarena,503449,Wily Peralta,621563,Joey Wendle,R,Dustin Garneau,572863,0,1,4,False,2021-09-19,Caught,2B,2021,2022,28.8,2022,28.8,2022,28.8
29,29,29,280,1B,2B,Stolen Base 2B,668227,Randy Arozarena,621244,José Berríos,621563,Joey Wendle,R,Reese McGuire,624512,0,1,2,True,2021-09-14,Stolen,2B,2021,2022,28.8,2022,28.8,2022,28.8
