,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year,Sprint
26,26,26,1B,2B,Stolen Base 2B,641584,Jake Fraley,659275,Dinelson Lamet,643418,Shed Long Jr.,R,Austin Hedges,595978,0,3,4,True,2020-08-27,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
27,27,27,1B,2B,Stolen Base 2B,643418,Shed Long Jr.,659275,Dinelson Lamet,641929,Joseph Odom,R,Austin Hedges,595978,0,3,4,True,2020-08-27,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
28,28,28,1B,2B,Stolen Base 2B,664059,Sam Haggerty,489334,Craig Stammen,641786,Kyle Lewis,R,Austin Hedges,595978,3,5,7,True,2020-08-27,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
29,29,29,1B,2B,Stolen Base 2B,641487,J.P. Crawford,670280,David Bednar,664059,Sam Haggerty,R,Austin Hedges,595978,3,7,7,True,2020-08-26,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
30,30,30,1B,2B,Stolen Base 2B,664059,Sam Haggerty,663978,Chris Paddack,572122,Kyle Seager,R,Austin Hedges,595978,0,4,2,True,2020-08-25,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
31,31,31,1B,2B,Stolen Base 2B,664702,Myles Straw,572070,Garrett Richards,543807,George Springer,R,Austin Hedges,595978,1,1,2,True,2020-08-21,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
32,32,32,1B,2B,Stolen Base 2B,663656,Kyle Tucker,642770,Javy Guerra,622100,Taylor Jones,R,Austin Hedges,595978,1,1,3,True,2020-08-21,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
33,33,33,1B,,Caught Stealing 2B,664702,Myles Straw,572955,Pierce Johnson,455117,Martín Maldonado,R,Austin Hedges,595978,4,3,8,True,2020-08-21,Caught,2B,2020,2021,28.4,2021,28.4,2021,28.4
34,34,34,1B,2B,Stolen Base 2B,542454,Danny Santana,659275,Dinelson Lamet,608336,Joey Gallo,R,Austin Hedges,595978,0,0,1,True,2020-08-20,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
35,35,35,2B,,Caught Stealing 3B,643396,Isiah Kiner-Falefa,663978,Chris Paddack,641432,Willie Calhoun,R,Austin Hedges,595978,2,1,5,True,2020-08-19,Caught,3B,2020,2021,28.4,2021,28.4,2021,28.4
