,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
3429,1B,,Caught Stealing 2B,477195,Ike Davis,502239,Trevor Cahill,474568,Jordy Mercer,R,Tuffy Gosewisch,488912,2,1,7,True,2014-08-03,Caught,2B
4637,1B,,Caught Stealing 2B,477195,Ike Davis,434442,J.P. Howell,476883,Pedro Alvarez,L,Drew Butera,460077,2,5,8,True,2014-06-01,Caught,2B
5162,1B,,Caught Stealing 2B,477195,Ike Davis,502004,George Kontos,474568,Jordy Mercer,R,Héctor Sánchez,516949,4,3,5,False,2014-05-07,Caught,2B
1185,1B,,Caught Stealing 2B,477195,Ike Davis,502239,Trevor Cahill,474568,Jordy Mercer,R,Tuffy Gosewisch,488912,2,1,7,True,2014-08-03,Caught,2B
2393,1B,,Caught Stealing 2B,477195,Ike Davis,434442,J.P. Howell,476883,Pedro Alvarez,L,Drew Butera,460077,2,5,8,True,2014-06-01,Caught,2B
2918,1B,,Caught Stealing 2B,477195,Ike Davis,502004,George Kontos,474568,Jordy Mercer,R,Héctor Sánchez,516949,4,3,5,False,2014-05-07,Caught,2B
