,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,1B,2B,Stolen Base 2B,656305,Matt Chapman,621363,Colin Poche,672386,Alejandro Kirk,L,René Pinto,650907,5,6,8,True,2023-09-24,Stolen,2B,2023,2024,28.7,2024,28.7
1,1,1B,2B,Stolen Base 2B,543807,George Springer,607192,Tyler Glasnow,666182,Bo Bichette,R,René Pinto,650907,1,1,6,True,2023-09-22,Stolen,2B,2023,2024,28.7,2024,28.7
2,2,1B,2B,Stolen Base 2B,666182,Bo Bichette,607192,Tyler Glasnow,665489,Vladimir Guerrero Jr.,R,René Pinto,650907,1,1,6,True,2023-09-22,Stolen,2B,2023,2024,28.7,2024,28.7
3,3,2B,,Caught Stealing 3B,593160,Whit Merrifield,592094,Jason Adam,669289,Santiago Espinal,R,René Pinto,650907,2,5,9,True,2023-09-22,Caught,3B,2023,2024,28.7,2024,28.7
4,4,1B,2B,Stolen Base 2B,543305,Aaron Hicks,607192,Tyler Glasnow,602104,Ramón Urías,R,René Pinto,650907,4,0,4,False,2023-09-16,Stolen,2B,2023,2024,28.7,2024,28.7
5,5,1B,2B,Stolen Base 2B,668942,Josh Rojas,650644,Aaron Civale,657247,Brian O'Keefe,R,René Pinto,650907,1,4,4,True,2023-09-09,Stolen,2B,2023,2024,28.7,2024,28.7
6,6,1B,2B,Stolen Base 2B,664238,Dylan Moore,606965,Chris Devenski,677594,Julio Rodríguez,R,René Pinto,650907,2,4,7,True,2023-09-08,Stolen,2B,2023,2024,28.7,2024,28.7
7,7,1B,2B,Stolen Base 2B,596115,Trevor Story,607192,Tyler Glasnow,657136,Connor Wong,R,René Pinto,650907,2,1,5,True,2023-09-06,Stolen,2B,2023,2024,28.7,2024,28.7
8,8,1B,,Caught Stealing 2B,678882,Ceddanne Rafaela,621107,Zach Eflin,457759,Justin Turner,R,René Pinto,650907,0,0,1,True,2023-09-05,Caught,2B,2023,2024,28.7,2024,28.7
9,9,1B,,Caught Stealing 2B,596115,Trevor Story,541640,Erasmo Ramírez,678882,Ceddanne Rafaela,R,René Pinto,650907,5,6,11,True,2023-09-05,Caught,2B,2023,2024,28.7,2024,28.7
10,10,1B,2B,Stolen Base 2B,680757,Steven Kwan,621363,Colin Poche,647304,Josh Naylor,L,René Pinto,650907,2,2,7,False,2023-09-03,Stolen,2B,2023,2024,28.7,2024,28.7
11,11,1B,2B,Stolen Base 2B,665926,Andrés Giménez,518617,Jake Diekman,686823,Will Brennan,L,René Pinto,650907,4,4,5,False,2023-09-02,Stolen,2B,2023,2024,28.7,2024,28.7
12,12,2B,,Caught Stealing 3B,665926,Andrés Giménez,518617,Jake Diekman,686823,Will Brennan,L,René Pinto,650907,4,4,5,False,2023-09-02,Caught,3B,2023,2024,28.7,2024,28.7
13,13,2B,3B,Stolen Base 3B,664702,Myles Straw,606965,Chris Devenski,666310,Bo Naylor,R,René Pinto,650907,5,6,11,False,2023-09-02,Stolen,3B,2023,2024,28.7,2024,28.7
14,14,1B,2B,Stolen Base 2B,680757,Steven Kwan,607192,Tyler Glasnow,594777,Kole Calhoun,R,René Pinto,650907,1,2,3,False,2023-09-01,Stolen,2B,2023,2024,28.7,2024,28.7
15,15,1B,2B,Stolen Base 2B,665926,Andrés Giménez,607192,Tyler Glasnow,686823,Will Brennan,R,René Pinto,650907,1,2,7,False,2023-09-01,Stolen,2B,2023,2024,28.7,2024,28.7
16,16,1B,2B,Stolen Base 2B,686668,Brenton Doyle,641793,Zack Littell,453568,Charlie Blackmon,R,René Pinto,650907,3,2,5,True,2023-08-22,Stolen,2B,2023,2024,28.7,2024,28.7
17,17,1B,2B,Stolen Base 2B,666160,Mickey Moniak,607192,Tyler Glasnow,650859,Luis Rengifo,R,René Pinto,650907,2,2,2,False,2023-08-19,Stolen,2B,2023,2024,28.7,2024,28.7
