,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year_x.3,Sprint_x.3,Current_Year_y.3,Sprint_y.3,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,0,0,0,0,0,0,1B,2B,Stolen Base 2B,596115,Trevor Story,622492,Keury Mella,658069,Joshua Fuentes,R,Daulton Varsho,662139,3,7,7,True,2020-09-26,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
1,1,1,1,1,1,1,1,1,1,2B,3B,Stolen Base 3B,543829,Dee Strange-Gordon,596133,Luke Weaver,664238,Dylan Moore,R,Daulton Varsho,662139,1,2,2,True,2020-09-13,Stolen,3B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
2,2,2,2,2,2,2,2,2,2,1B,,Caught Stealing 2B,664238,Dylan Moore,596133,Luke Weaver,664034,Ty France,R,Daulton Varsho,662139,1,2,2,True,2020-09-13,Caught,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
3,3,3,3,3,3,3,3,3,3,1B,2B,Stolen Base 2B,664238,Dylan Moore,622492,Keury Mella,664034,Ty France,R,Daulton Varsho,662139,3,6,9,True,2020-09-13,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
4,4,4,4,4,4,4,4,4,4,1B,2B,Stolen Base 2B,641355,Cody Bellinger,592233,Stefan Crichton,571970,Max Muncy,R,Daulton Varsho,662139,6,6,8,True,2020-09-08,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
5,5,5,5,5,5,5,5,5,5,2B,3B,Stolen Base 3B,641355,Cody Bellinger,656464,Kevin Ginkel,666158,Gavin Lux,R,Daulton Varsho,662139,6,6,8,True,2020-09-08,Stolen,3B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
6,6,6,6,6,6,6,6,6,6,1B,2B,Stolen Base 2B,596115,Trevor Story,622492,Keury Mella,658069,Joshua Fuentes,R,Daulton Varsho,662139,3,7,7,True,2020-09-26,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
7,7,7,7,7,7,7,7,7,7,2B,3B,Stolen Base 3B,543829,Dee Strange-Gordon,596133,Luke Weaver,664238,Dylan Moore,R,Daulton Varsho,662139,1,2,2,True,2020-09-13,Stolen,3B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
8,8,8,8,8,8,8,8,8,8,1B,,Caught Stealing 2B,664238,Dylan Moore,596133,Luke Weaver,664034,Ty France,R,Daulton Varsho,662139,1,2,2,True,2020-09-13,Caught,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
9,9,9,9,9,9,9,9,9,9,1B,2B,Stolen Base 2B,664238,Dylan Moore,622492,Keury Mella,664034,Ty France,R,Daulton Varsho,662139,3,6,9,True,2020-09-13,Stolen,2B,2020,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6,2021,28.6
