,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x.2,Sprint_x.2,Current_Year_y.2,Sprint_y.2,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
17,17,17,17,17,17,17,17,1B,,Caught Stealing 2B,640458,Óscar Mercado,445926,Jesse Chavez,467793,Carlos Santana,R,Tim Federowicz,543148,3,8,7,True,2019-06-19,Caught,2B,2019,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3
18,18,18,18,18,18,18,18,1B,,Caught Stealing 2B,598265,Jackie Bradley Jr.,608652,Luke Farrell,643217,Andrew Benintendi,R,Tim Federowicz,543148,3,5,4,True,2019-09-25,Caught,2B,2019,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3
19,19,19,19,19,19,19,19,1B,2B,Stolen Base 2B,605480,Mallex Smith,642558,Ariel Jurado,641487,J.P. Crawford,R,Tim Federowicz,543148,0,2,3,True,2019-07-30,Stolen,2B,2019,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3
20,20,20,20,20,20,20,20,2B,3B,Stolen Base 3B,605480,Mallex Smith,642558,Ariel Jurado,641487,J.P. Crawford,R,Tim Federowicz,543148,0,2,3,True,2019-07-30,Stolen,3B,2019,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3
21,21,21,21,21,21,21,21,1B,2B,Stolen Base 2B,542979,Keon Broxton,642558,Ariel Jurado,641487,J.P. Crawford,R,Tim Federowicz,543148,0,4,4,True,2019-07-30,Stolen,2B,2019,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3
22,22,22,22,22,22,22,22,1B,2B,Stolen Base 2B,641487,J.P. Crawford,570488,Phillips Valdez,596129,Daniel Vogelbach,R,Tim Federowicz,543148,5,8,8,True,2019-07-30,Stolen,2B,2019,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3
23,23,23,23,23,23,23,23,1B,,Caught Stealing 2B,572033,Josh Phegley,642558,Ariel Jurado,543760,Marcus Semien,R,Tim Federowicz,543148,3,0,2,False,2019-07-25,Caught,2B,2019,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3
24,24,24,24,24,24,24,24,1B,2B,Stolen Base 2B,664702,Myles Straw,570488,Phillips Valdez,543807,George Springer,R,Tim Federowicz,543148,6,1,6,False,2019-07-20,Stolen,2B,2019,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3
25,25,25,25,25,25,25,25,1B,2B,Stolen Base 2B,664702,Myles Straw,592716,Adrian Sampson,543807,George Springer,R,Tim Federowicz,543148,4,7,6,True,2019-07-12,Stolen,2B,2019,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3
26,26,26,26,26,26,26,26,1B,,Caught Stealing 2B,640458,Óscar Mercado,445926,Jesse Chavez,467793,Carlos Santana,R,Tim Federowicz,543148,3,8,7,True,2019-06-19,Caught,2B,2019,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3,2020,27.3
27,27,27,27,27,27,27,27,2B,,Caught Stealing 3B,444482,David Peralta,519043,Matt Moore,502671,Paul Goldschmidt,L,Tim Federowicz,543148,0,0,1,False,2017-09-26,Caught,3B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
28,28,28,28,28,28,28,28,1B,2B,Caught Stealing 3B,572041,AJ Pollock,519043,Matt Moore,502671,Paul Goldschmidt,L,Tim Federowicz,543148,0,0,1,False,2017-09-26,Caught,3B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
29,29,29,29,29,29,29,29,1B,2B,Stolen Base 2B,453923,Grégor Blanco,456501,Johnny Cueto,592273,Brandon Drury,R,Tim Federowicz,543148,2,0,3,False,2017-09-25,Stolen,2B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
30,30,30,30,30,30,30,30,2B,3B,Stolen Base 3B,518934,DJ LeMahieu,518516,Madison Bumgarner,471865,Carlos González,L,Tim Federowicz,543148,0,0,1,True,2017-04-13,Stolen,3B,2017,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8,2018,27.8
