,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,1B,,Caught Stealing 2B,643446,Jeff McNeil,605483,Blake Snell,605204,J.D. Davis,L,Kevan Smith,607345,2,1,5,False,2020-09-22,Caught,2B,2020,2021,27.0
1,1B,2B,Stolen Base 2B,622168,Yairo Muñoz,664126,Pete Fairbanks,543877,Christian Vázquez,R,Kevan Smith,607345,3,2,5,True,2020-09-13,Stolen,2B,2020,2021,27.0
2,1B,2B,Stolen Base 2B,519346,Eric Thames,670950,Trevor Richards,666198,Carter Kieboom,R,Kevan Smith,607345,4,0,6,False,2020-09-07,Stolen,2B,2020,2021,27.0
3,2B,3B,Caught Stealing 3B,542583,Jesús Aguilar,607192,Tyler Glasnow,650331,Lewin Díaz,R,Kevan Smith,607345,1,3,3,True,2020-09-06,Caught,3B,2020,2021,27.0
4,1B,2B,Caught Stealing 3B,605119,Brian Anderson,607192,Tyler Glasnow,650331,Lewin Díaz,R,Kevan Smith,607345,1,3,3,True,2020-09-06,Caught,3B,2020,2021,27.0
5,1B,2B,Stolen Base 2B,516782,Starling Marte,664126,Pete Fairbanks,542583,Jesús Aguilar,R,Kevan Smith,607345,3,3,8,True,2020-09-06,Stolen,2B,2020,2021,27.0
6,2B,3B,Stolen Base 3B,606192,Teoscar Hernández,552640,Andrew Kittredge,592273,Brandon Drury,R,Kevan Smith,607345,1,4,7,True,2020-07-26,Stolen,3B,2020,2021,27.0
7,2B,3B,Stolen Base 3B,669289,Santiago Espinal,475054,Chaz Roe,666971,Lourdes Gurriel Jr.,R,Kevan Smith,607345,4,5,10,True,2020-07-26,Stolen,3B,2020,2021,27.0
8,1B,,Caught Stealing 2B,643446,Jeff McNeil,605483,Blake Snell,605204,J.D. Davis,L,Kevan Smith,607345,2,1,5,False,2020-09-22,Caught,2B,2020,2021,27.0
9,1B,2B,Stolen Base 2B,622168,Yairo Muñoz,664126,Pete Fairbanks,543877,Christian Vázquez,R,Kevan Smith,607345,3,2,5,True,2020-09-13,Stolen,2B,2020,2021,27.0
