,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,0,0,1B,2B,Stolen Base 2B,656541,Sam Hilliard,608723,Austin Voth,624513,Dom Nuñez,R,Riley Adams,656180,6,5,3,False,2021-09-29,Stolen,2B,2021,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7
1,1,1,1,1,1,1B,,Caught Stealing 2B,596115,Trevor Story,600921,Andrés Machado,543068,C.J. Cron,R,Riley Adams,656180,6,5,4,False,2021-09-29,Caught,2B,2021,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7
2,2,2,2,2,2,1B,2B,Stolen Base 2B,642423,Magneuris Sierra,640448,Kyle Finnegan,506702,Sandy León,R,Riley Adams,656180,5,4,8,True,2021-09-15,Stolen,2B,2021,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7
3,3,3,3,3,3,2B,3B,Stolen Base 3B,595879,Javier Báez,680686,Josiah Gray,664850,Patrick Mazeika,R,Riley Adams,656180,0,4,1,True,2021-09-05,Stolen,3B,2021,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7
4,4,4,4,4,4,1B,2B,Stolen Base 2B,607680,Kevin Pillar,666168,Mason Thompson,664850,Patrick Mazeika,R,Riley Adams,656180,6,6,6,True,2021-09-05,Stolen,2B,2021,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7
5,5,5,5,5,5,1B,2B,Stolen Base 2B,542340,Jonathan Villar,640448,Kyle Finnegan,624413,Pete Alonso,R,Riley Adams,656180,4,3,7,True,2021-09-04,Stolen,2B,2021,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7
6,6,6,6,6,6,1B,2B,Stolen Base 2B,624424,Michael Conforto,641907,Patrick Murphy,607680,Kevin Pillar,R,Riley Adams,656180,0,2,6,True,2021-09-03,Stolen,2B,2021,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7
7,7,7,7,7,7,1B,,Caught Stealing 2B,542340,Jonathan Villar,607560,Ryne Harper,607043,Brandon Nimmo,R,Riley Adams,656180,0,2,9,True,2021-09-03,Caught,2B,2021,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7
8,8,8,8,8,8,1B,,Caught Stealing 2B,542340,Jonathan Villar,543594,Sean Nolin,607043,Brandon Nimmo,L,Riley Adams,656180,1,2,3,False,2021-08-28,Caught,2B,2021,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7
9,9,9,9,9,9,1B,2B,Stolen Base 2B,596019,Francisco Lindor,543594,Sean Nolin,595879,Javier Báez,L,Riley Adams,656180,1,2,4,False,2021-08-28,Stolen,2B,2021,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7
10,10,10,10,10,10,1B,2B,Stolen Base 2B,596019,Francisco Lindor,641907,Patrick Murphy,595879,Javier Báez,R,Riley Adams,656180,2,2,6,False,2021-08-28,Stolen,2B,2021,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7,2022,28.7
