,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year,Sprint
0,0,0,9,1B,2B,Stolen Base 2B,645277,Ozzie Albies,545333,Trevor Bauer,594807,Adam Duvall,R,Curt Casali,592200,0,0,2,False,2020-09-30,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
1,1,1,324,1B,2B,Stolen Base 2B,645277,Ozzie Albies,571578,Patrick Corbin,660670,Ronald Acuña Jr.,L,Yan Gomes,543228,0,1,2,True,2020-09-12,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
2,2,2,350,1B,2B,Stolen Base 2B,645277,Ozzie Albies,640448,Kyle Finnegan,542255,Ender Inciarte,R,Yan Gomes,543228,7,7,11,True,2020-09-11,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
3,3,3,388,1B,2B,Stolen Base 2B,645277,Ozzie Albies,657141,Jordan Yamamoto,542255,Ender Inciarte,R,Chad Wallach,595453,13,8,4,False,2020-09-09,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
4,4,4,1169,1B,,Caught Stealing 2B,645277,Ozzie Albies,630023,Yonny Chirinos,518692,Freddie Freeman,R,Michael Pérez,605421,0,0,1,True,2020-07-28,Caught,2B,2020,2021,28.4,2021,28.4,2021,28.4
5,5,5,2852,1B,2B,Stolen Base 2B,645277,Ozzie Albies,545333,Trevor Bauer,594807,Adam Duvall,R,Curt Casali,592200,0,0,2,False,2020-09-30,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
6,6,6,3167,1B,2B,Stolen Base 2B,645277,Ozzie Albies,571578,Patrick Corbin,660670,Ronald Acuña Jr.,L,Yan Gomes,543228,0,1,2,True,2020-09-12,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
7,7,7,3193,1B,2B,Stolen Base 2B,645277,Ozzie Albies,640448,Kyle Finnegan,542255,Ender Inciarte,R,Yan Gomes,543228,7,7,11,True,2020-09-11,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
8,8,8,3231,1B,2B,Stolen Base 2B,645277,Ozzie Albies,657141,Jordan Yamamoto,542255,Ender Inciarte,R,Chad Wallach,595453,13,8,4,False,2020-09-09,Stolen,2B,2020,2021,28.4,2021,28.4,2021,28.4
9,9,9,4012,1B,,Caught Stealing 2B,645277,Ozzie Albies,630023,Yonny Chirinos,518692,Freddie Freeman,R,Michael Pérez,605421,0,0,1,True,2020-07-28,Caught,2B,2020,2021,28.4,2021,28.4,2021,28.4
