,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,3721,1B,2B,Stolen Base 2B,503556,Marwin Gonzalez,612434,Miguel Castro,641598,Mitch Garver,R,Austin Wynns,642851,4,1,8,False,2019-04-28,Stolen,2B,2019,2020,25.6,2020,25.6,2020,25.6,2020,25.6
1,1,1,1,6564,1B,2B,Stolen Base 2B,503556,Marwin Gonzalez,612434,Miguel Castro,641598,Mitch Garver,R,Austin Wynns,642851,4,1,8,False,2019-04-28,Stolen,2B,2019,2020,25.6,2020,25.6,2020,25.6,2020,25.6
2,2,2,2,8488,1B,2B,Stolen Base 2B,503556,Marwin Gonzalez,612434,Miguel Castro,641598,Mitch Garver,R,Austin Wynns,642851,4,1,8,False,2019-04-28,Stolen,2B,2019,2020,25.6,2020,25.6,2020,25.6,2020,25.6
3,3,3,3,1355,1B,,Caught Stealing 2B,503556,Marwin Gonzalez,642152,Lou Trivino,542454,Danny Santana,R,Sean Murphy,669221,4,4,9,True,2021-07-03,Caught,2B,2021,2022,26.4,2022,26.4,2022,26.4,2022,26.4
4,4,4,4,1375,1B,2B,Stolen Base 2B,503556,Marwin Gonzalez,593423,Frankie Montas,542454,Danny Santana,R,Sean Murphy,669221,0,2,6,True,2021-07-02,Stolen,2B,2021,2022,26.4,2022,26.4,2022,26.4,2022,26.4
5,5,5,5,2731,1B,2B,Stolen Base 2B,503556,Marwin Gonzalez,518774,Matt Harvey,624414,Christian Arroyo,R,Pedro Severino,600474,0,2,1,True,2021-04-08,Stolen,2B,2021,2022,26.4,2022,26.4,2022,26.4,2022,26.4
6,6,6,6,2817,1B,2B,Stolen Base 2B,503556,Marwin Gonzalez,518774,Matt Harvey,666915,Bobby Dalbec,R,Pedro Severino,600474,0,0,2,False,2021-04-03,Stolen,2B,2021,2022,26.4,2022,26.4,2022,26.4,2022,26.4
7,7,7,7,3279,1B,,Caught Stealing 2B,503556,Marwin Gonzalez,642152,Lou Trivino,542454,Danny Santana,R,Sean Murphy,669221,4,4,9,True,2021-07-03,Caught,2B,2021,2022,26.4,2022,26.4,2022,26.4,2022,26.4
8,8,8,8,3299,1B,2B,Stolen Base 2B,503556,Marwin Gonzalez,593423,Frankie Montas,542454,Danny Santana,R,Sean Murphy,669221,0,2,6,True,2021-07-02,Stolen,2B,2021,2022,26.4,2022,26.4,2022,26.4,2022,26.4
9,9,9,9,4655,1B,2B,Stolen Base 2B,503556,Marwin Gonzalez,518774,Matt Harvey,624414,Christian Arroyo,R,Pedro Severino,600474,0,2,1,True,2021-04-08,Stolen,2B,2021,2022,26.4,2022,26.4,2022,26.4,2022,26.4
10,10,10,10,4741,1B,2B,Stolen Base 2B,503556,Marwin Gonzalez,518774,Matt Harvey,666915,Bobby Dalbec,R,Pedro Severino,600474,0,0,2,False,2021-04-03,Stolen,2B,2021,2022,26.4,2022,26.4,2022,26.4,2022,26.4
11,11,11,11,824,1B,2B,Stolen Base 2B,503556,Marwin Gonzalez,448306,James Shields,594828,Evan Gattis,R,Omar Narváez,553882,1,2,4,False,2017-09-20,Stolen,2B,2017,2018,26.4,2018,26.4,2018,26.4,2018,26.4
12,12,12,12,1164,1B,2B,Stolen Base 2B,503556,Marwin Gonzalez,607625,Seth Lugo,643603,Tyler White,R,Kevin Plawecki,608700,0,0,2,False,2017-09-02,Stolen,2B,2017,2018,26.4,2018,26.4,2018,26.4,2018,26.4
