,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year,Sprint
0,0,0,1821,1B,2B,Stolen Base 2B,474832,Brandon Belt,502190,Mike Leake,446334,Evan Longoria,R,Alex Avila,488671,0,0,1,False,2019-08-27,Stolen,2B,2019,2020,25.2,2020,25.2,2020,25.2
1,1,1,2114,1B,,Caught Stealing 2B,474832,Brandon Belt,605400,Aaron Nola,457763,Buster Posey,R,Andrew Knapp,595284,0,0,1,False,2019-08-08,Caught,2B,2019,2020,25.2,2020,25.2,2020,25.2
2,2,2,2410,1B,,Caught Stealing 2B,474832,Brandon Belt,594798,Jacob deGrom,519390,Stephen Vogt,R,Wilson Ramos,467092,0,0,1,False,2019-07-19,Caught,2B,2019,2020,25.2,2020,25.2,2020,25.2
3,3,3,2549,1B,2B,Stolen Base 2B,474832,Brandon Belt,502624,Chase Anderson,543105,Alex Dickerson,R,Yasmani Grandal,518735,1,0,4,True,2019-07-12,Stolen,2B,2019,2020,25.2,2020,25.2,2020,25.2
4,4,4,3220,1B,2B,Stolen Base 2B,474832,Brandon Belt,489265,Sergio Romo,607680,Kevin Pillar,R,Jorge Alfaro,595751,4,2,9,True,2019-05-29,Stolen,2B,2019,2020,25.2,2020,25.2,2020,25.2
5,5,5,3996,1B,,Caught Stealing 2B,474832,Brandon Belt,518452,Chad Bettis,543063,Brandon Crawford,R,Tony Wolters,547172,0,0,2,False,2019-04-12,Caught,2B,2019,2020,25.2,2020,25.2,2020,25.2
6,6,6,4138,1B,2B,Stolen Base 2B,474832,Brandon Belt,607192,Tyler Glasnow,543063,Brandon Crawford,R,Michael Pérez,605421,0,4,6,False,2019-04-05,Stolen,2B,2019,2020,25.2,2020,25.2,2020,25.2
7,7,7,4664,1B,2B,Stolen Base 2B,474832,Brandon Belt,502190,Mike Leake,446334,Evan Longoria,R,Alex Avila,488671,0,0,1,False,2019-08-27,Stolen,2B,2019,2020,25.2,2020,25.2,2020,25.2
8,8,8,4957,1B,,Caught Stealing 2B,474832,Brandon Belt,605400,Aaron Nola,457763,Buster Posey,R,Andrew Knapp,595284,0,0,1,False,2019-08-08,Caught,2B,2019,2020,25.2,2020,25.2,2020,25.2
9,9,9,5253,1B,,Caught Stealing 2B,474832,Brandon Belt,594798,Jacob deGrom,519390,Stephen Vogt,R,Wilson Ramos,467092,0,0,1,False,2019-07-19,Caught,2B,2019,2020,25.2,2020,25.2,2020,25.2
10,10,10,5392,1B,2B,Stolen Base 2B,474832,Brandon Belt,502624,Chase Anderson,543105,Alex Dickerson,R,Yasmani Grandal,518735,1,0,4,True,2019-07-12,Stolen,2B,2019,2020,25.2,2020,25.2,2020,25.2
11,11,11,6063,1B,2B,Stolen Base 2B,474832,Brandon Belt,489265,Sergio Romo,607680,Kevin Pillar,R,Jorge Alfaro,595751,4,2,9,True,2019-05-29,Stolen,2B,2019,2020,25.2,2020,25.2,2020,25.2
12,12,12,6839,1B,,Caught Stealing 2B,474832,Brandon Belt,518452,Chad Bettis,543063,Brandon Crawford,R,Tony Wolters,547172,0,0,2,False,2019-04-12,Caught,2B,2019,2020,25.2,2020,25.2,2020,25.2
13,13,13,6981,1B,2B,Stolen Base 2B,474832,Brandon Belt,607192,Tyler Glasnow,543063,Brandon Crawford,R,Michael Pérez,605421,0,4,6,False,2019-04-05,Stolen,2B,2019,2020,25.2,2020,25.2,2020,25.2
14,14,14,6588,1B,2B,Stolen Base 2B,474832,Brandon Belt,502190,Mike Leake,446334,Evan Longoria,R,Alex Avila,488671,0,0,1,False,2019-08-27,Stolen,2B,2019,2020,25.2,2020,25.2,2020,25.2
15,15,15,6881,1B,,Caught Stealing 2B,474832,Brandon Belt,605400,Aaron Nola,457763,Buster Posey,R,Andrew Knapp,595284,0,0,1,False,2019-08-08,Caught,2B,2019,2020,25.2,2020,25.2,2020,25.2
16,16,16,7177,1B,,Caught Stealing 2B,474832,Brandon Belt,594798,Jacob deGrom,519390,Stephen Vogt,R,Wilson Ramos,467092,0,0,1,False,2019-07-19,Caught,2B,2019,2020,25.2,2020,25.2,2020,25.2
17,17,17,7316,1B,2B,Stolen Base 2B,474832,Brandon Belt,502624,Chase Anderson,543105,Alex Dickerson,R,Yasmani Grandal,518735,1,0,4,True,2019-07-12,Stolen,2B,2019,2020,25.2,2020,25.2,2020,25.2
18,18,18,7987,1B,2B,Stolen Base 2B,474832,Brandon Belt,489265,Sergio Romo,607680,Kevin Pillar,R,Jorge Alfaro,595751,4,2,9,True,2019-05-29,Stolen,2B,2019,2020,25.2,2020,25.2,2020,25.2
19,19,19,8763,1B,,Caught Stealing 2B,474832,Brandon Belt,518452,Chad Bettis,543063,Brandon Crawford,R,Tony Wolters,547172,0,0,2,False,2019-04-12,Caught,2B,2019,2020,25.2,2020,25.2,2020,25.2
20,20,20,8905,1B,2B,Stolen Base 2B,474832,Brandon Belt,607192,Tyler Glasnow,543063,Brandon Crawford,R,Michael Pérez,605421,0,4,6,False,2019-04-05,Stolen,2B,2019,2020,25.2,2020,25.2,2020,25.2
21,21,21,1608,1B,2B,Stolen Base 2B,474832,Brandon Belt,624133,Ranger Suárez,543063,Brandon Crawford,L,Rafael Marchán,665561,6,6,5,False,2021-06-19,Stolen,2B,2021,2022,24.4,2022,24.4,2022,24.4
22,22,22,2500,1B,2B,Stolen Base 2B,474832,Brandon Belt,542947,Richard Bleier,573131,Darin Ruf,L,Sandy León,506702,5,1,7,False,2021-04-23,Stolen,2B,2021,2022,24.4,2022,24.4,2022,24.4
