,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
0,0,0,0,0,0,1B,2B,Stolen Base 2B,640457,Austin Meadows,600887,Miguel Del Pozo,596847,Ji Man Choi,L,Anthony Bemboom,621532,0,0,6,True,2019-09-14,Stolen,2B,2019,2020,26.9,2020,26.5,2020,26.5,2020,26.5,2020,26.5,2020,26.5
1,1,1,1,1,1,1B,,Caught Stealing 2B,647351,Abraham Toro,598287,Noé Ramirez,545350,Jake Marisnick,R,Anthony Bemboom,621532,4,3,6,False,2019-08-23,Caught,2B,2019,2020,26.9,2020,26.5,2020,26.5,2020,26.5,2020,26.5,2020,26.5
2,2,2,2,2,2,1B,,Caught Stealing 2B,545350,Jake Marisnick,598287,Noé Ramirez,502210,Josh Reddick,R,Anthony Bemboom,621532,4,3,6,False,2019-08-23,Caught,2B,2019,2020,26.9,2020,26.5,2020,26.5,2020,26.5,2020,26.5,2020,26.5
3,3,3,3,3,3,1B,2B,Stolen Base 2B,516782,Starling Marte,596071,Dillon Peters,605137,Josh Bell,L,Anthony Bemboom,621532,4,2,6,True,2019-08-14,Stolen,2B,2019,2020,26.9,2020,26.5,2020,26.5,2020,26.5,2020,26.5,2020,26.5
4,4,4,4,4,4,1B,2B,Stolen Base 2B,640457,Austin Meadows,600887,Miguel Del Pozo,596847,Ji Man Choi,L,Anthony Bemboom,621532,0,0,6,True,2019-09-14,Stolen,2B,2019,2020,26.9,2020,26.5,2020,26.5,2020,26.5,2020,26.5,2020,26.5
5,5,5,5,5,5,1B,,Caught Stealing 2B,647351,Abraham Toro,598287,Noé Ramirez,545350,Jake Marisnick,R,Anthony Bemboom,621532,4,3,6,False,2019-08-23,Caught,2B,2019,2020,26.9,2020,26.5,2020,26.5,2020,26.5,2020,26.5,2020,26.5
6,6,6,6,6,6,1B,,Caught Stealing 2B,545350,Jake Marisnick,598287,Noé Ramirez,502210,Josh Reddick,R,Anthony Bemboom,621532,4,3,6,False,2019-08-23,Caught,2B,2019,2020,26.9,2020,26.5,2020,26.5,2020,26.5,2020,26.5,2020,26.5
7,7,7,7,7,7,1B,2B,Stolen Base 2B,516782,Starling Marte,596071,Dillon Peters,605137,Josh Bell,L,Anthony Bemboom,621532,4,2,6,True,2019-08-14,Stolen,2B,2019,2020,26.9,2020,26.5,2020,26.5,2020,26.5,2020,26.5,2020,26.5
8,8,8,8,8,8,1B,2B,Stolen Base 2B,640457,Austin Meadows,600887,Miguel Del Pozo,596847,Ji Man Choi,L,Anthony Bemboom,621532,0,0,6,True,2019-09-14,Stolen,2B,2019,2020,26.9,2020,26.5,2020,26.5,2020,26.5,2020,26.5,2020,26.5
9,9,9,9,9,9,1B,,Caught Stealing 2B,647351,Abraham Toro,598287,Noé Ramirez,545350,Jake Marisnick,R,Anthony Bemboom,621532,4,3,6,False,2019-08-23,Caught,2B,2019,2020,26.9,2020,26.5,2020,26.5,2020,26.5,2020,26.5,2020,26.5
10,10,10,10,10,10,1B,,Caught Stealing 2B,545350,Jake Marisnick,598287,Noé Ramirez,502210,Josh Reddick,R,Anthony Bemboom,621532,4,3,6,False,2019-08-23,Caught,2B,2019,2020,26.9,2020,26.5,2020,26.5,2020,26.5,2020,26.5,2020,26.5
11,11,11,11,11,11,1B,2B,Stolen Base 2B,516782,Starling Marte,596071,Dillon Peters,605137,Josh Bell,L,Anthony Bemboom,621532,4,2,6,True,2019-08-14,Stolen,2B,2019,2020,26.9,2020,26.5,2020,26.5,2020,26.5,2020,26.5,2020,26.5
