,Outcome,Inplay,Event,Pitch,Description,Start_speed,End_speed,breakAngle,breakLength,breakY,breakVertical,breakHorizontal,breakVerticalInduced,spinRate,location,batter_name,batter_side,batter_split,pitcher_id,pitcher_name,pitcher_hand,pitcher_split,Date
14,S,False,,Sinker,Swinging Strike,91.9,84.4,34.8,6.0,24.0,,,,2182,,Hunter Pence,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
15,C,False,,Changeup,Called Strike,84.6,77.8,27.6,7.2,24.0,,,,1965,,Shane Victorino,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
16,X,True,,Slider,"In play, out(s)",81.7,76.5,10.8,8.4,24.0,,,,679,9,Shane Victorino,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
17,B,False,,Four-Seam Fastball,Ball,87.9,80.7,1.2,4.8,24.0,,,,1858,,Placido Polanco,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
18,B,False,,Cutter,Ball,87.1,80.6,6.0,3.6,24.0,,,,1961,,Placido Polanco,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
19,X,True,,Cutter,"In play, out(s)",86.9,80.3,3.6,4.8,24.0,,,,1556,4,Placido Polanco,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
20,X,True,,Sinker,"In play, out(s)",87.7,82.0,20.4,7.2,24.0,,,,1359,4,Jimmy Rollins,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
21,C,False,,Sinker,Called Strike,91.9,85.0,30.0,7.2,24.0,,,,1892,,Carlos Lee,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
22,B,False,,Sinker,Ball,92.1,85.1,34.8,8.4,24.0,,,,2607,,Carlos Lee,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
23,F,False,,Cutter,Foul,90.3,84.6,7.2,4.8,24.0,,,,1273,,Carlos Lee,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
24,S,False,,Sinker,Swinging Strike,92.6,86.5,34.8,7.2,24.0,,,,2359,,Carlos Lee,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
25,C,False,,Cutter,Called Strike,90.9,84.4,8.4,4.8,24.0,,,,1247,,Bill Hall,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
26,X,True,,Changeup,"In play, out(s)",86.1,80.1,18.0,9.6,24.0,,,,1654,6,Bill Hall,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
27,S,False,,Cutter,Swinging Strike,90.7,84.6,8.4,4.8,24.0,,,,1142,,Chris Johnson,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
28,B,False,,Sinker,Ball,91.9,83.9,34.8,7.2,24.0,,,,2348,,Chris Johnson,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
29,S,False,,Curveball,Swinging Strike,77.8,72.9,12.0,9.6,24.0,,,,788,,Chris Johnson,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
30,S,False,,Curveball,Swinging Strike,78.0,72.7,13.2,9.6,24.0,,,,868,,Chris Johnson,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
31,D,True,,Sinker,"In play, no out",85.8,79.2,20.4,7.2,24.0,,,,1396,8,Ryan Howard,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
32,C,False,,Four-Seam Fastball,Called Strike,85.8,78.5,14.4,7.2,24.0,,,,1250,,Raul Ibanez,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
33,B,False,,Curveball,Ball,73.1,66.8,10.8,16.8,24.0,,,,2124,,Raul Ibanez,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
