,Unnamed: 0,Start_Base,End_Base,Event,Respon_Pitcher,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
0,15,1B,,Caught Stealing 2B,,121616,Olmedo Saenz,Shawn Wooten,3,0,2,True,2001-06-05,Caught,2B,2001
1,39,1B,2B,Stolen Base 2B,,275930,David Eckstein,Ramon Hernandez,5,0,4,False,2001-06-05,Stolen,2B,2001
2,69,1B,2B,Stolen Base 2B,,114961,Tom Goodwin,Damian Miller,4,3,7,True,2001-06-05,Stolen,2B,2001
3,71,2B,3B,Stolen Base 3B,,114961,Tom Goodwin,Damian Miller,4,3,7,True,2001-06-05,Stolen,3B,2001
4,97,1B,2B,Stolen Base 2B,,114961,Tom Goodwin,Damian Miller,5,6,9,True,2001-06-05,Stolen,2B,2001
5,74,1B,2B,Stolen Base 2B,,334393,Juan Pierre,Brad Ausmus,8,4,6,False,2001-06-05,Stolen,2B,2001
6,17,1B,2B,Stolen Base 2B,,121009,Pokey Reese,Raul Casanova,0,0,3,True,2001-06-05,Stolen,2B,2001
7,65,1B,,Caught Stealing 2B,,123494,Michael Tucker,Raul Casanova,2,2,7,True,2001-06-05,Caught,2B,2001
8,115,1B,2B,Stolen Base 2B,,121009,Pokey Reese,Raul Casanova,3,3,12,True,2001-06-05,Stolen,2B,2001
9,120,1B,2B,Stolen Base 2B,,111072,Henry Blanco,Jason LaRue,3,3,12,False,2001-06-05,Stolen,2B,2001
10,130,3B,,Caught Stealing Home,,123494,Michael Tucker,Raul Casanova,3,4,13,True,2001-06-05,Caught,Home,2001
11,9,1B,2B,Stolen Base 2B,,136860,Carlos Beltrán,Sandy Alomar Jr.,0,2,1,False,2001-06-05,Stolen,2B,2001
12,37,1B,,Caught Stealing 2B,,346795,Endy Chavez,Sandy Alomar Jr.,0,5,3,False,2001-06-05,Caught,2B,2001
13,50,1B,,Caught Stealing 2B,,113660,Ray Durham,Héctor Ortiz,1,6,5,True,2001-06-05,Caught,2B,2001
14,18,1B,,Caught Stealing 2B,,118609,Quinton McCracken,Einar Díaz,0,0,2,False,2001-06-05,Caught,2B,2001
15,29,1B,,Caught Stealing 2B,,276372,Luis Rivas,Einar Díaz,0,1,3,False,2001-06-05,Caught,2B,2001
16,74,1B,2B,Stolen Base 2B,,110183,Roberto Alomar,A.J. Pierzynski,0,5,7,True,2001-06-05,Stolen,2B,2001
17,19,1B,2B,Stolen Base 2B,,150020,Jerry Hairston,Joe Oliver,0,1,2,True,2001-06-05,Stolen,2B,2001
18,30,2B,,Caught Stealing 3B,,133343,Preston Wilson,Jason Kendall,1,0,4,False,2001-06-05,Caught,3B,2001
19,66,1B,,Caught Stealing 2B,,115223,Vladimir Guerrero,Paul Bako,1,2,6,False,2001-06-05,Caught,2B,2001
20,23,1B,2B,Stolen Base 2B,,114844,Doug Glanville,Mike Piazza,0,0,3,False,2001-06-05,Stolen,2B,2001
