,Unnamed: 0,Start_Base,End_Base,Event,Respon_Pitcher,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
0,59,1B,2B,Stolen Base 2B,,334393,Juan Pierre,Chad Moeller,6,2,5,True,2002-09-29,Stolen,2B,2002
1,3,1B,2B,Stolen Base 2B,,276519,Jimmy Rollins,Mike Redmond,0,0,1,True,2002-09-29,Stolen,2B,2002
2,4,2B,3B,Stolen Base 3B,,276519,Jimmy Rollins,Mike Redmond,0,0,1,True,2002-09-29,Stolen,3B,2002
3,6,1B,,Caught Stealing 2B,,110029,Bobby Abreu,Mike Redmond,0,0,1,True,2002-09-29,Caught,2B,2002
4,9,1B,2B,Stolen Base 2B,,112116,Luis Castillo,Mike Lieberthal,0,0,1,False,2002-09-29,Stolen,2B,2002
5,54,1B,2B,Stolen Base 2B,,276519,Jimmy Rollins,Mike Redmond,2,3,4,True,2002-09-29,Stolen,2B,2002
6,94,1B,2B,Stolen Base 2B,,112116,Luis Castillo,Mike Lieberthal,3,3,7,False,2002-09-29,Stolen,2B,2002
7,105,1B,2B,Stolen Base 2B,,114844,Doug Glanville,Mike Redmond,3,3,9,True,2002-09-29,Stolen,2B,2002
8,117,1B,2B,Stolen Base 2B,,112116,Luis Castillo,Mike Lieberthal,3,3,10,False,2002-09-29,Stolen,2B,2002
9,44,1B,2B,Stolen Base 2B,,113660,Ray Durham,Todd Greene,1,3,4,True,2002-09-29,Stolen,2B,2002
10,21,1B,,Caught Stealing 2B,,407849,Bill Hall,Mike Matheny,0,0,3,True,2002-09-29,Caught,2B,2002
11,42,1B,,Caught Stealing 2B,,132720,Paul Bako,Mike Matheny,0,0,5,True,2002-09-29,Caught,2B,2002
12,13,1B,,Caught Stealing 2B,,276537,Chris Richard,Jorge Posada,0,0,2,False,2002-09-29,Caught,2B,2002
13,21,1B,,Caught Stealing 2B,,111742,Jeromy Burnitz,Henry Blanco,1,0,2,False,2002-09-29,Caught,2B,2002
14,38,1B,2B,Stolen Base 2B,,136660,Mark DeRosa,Vance Wilson,1,1,4,True,2002-09-29,Stolen,2B,2002
15,70,1B,2B,Stolen Base 2B,,400109,Esix Snead,Henry Blanco,6,1,6,False,2002-09-29,Stolen,2B,2002
16,104,2B,,Caught Stealing 3B,,150239,Terrence Long,Todd Greene,7,9,7,True,2002-09-28,Caught,3B,2002
17,4,2B,3B,Stolen Base 3B,,279577,Rafael Furcal,Jason Phillips,0,0,1,True,2002-09-28,Stolen,3B,2002
18,5,1B,2B,Stolen Base 2B,,122111,Gary Sheffield,Jason Phillips,0,0,1,True,2002-09-28,Stolen,2B,2002
19,16,1B,2B,Stolen Base 2B,,112155,Roger Cedeno,Steve Torrealba,0,1,1,False,2002-09-28,Stolen,2B,2002
20,28,1B,2B,Stolen Base 2B,,117922,Luis Lopez,Chris Widger,0,0,4,False,2002-09-28,Stolen,2B,2002
21,55,2B,3B,Stolen Base 3B,,114844,Doug Glanville,Ramon Castro,2,7,5,True,2002-09-28,Stolen,3B,2002
22,58,1B,2B,Stolen Base 2B,,120416,Tomas Perez,Ramon Castro,2,7,5,True,2002-09-28,Stolen,2B,2002
23,66,1B,2B,Stolen Base 2B,,120140,Eric Owens,Johnny Estrada,2,7,5,False,2002-09-28,Stolen,2B,2002
24,9,1B,2B,Stolen Base 2B,,115229,Jose Guillen,Brian Schneider,0,0,2,True,2002-09-28,Stolen,2B,2002
25,65,1B,,Caught Stealing 2B,,115229,Jose Guillen,Brian Schneider,5,0,6,True,2002-09-28,Caught,2B,2002
26,3,1B,2B,Stolen Base 2B,,133160,Randy Winn,Doug Mirabelli,0,0,1,True,2002-09-28,Stolen,2B,2002
27,32,1B,2B,Stolen Base 2B,,277409,Jared Sandberg,Doug Mirabelli,1,1,4,True,2002-09-28,Stolen,2B,2002
28,100,1B,2B,Stolen Base 2B,,150390,Damian Rolls,Doug Mirabelli,4,8,8,True,2002-09-28,Stolen,2B,2002
29,3,1B,,Caught Stealing 2B,,117276,Mark Kotsay,Chad Kreuter,0,0,1,True,2002-09-28,Caught,2B,2002
30,21,1B,2B,Stolen Base 2B,,136601,George Lombard,Ken Huckaby,1,1,2,True,2002-09-28,Stolen,2B,2002
31,11,1B,2B,Stolen Base 2B,,120190,Orlando Palmeiro,Ben Davis,0,0,1,False,2002-09-28,Stolen,2B,2002
32,30,1B,,Caught Stealing 2B,,407899,Luis Ugueto,Bengie Molina,1,0,3,True,2002-09-28,Caught,2B,2002
33,46,1B,2B,Stolen Base 2B,,407930,Bobby Hill,Humberto Cota,1,2,6,False,2002-09-28,Stolen,2B,2002
34,7,1B,2B,Stolen Base 2B,,124523,Tony Womack,Sandy Alomar Jr.,0,0,1,False,2002-09-28,Stolen,2B,2002
35,54,1B,2B,Stolen Base 2B,,121074,Edgar Renteria,Robert Machado,3,1,6,False,2002-09-28,Stolen,2B,2002
36,2,1B,2B,Stolen Base 2B,,136860,Carlos Beltrán,Eddie Pérez,0,0,1,True,2002-09-28,Stolen,2B,2002
37,3,2B,3B,Stolen Base 3B,,136860,Carlos Beltrán,Eddie Pérez,0,0,1,True,2002-09-28,Stolen,3B,2002
38,20,1B,2B,Stolen Base 2B,,407556,Angel Berroa,Eddie Pérez,1,3,2,True,2002-09-28,Stolen,2B,2002
39,53,1B,2B,Stolen Base 2B,,123041,Mike Sweeney,Eddie Pérez,2,3,5,True,2002-09-28,Stolen,2B,2002
40,66,1B,,Caught Stealing 2B,,408227,Kit Pellow,Eddie Pérez,2,3,6,True,2002-09-28,Caught,2B,2002
41,110,2B,3B,Stolen Base 3B,,123744,Omar Vizquel,Brent Mayne,6,5,10,False,2002-09-28,Stolen,3B,2002
42,18,1B,2B,Stolen Base 2B,,133321,Alex Cora,Wil Nieves,0,0,3,False,2002-09-27,Stolen,2B,2002
43,4,1B,2B,Stolen Base 2B,,217100,Willie Bloomquist,Sal Fasano,0,2,1,True,2002-09-27,Stolen,2B,2002
44,32,1B,2B,Stolen Base 2B,,400085,Ichiro Suzuki,Sal Fasano,1,2,3,True,2002-09-27,Stolen,2B,2002
45,60,1B,2B,Stolen Base 2B,,217100,Willie Bloomquist,Sal Fasano,2,3,5,True,2002-09-27,Stolen,2B,2002
46,70,1B,2B,Stolen Base 2B,,150456,Adam Kennedy,Ben Davis,3,4,5,False,2002-09-27,Stolen,2B,2002
47,83,1B,,Caught Stealing 2B,,150040,José Molina,Ben Davis,3,4,6,False,2002-09-27,Caught,2B,2002
48,117,1B,,Caught Stealing 2B,,400085,Ichiro Suzuki,Sal Fasano,6,6,9,True,2002-09-27,Caught,2B,2002
49,120,1B,,Caught Stealing 2B,,217100,Willie Bloomquist,Sal Fasano,6,6,9,True,2002-09-27,Caught,2B,2002
50,133,1B,2B,Stolen Base 2B,,407899,Luis Ugueto,Sal Fasano,6,6,11,True,2002-09-27,Stolen,2B,2002
51,112,2B,,Caught Stealing 3B,,334393,Juan Pierre,Rod Barajas,7,6,8,True,2002-09-27,Caught,3B,2002
52,115,2B,3B,Stolen Base 3B,,114135,Steve Finley,Gary Bennett,8,6,8,False,2002-09-27,Stolen,3B,2002
53,20,1B,2B,Stolen Base 2B,,123726,Fernando Vina,Jorge Fabregas,1,0,3,False,2002-09-27,Stolen,2B,2002
54,27,1B,2B,Stolen Base 2B,,276372,Luis Rivas,Miguel Olivo,0,1,3,False,2002-09-27,Stolen,2B,2002
55,53,1B,2B,Stolen Base 2B,,112559,Jeff Conine,Jorge Posada,0,1,6,False,2002-09-27,Stolen,2B,2002
56,28,1B,2B,Stolen Base 2B,,110029,Bobby Abreu,Ramon Castro,0,2,4,True,2002-09-27,Stolen,2B,2002
57,33,1B,2B,Stolen Base 2B,,150100,Pat Burrell,Ramon Castro,0,2,4,True,2002-09-27,Stolen,2B,2002
58,74,1B,2B,Stolen Base 2B,,110029,Bobby Abreu,Ramon Castro,3,2,8,True,2002-09-27,Stolen,2B,2002
59,24,1B,,Caught Stealing 2B,,407155,Craig Monroe,Kevin Cash,3,0,2,True,2002-09-27,Caught,2B,2002
60,2,1B,,Caught Stealing 2B,,150390,Damian Rolls,Jason Varitek,0,0,1,True,2002-09-27,Caught,2B,2002
61,61,1B,2B,Stolen Base 2B,,150415,Brad Wilkerson,Kelly Stinnett,3,3,7,False,2002-09-27,Stolen,2B,2002
62,71,1B,,Caught Stealing 2B,,115223,Vladimir Guerrero,Kelly Stinnett,3,3,8,False,2002-09-27,Caught,2B,2002
63,7,1B,2B,Stolen Base 2B,,400109,Esix Snead,Javy Lopez,0,0,1,False,2002-09-27,Stolen,2B,2002
64,1,1B,2B,Stolen Base 2B,,279577,Rafael Furcal,Mike Piazza,0,0,1,True,2002-09-27,Stolen,2B,2002
65,29,1B,2B,Stolen Base 2B,,112155,Roger Cedeno,Henry Blanco,1,2,3,False,2002-09-27,Stolen,2B,2002
66,48,1B,2B,Stolen Base 2B,,111369,Darren Bragg,Mike Piazza,1,3,5,True,2002-09-27,Stolen,2B,2002
67,69,1B,2B,Stolen Base 2B,,279577,Rafael Furcal,Mike Piazza,1,3,8,True,2002-09-27,Stolen,2B,2002
68,37,2B,3B,Stolen Base 3B,,114789,Brian Giles,Mike Mahoney,1,4,3,True,2002-09-27,Stolen,3B,2002
69,28,1B,2B,Stolen Base 2B,,115210,Mark Grudzielanek,Tom Lampkin,0,2,3,False,2002-09-26,Stolen,2B,2002
70,90,1B,2B,Stolen Base 2B,,117148,Ryan Klesko,Paul Lo Duca,4,5,7,True,2002-09-26,Stolen,2B,2002
71,20,1B,2B,Stolen Base 2B,,334393,Juan Pierre,Chad Moeller,1,0,3,True,2002-09-26,Stolen,2B,2002
72,18,1B,2B,Stolen Base 2B,,121074,Edgar Renteria,Jorge Fabregas,3,1,2,False,2002-09-26,Stolen,2B,2002
73,89,1B,2B,Stolen Base 2B,,282879,Michael Restovich,Josh Bard,3,5,8,False,2002-09-26,Stolen,2B,2002
74,61,1B,,Caught Stealing 2B,,400083,Andres Torres,A.J. Hinch,3,1,6,True,2002-09-26,Caught,2B,2002
75,75,1B,2B,Stolen Base 2B,,112680,Wil Cordero,Ramon Castro,3,3,6,False,2002-09-26,Stolen,2B,2002
76,97,1B,,Caught Stealing 2B,,346795,Endy Chavez,Ramon Castro,4,3,8,False,2002-09-26,Caught,2B,2002
77,16,1B,2B,Stolen Base 2B,,111904,Mike Cameron,Ramon Hernandez,0,0,2,False,2002-09-26,Stolen,2B,2002
