,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint,Current_Year_y,Arm_Strength_x,Exchange_x,Current_Year_x,Arm_Strength_y,Exchange_y,Current_Year_y,Arm_Strength,Exchange
0,0,0,0,1B,2B,Stolen Base 2B,682928,CJ Abrams,621244,José Berríos,657041,Lane Thomas,R,Danny Jansen,643376,0,2,3,True,2023-08-29,Stolen,2B,2023,2024,29.8,2024,78.9,0.64,2024,78.9,0.64,2024, 78.9, 0.64
1,1,1,1,1B,2B,Stolen Base 2B,696285,Jacob Young,670102,Bowden Francis,657041,Lane Thomas,R,Danny Jansen,643376,1,5,7,True,2023-08-29,Stolen,2B,2023,2024,29.8,2024,78.9,0.64,2024,78.9,0.64,2024, 78.9, 0.64
2,2,2,2,1B,2B,Stolen Base 2B,682928,CJ Abrams,592332,Kevin Gausman,657041,Lane Thomas,R,Danny Jansen,643376,0,0,1,True,2023-08-28,Stolen,2B,2023,2024,29.8,2024,78.9,0.64,2024,78.9,0.64,2024, 78.9, 0.64
3,3,3,3,1B,2B,Stolen Base 2B,682928,CJ Abrams,592332,Kevin Gausman,608841,Joey Meneses,R,Danny Jansen,643376,4,1,3,True,2023-08-28,Stolen,2B,2023,2024,29.8,2024,78.9,0.64,2024,78.9,0.64,2024, 78.9, 0.64
4,4,4,4,2B,3B,Stolen Base 3B,682928,CJ Abrams,592332,Kevin Gausman,608841,Joey Meneses,R,Danny Jansen,643376,5,3,5,True,2023-08-28,Stolen,3B,2023,2024,29.8,2024,78.9,0.64,2024,78.9,0.64,2024, 78.9, 0.64
5,5,5,5,1B,2B,Stolen Base 2B,657041,Lane Thomas,592332,Kevin Gausman,608841,Joey Meneses,R,Danny Jansen,643376,5,3,5,True,2023-08-28,Stolen,2B,2023,2024,29.8,2024,78.9,0.64,2024,78.9,0.64,2024, 78.9, 0.64
6,6,6,6,1B,2B,Stolen Base 2B,664702,Myles Straw,579328,Yusei Kikuchi,680757,Steven Kwan,L,Danny Jansen,643376,2,4,4,True,2023-08-27,Stolen,2B,2023,2024,29.8,2024,78.9,0.64,2024,78.9,0.64,2024, 78.9, 0.64
7,7,7,7,1B,2B,Stolen Base 2B,608070,José Ramírez,663855,Jordan Hicks,686823,Will Brennan,R,Danny Jansen,643376,5,4,7,True,2023-08-27,Stolen,2B,2023,2024,29.8,2024,78.9,0.64,2024,78.9,0.64,2024, 78.9, 0.64
8,8,8,8,1B,2B,Stolen Base 2B,606992,Eric Haase,605447,Jordan Romano,664702,Myles Straw,R,Danny Jansen,643376,5,6,8,True,2023-08-27,Stolen,2B,2023,2024,29.8,2024,78.9,0.64,2024,78.9,0.64,2024, 78.9, 0.64
9,9,9,9,1B,2B,Stolen Base 2B,683002,Gunnar Henderson,579328,Yusei Kikuchi,669720,Austin Hays,L,Danny Jansen,643376,1,0,1,False,2023-08-22,Stolen,2B,2023,2024,29.8,2024,78.9,0.64,2024,78.9,0.64,2024, 78.9, 0.64
