,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint,Current_Year_y,Arm_Strength_x,Exchange_x,Current_Year_x,Arm_Strength_y,Exchange_y,Current_Year_y,Arm_Strength,Exchange
0,0,0,0,2B,3B,Stolen Base 3B,691023,Jordan Walker,605130,Scott Barlow,668800,Andrew Knizner,R,Luis Campusano,669134,2,5,11,True,2023-09-23,Stolen,3B,2023,2024,29.8,2024,82.4,0.68,2024,82.4,0.68,2024, 82.4, 0.68
1,1,1,1,1B,2B,Stolen Base 2B,672279,Michael Siani,605130,Scott Barlow,668800,Andrew Knizner,R,Luis Campusano,669134,2,5,11,True,2023-09-23,Stolen,2B,2023,2024,29.8,2024,82.4,0.68,2024,82.4,0.68,2024, 82.4, 0.68
2,2,2,2,1B,2B,Stolen Base 2B,666134,Nolan Jones,605483,Blake Snell,553869,Elias Díaz,L,Luis Campusano,669134,0,0,2,True,2023-09-19,Stolen,2B,2023,2024,29.8,2024,82.4,0.68,2024,82.4,0.68,2024, 82.4, 0.68
3,3,3,3,2B,3B,Stolen Base 3B,666134,Nolan Jones,605483,Blake Snell,676701,Alan Trejo,L,Luis Campusano,669134,0,0,2,True,2023-09-19,Stolen,3B,2023,2024,29.8,2024,82.4,0.68,2024,82.4,0.68,2024, 82.4, 0.68
4,4,4,4,1B,2B,Stolen Base 2B,666134,Nolan Jones,605483,Blake Snell,660707,Elehuris Montero,L,Luis Campusano,669134,0,0,7,True,2023-09-19,Stolen,2B,2023,2024,29.8,2024,82.4,0.68,2024,82.4,0.68,2024, 82.4, 0.68
5,5,5,5,1B,2B,Stolen Base 2B,665923,Esteury Ruiz,607625,Seth Lugo,676116,Ryan Noda,R,Luis Campusano,669134,2,4,3,False,2023-09-15,Stolen,2B,2023,2024,29.8,2024,82.4,0.68,2024,82.4,0.68,2024, 82.4, 0.68
6,6,6,6,1B,2B,Stolen Base 2B,680869,Zack Gelof,663158,Robert Suarez,667670,Brent Rooker,R,Luis Campusano,669134,3,5,8,False,2023-09-15,Stolen,2B,2023,2024,29.8,2024,82.4,0.68,2024,82.4,0.68,2024, 82.4, 0.68
7,7,7,7,1B,2B,Stolen Base 2B,605141,Mookie Betts,605483,Blake Snell,518692,Freddie Freeman,L,Luis Campusano,669134,0,1,1,False,2023-09-13,Stolen,2B,2023,2024,29.8,2024,82.4,0.68,2024,82.4,0.68,2024, 82.4, 0.68
8,8,8,8,1B,2B,Stolen Base 2B,605141,Mookie Betts,605483,Blake Snell,518692,Freddie Freeman,L,Luis Campusano,669134,0,1,3,False,2023-09-13,Stolen,2B,2023,2024,29.8,2024,82.4,0.68,2024,82.4,0.68,2024, 82.4, 0.68
9,9,9,9,1B,2B,Stolen Base 2B,676801,Chas McCormick,663362,Matt Waldron,673237,Yainer Diaz,R,Luis Campusano,669134,1,0,3,False,2023-09-10,Stolen,2B,2023,2024,29.8,2024,82.4,0.68,2024,82.4,0.68,2024, 82.4, 0.68
10,10,10,10,1B,2B,Stolen Base 2B,663656,Kyle Tucker,663362,Matt Waldron,547989,José Abreu,R,Luis Campusano,669134,4,0,4,False,2023-09-10,Stolen,2B,2023,2024,29.8,2024,82.4,0.68,2024,82.4,0.68,2024, 82.4, 0.68
11,11,11,11,2B,3B,Stolen Base 3B,663656,Kyle Tucker,663362,Matt Waldron,547989,José Abreu,R,Luis Campusano,669134,4,0,4,False,2023-09-10,Stolen,3B,2023,2024,29.8,2024,82.4,0.68,2024,82.4,0.68,2024, 82.4, 0.68
