,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint,Current_Year_y,Arm_Strength_x,Exchange_x,Current_Year_x,Arm_Strength_y,Exchange_y,Current_Year_y,Arm_Strength,Exchange
0,0,0,0,1B,,Caught Stealing 2B,457759,Justin Turner,502043,Kyle Gibson,807799,Masataka Yoshida,R,James McCann,543510,0,0,3,True,2023-09-30,Caught,2B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
1,1,1,1,1B,2B,Stolen Base 2B,596115,Trevor Story,605347,Jorge López,657136,Connor Wong,R,James McCann,543510,0,2,8,True,2023-09-29,Stolen,2B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
2,2,2,2,1B,2B,Stolen Base 2B,678882,Ceddanne Rafaela,660261,Shintaro Fujinami,646240,Rafael Devers,R,James McCann,543510,0,3,9,True,2023-09-29,Stolen,2B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
3,3,3,3,1B,2B,Stolen Base 2B,657136,Connor Wong,672335,Cionel Pérez,646240,Rafael Devers,L,James McCann,543510,1,0,8,True,2023-09-28,Stolen,2B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
4,4,4,4,1B,2B,Stolen Base 2B,682928,CJ Abrams,680570,Grayson Rodriguez,657041,Lane Thomas,R,James McCann,543510,4,1,6,True,2023-09-27,Stolen,2B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
5,5,5,5,2B,3B,Stolen Base 3B,666139,Josh Lowe,660261,Shintaro Fujinami,670623,Isaac Paredes,R,James McCann,543510,2,3,9,True,2023-09-17,Stolen,3B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
6,6,6,6,2B,3B,Stolen Base 3B,596115,Trevor Story,660261,Shintaro Fujinami,657136,Connor Wong,R,James McCann,543510,6,7,5,False,2023-09-09,Stolen,3B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
7,7,7,7,1B,2B,Stolen Base 2B,677800,Wilyer Abreu,660261,Shintaro Fujinami,657136,Connor Wong,R,James McCann,543510,6,7,5,False,2023-09-09,Stolen,2B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
8,8,8,8,1B,,Caught Stealing 2B,681351,Logan O'Hoppe,680570,Grayson Rodriguez,683021,Michael Stefanic,R,James McCann,543510,0,0,2,False,2023-09-04,Caught,2B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
9,9,9,9,1B,2B,Stolen Base 2B,678662,Ezequiel Tovar,656427,Jack Flaherty,663898,Brendan Rodgers,R,James McCann,543510,0,1,4,True,2023-08-27,Stolen,2B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
10,10,10,10,1B,2B,Stolen Base 2B,662139,Daulton Varsho,666974,Yennier Cano,656305,Matt Chapman,R,James McCann,543510,3,3,8,True,2023-08-22,Stolen,2B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
11,11,11,11,1B,,Caught Stealing 2B,665923,Esteury Ruiz,608344,Cole Irvin,680869,Zack Gelof,L,James McCann,543510,0,0,1,False,2023-08-19,Caught,2B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
12,12,12,12,1B,2B,Stolen Base 2B,665487,Fernando Tatis Jr.,672335,Cionel Pérez,665742,Juan Soto,L,James McCann,543510,5,2,7,False,2023-08-16,Stolen,2B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
13,13,13,13,3B,score,Stolen Base Home,665487,Fernando Tatis Jr.,672335,Cionel Pérez,665742,Juan Soto,L,James McCann,543510,5,2,7,False,2023-08-16,Stolen,Home,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
14,14,14,14,1B,,Caught Stealing 2B,665742,Juan Soto,672335,Cionel Pérez,592518,Manny Machado,L,James McCann,543510,5,2,7,False,2023-08-16,Caught,2B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
15,15,15,15,1B,2B,Stolen Base 2B,663656,Kyle Tucker,666974,Yennier Cano,673237,Yainer Diaz,R,James McCann,543510,6,2,8,True,2023-08-08,Stolen,2B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
16,16,16,16,1B,2B,Stolen Base 2B,596019,Francisco Lindor,680694,Kyle Bradish,624413,Pete Alonso,R,James McCann,543510,0,0,5,True,2023-08-06,Stolen,2B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
17,17,17,17,2B,,Caught Stealing 3B,596019,Francisco Lindor,665152,Dean Kremer,624413,Pete Alonso,R,James McCann,543510,0,0,1,True,2023-08-04,Caught,3B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
18,18,18,18,1B,2B,Stolen Base 2B,679032,Johan Rojas,665152,Dean Kremer,656941,Kyle Schwarber,R,James McCann,543510,1,1,5,False,2023-07-24,Stolen,2B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
19,19,19,19,1B,2B,Stolen Base 2B,679032,Johan Rojas,543056,Danny Coulombe,656941,Kyle Schwarber,L,James McCann,543510,1,2,8,False,2023-07-24,Stolen,2B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
20,20,20,20,1B,,Caught Stealing 2B,677551,Wander Franco,543056,Danny Coulombe,670042,Luke Raley,L,James McCann,543510,2,5,6,False,2023-07-22,Caught,2B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
21,21,21,21,1B,2B,Stolen Base 2B,668227,Randy Arozarena,672335,Cionel Pérez,664040,Brandon Lowe,L,James McCann,543510,5,5,8,False,2023-07-22,Stolen,2B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
22,22,22,22,1B,2B,Stolen Base 2B,650489,Willi Castro,657508,Mike Baumann,666135,Alex Kirilloff,R,James McCann,543510,1,1,7,False,2023-07-07,Stolen,2B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
23,23,23,23,1B,,Caught Stealing 2B,650489,Willi Castro,642585,Félix Bautista,666135,Alex Kirilloff,R,James McCann,543510,1,1,9,False,2023-07-07,Caught,2B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
24,24,24,24,1B,,Caught Stealing 2B,658668,Edward Olivares,502043,Kyle Gibson,671221,Drew Waters,R,James McCann,543510,6,3,4,True,2023-06-11,Caught,2B,2023,2024,29.8,2024,81.6,0.64,2024,81.6,0.64,2024, 81.6, 0.64
