,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint,Current_Year_y,Arm_Strength_x,Exchange_x,Current_Year_x,Arm_Strength_y,Exchange_y,Current_Year_y,Arm_Strength,Exchange
0,0,0,0,1B,2B,Stolen Base 2B,696285,Jacob Young,642216,Allan Winans,682928,CJ Abrams,R,Travis d'Arnaud,518595,2,0,3,True,2023-09-29,Stolen,2B,2023,2024,29.8,2024,82.3,0.67,2024,82.3,0.67,2024, 82.3, 0.67
1,1,1,1,1B,2B,Stolen Base 2B,696285,Jacob Young,543272,Brad Hand,682928,CJ Abrams,L,Travis d'Arnaud,518595,6,7,6,True,2023-09-29,Stolen,2B,2023,2024,29.8,2024,82.3,0.67,2024,82.3,0.67,2024, 82.3, 0.67
2,2,2,2,1B,2B,Stolen Base 2B,643565,Mike Tauchman,700363,AJ Smith-Shawver,663538,Nico Hoerner,R,Travis d'Arnaud,518595,0,0,1,True,2023-09-28,Stolen,2B,2023,2024,29.8,2024,82.3,0.67,2024,82.3,0.67,2024, 82.3, 0.67
3,3,3,3,1B,2B,Stolen Base 2B,657041,Lane Thomas,675911,Spencer Strider,660688,Keibert Ruiz,R,Travis d'Arnaud,518595,2,0,3,False,2023-09-24,Stolen,2B,2023,2024,29.8,2024,82.3,0.67,2024,82.3,0.67,2024, 82.3, 0.67
4,4,4,4,1B,2B,Stolen Base 2B,657041,Lane Thomas,675911,Spencer Strider,660688,Keibert Ruiz,R,Travis d'Arnaud,518595,2,0,3,False,2023-09-23,Stolen,2B,2023,2024,29.8,2024,82.3,0.67,2024,82.3,0.67,2024, 82.3, 0.67
5,5,5,5,1B,2B,Stolen Base 2B,607208,Trea Turner,675911,Spencer Strider,547180,Bryce Harper,R,Travis d'Arnaud,518595,7,3,6,True,2023-09-19,Stolen,2B,2023,2024,29.8,2024,82.3,0.67,2024,82.3,0.67,2024, 82.3, 0.67
6,6,6,6,1B,2B,Stolen Base 2B,607208,Trea Turner,543859,Michael Tonkin,664761,Alec Bohm,R,Travis d'Arnaud,518595,2,6,7,False,2023-09-12,Stolen,2B,2023,2024,29.8,2024,82.3,0.67,2024,82.3,0.67,2024, 82.3, 0.67
7,7,7,7,1B,2B,Stolen Base 2B,679032,Johan Rojas,621345,A.J. Minter,656941,Kyle Schwarber,L,Travis d'Arnaud,518595,5,6,8,False,2023-09-12,Stolen,2B,2023,2024,29.8,2024,82.3,0.67,2024,82.3,0.67,2024, 82.3, 0.67
8,8,8,8,1B,2B,Stolen Base 2B,663845,Alfonso Rivas III,693821,Bryce Elder,675961,Alika Williams,R,Travis d'Arnaud,518595,0,0,3,True,2023-09-08,Stolen,2B,2023,2024,29.8,2024,82.3,0.67,2024,82.3,0.67,2024, 82.3, 0.67
9,9,9,9,1B,,Caught Stealing 2B,669242,Tommy Edman,608331,Max Fried,571448,Nolan Arenado,L,Travis d'Arnaud,518595,0,0,1,True,2023-09-07,Caught,2B,2023,2024,29.8,2024,82.3,0.67,2024,82.3,0.67,2024, 82.3, 0.67
