,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Arm_Strength_x,Exchange_x,Current_Year_y.1,Arm_Strength_y,Exchange_y,Current_Year,Arm_Strength,Exchange
0,0,0,0,0,1B,,Caught Stealing 2B,642731,Thairo Estrada,477132,Clayton Kershaw,527038,Wilmer Flores,L,Austin Barnes,605131,1,0,3,False,2023-09-30,Caught,2B,2023,2024,29.8,2024,29.8,2024,75.9,0.58,2024,75.9,0.58,2024, 75.9, 0.58
1,1,1,1,1,2B,3B,Stolen Base 3B,453568,Charlie Blackmon,642232,Ryan Yarbrough,663898,Brendan Rodgers,L,Austin Barnes,605131,7,3,4,False,2023-09-28,Stolen,3B,2023,2024,29.8,2024,29.8,2024,75.9,0.58,2024,75.9,0.58,2024, 75.9, 0.58
2,2,2,2,2,2B,3B,Stolen Base 3B,666134,Nolan Jones,642232,Ryan Yarbrough,660707,Elehuris Montero,L,Austin Barnes,605131,9,3,4,False,2023-09-28,Stolen,3B,2023,2024,29.8,2024,29.8,2024,75.9,0.58,2024,75.9,0.58,2024, 75.9, 0.58
3,3,3,3,3,1B,2B,Stolen Base 2B,678009,Parker Meadows,518489,Ryan Brasier,608348,Carson Kelly,R,Austin Barnes,605131,1,3,7,True,2023-09-20,Stolen,2B,2023,2024,29.8,2024,29.8,2024,75.9,0.58,2024,75.9,0.58,2024, 75.9, 0.58
4,4,4,4,4,1B,2B,Stolen Base 2B,696285,Jacob Young,593833,Wander Suero,657041,Lane Thomas,R,Austin Barnes,605131,2,6,5,False,2023-09-10,Stolen,2B,2023,2024,29.8,2024,29.8,2024,75.9,0.58,2024,75.9,0.58,2024, 75.9, 0.58
5,5,5,5,5,2B,3B,Stolen Base 3B,696285,Jacob Young,593833,Wander Suero,660688,Keibert Ruiz,R,Austin Barnes,605131,2,6,5,False,2023-09-10,Stolen,3B,2023,2024,29.8,2024,29.8,2024,75.9,0.58,2024,75.9,0.58,2024, 75.9, 0.58
6,6,6,6,6,1B,2B,Stolen Base 2B,665862,Jazz Chisholm Jr.,477132,Clayton Kershaw,641658,Garrett Hampson,L,Austin Barnes,605131,1,2,4,False,2023-09-05,Stolen,2B,2023,2024,29.8,2024,29.8,2024,75.9,0.58,2024,75.9,0.58,2024, 75.9, 0.58
7,7,7,7,7,1B,2B,Stolen Base 2B,682998,Corbin Carroll,686752,Ryan Pepiot,606466,Ketel Marte,R,Austin Barnes,605131,0,0,3,True,2023-08-30,Stolen,2B,2023,2024,29.8,2024,29.8,2024,75.9,0.58,2024,75.9,0.58,2024, 75.9, 0.58
8,8,8,8,8,1B,2B,Stolen Base 2B,686823,Will Brennan,642232,Ryan Yarbrough,666310,Bo Naylor,L,Austin Barnes,605131,2,0,2,False,2023-08-24,Stolen,2B,2023,2024,29.8,2024,29.8,2024,75.9,0.58,2024,75.9,0.58,2024, 75.9, 0.58
9,9,9,9,9,3B,score,Stolen Base Home,672356,Gabriel Arias,642232,Ryan Yarbrough,666310,Bo Naylor,L,Austin Barnes,605131,2,0,2,False,2023-08-24,Stolen,Home,2023,2024,29.8,2024,29.8,2024,75.9,0.58,2024,75.9,0.58,2024, 75.9, 0.58
